county,precinct,office,district,party,candidate,votes,provisional,early_voting,absentee,election_day
Calhoun,JP Dist 4 - Harrell City,Auditor of State,,DEM,Diamond Arnold-Johnson,25,1,12,0,12
Calhoun,Hampton Alderman,Auditor of State,,DEM,Diamond Arnold-Johnson,106,0,73,2,31
Calhoun,Countywide,Auditor of State,,DEM,Diamond Arnold-Johnson,82,2,49,3,28
Calhoun,Bearden,Auditor of State,,REP,Treasurer of State Dennis Milligan,227,1,31,2,193
Calhoun,JP District 4,Auditor of State,,REP,Treasurer of State Dennis Milligan,103,1,55,3,44
Calhoun,JP Dist 4 - Harrell City,Auditor of State,,REP,Treasurer of State Dennis Milligan,60,1,35,0,24
Calhoun,Hampton Alderman,Auditor of State,,REP,Treasurer of State Dennis Milligan,216,2,132,3,79
Calhoun,Countywide,Auditor of State,,REP,Treasurer of State Dennis Milligan,628,3,284,4,337
Calhoun,Bearden,Auditor of State,,LIB,Simeon Snow,4,0,1,0,3
Calhoun,JP District 4,Auditor of State,,LIB,Simeon Snow,4,0,4,0,0
Calhoun,JP Dist 4 - Harrell City,Auditor of State,,LIB,Simeon Snow,2,0,2,0,0
Calhoun,Hampton Alderman,Auditor of State,,LIB,Simeon Snow,8,0,3,0,5
Calhoun,Countywide,Auditor of State,,LIB,Simeon Snow,18,0,12,1,5
Calhoun,Bearden,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,60,0,7,0,53
Calhoun,JP District 4,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,28,1,18,0,9
Calhoun,JP Dist 4 - Harrell City,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,25,1,12,0,12
Calhoun,Hampton Alderman,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,111,1,71,4,35
Calhoun,Countywide,Commissioner of State Lands,,DEM,Darlene Goldi Gaines,82,2,50,3,27
Calhoun,Bearden,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,230,1,32,2,195
Calhoun,JP District 4,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,105,1,58,3,43
Calhoun,JP Dist 4 - Harrell City,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,61,1,36,0,24
Calhoun,Hampton Alderman,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,221,1,139,1,80
Calhoun,Countywide,Commissioner of State Lands,,REP,Tommy Land Commissioner of State Lands,648,3,297,5,343
Calhoun,Bearden,Governor,,REP,Sarah Huckabee Sanders,233,1,32,2,198
Calhoun,JP District 4,Governor,,REP,Sarah Huckabee Sanders,103,1,57,3,42
Calhoun,JP Dist 4 - Harrell City,Governor,,REP,Sarah Huckabee Sanders,64,1,37,0,26
Calhoun,Hampton Alderman,Governor,,REP,Sarah Huckabee Sanders,208,1,128,0,79
Calhoun,Countywide,Governor,,REP,Sarah Huckabee Sanders,640,3,284,5,348
Calhoun,Bearden,Governor,,DEM,Chris Jones,60,0,7,0,53
Calhoun,JP District 4,Governor,,DEM,Chris Jones,30,1,19,0,10
Calhoun,JP Dist 4 - Harrell City,Governor,,DEM,Chris Jones,23,1,11,0,11
Calhoun,Hampton Alderman,Governor,,DEM,Chris Jones,124,1,81,5,37
Calhoun,Countywide,Governor,,DEM,Chris Jones,87,2,58,3,24
Calhoun,Bearden,Governor,,LIB,"Ricky Dale Harrington, Jr.",5,0,1,0,4
Calhoun,JP District 4,Governor,,LIB,"Ricky Dale Harrington, Jr.",2,0,1,0,1
Calhoun,JP Dist 4 - Harrell City,Governor,,LIB,"Ricky Dale Harrington, Jr.",2,0,1,0,1
Calhoun,Hampton Alderman,Governor,,LIB,"Ricky Dale Harrington, Jr.",0,0,0,0,0
Calhoun,Countywide,Governor,,LIB,"Ricky Dale Harrington, Jr.",8,0,6,0,2
Calhoun,Bearden,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,237,1,33,2,201
Calhoun,JP District 4,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,106,1,59,3,43
Calhoun,JP Dist 4 - Harrell City,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,60,1,36,0,23
Calhoun,Hampton Alderman,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,214,2,128,2,82
Calhoun,Countywide,Lieutenant Governor,,REP,Attorney General Leslie Rutledge,643,3,294,4,342
Calhoun,Bearden,Lieutenant Governor,,DEM,Kelly Ross Krout,54,0,7,0,47
Calhoun,JP District 4,Lieutenant Governor,,DEM,Kelly Ross Krout,27,1,17,0,9
Calhoun,JP Dist 4 - Harrell City,Lieutenant Governor,,DEM,Kelly Ross Krout,26,1,11,0,14
Calhoun,Hampton Alderman,Lieutenant Governor,,DEM,Kelly Ross Krout,108,0,75,3,30
Calhoun,Countywide,Lieutenant Governor,,DEM,Kelly Ross Krout,74,2,47,3,22
Calhoun,Bearden,Lieutenant Governor,,LIB,Frank Gilbert,7,0,0,0,7
Calhoun,JP District 4,Lieutenant Governor,,LIB,Frank Gilbert,2,0,1,0,1
Calhoun,JP Dist 4 - Harrell City,Lieutenant Governor,,LIB,Frank Gilbert,2,0,2,0,0
Calhoun,Hampton Alderman,Lieutenant Governor,,LIB,Frank Gilbert,9,0,6,0,3
Calhoun,Countywide,Lieutenant Governor,,LIB,Frank Gilbert,14,0,6,1,7
Calhoun,Bearden,Secretary of State,,DEM,Anna Beth Gorman,60,0,8,0,52
Calhoun,JP District 4,Secretary of State,,DEM,Anna Beth Gorman,27,1,17,0,9
Calhoun,JP Dist 4 - Harrell City,Secretary of State,,DEM,Anna Beth Gorman,25,1,12,0,12
Calhoun,Hampton Alderman,Secretary of State,,DEM,Anna Beth Gorman,113,1,75,4,33
Calhoun,Countywide,Secretary of State,,DEM,Anna Beth Gorman,84,2,54,3,25
Calhoun,Bearden,Secretary of State,,REP,Secretary of State John Thurston,235,1,32,2,200
Calhoun,JP District 4,Secretary of State,,REP,Secretary of State John Thurston,105,1,58,3,43
Calhoun,JP Dist 4 - Harrell City,Secretary of State,,REP,Secretary of State John Thurston,64,1,38,0,25
Calhoun,Hampton Alderman,Secretary of State,,REP,Secretary of State John Thurston,219,1,135,1,82
Calhoun,Countywide,Secretary of State,,REP,Secretary of State John Thurston,650,3,295,5,347
Calhoun,Bearden,State Treasurer,,DEM,Pam Whitaker,59,0,8,0,51
Calhoun,JP District 4,State Treasurer,,DEM,Pam Whitaker,29,1,19,0,9
Calhoun,JP Dist 4 - Harrell City,State Treasurer,,DEM,Pam Whitaker,31,1,14,0,16
Calhoun,Hampton Alderman,State Treasurer,,DEM,Pam Whitaker,109,0,74,4,31
Calhoun,Countywide,State Treasurer,,DEM,Pam Whitaker,93,2,56,3,32
Calhoun,Bearden,State Treasurer,,REP,State Representative Mark Lowery,233,1,32,2,198
Calhoun,JP District 4,State Treasurer,,REP,State Representative Mark Lowery,105,1,58,3,43
Calhoun,JP Dist 4 - Harrell City,State Treasurer,,REP,State Representative Mark Lowery,59,1,36,0,22
Calhoun,Hampton Alderman,State Treasurer,,REP,State Representative Mark Lowery,220,2,135,1,82
Calhoun,Countywide,State Treasurer,,REP,State Representative Mark Lowery,637,2,290,5,340
Calhoun,Bearden,State Senate,02,DEM,Garry L. Smith,65,0,10,0,55
Calhoun,JP District 4,State Senate,02,DEM,Garry L. Smith,34,1,22,0,11
Calhoun,JP Dist 4 - Harrell City,State Senate,02,DEM,Garry L. Smith,27,1,14,0,12
Calhoun,Hampton Alderman,State Senate,02,DEM,Garry L. Smith,123,0,85,4,34
Calhoun,Countywide,State Senate,02,DEM,Garry L. Smith,110,2,64,3,41
Calhoun,Bearden,State Senate,02,REP,Matt Stone,232,1,30,2,199
Calhoun,JP District 4,State Senate,02,REP,Matt Stone,101,1,55,3,42
Calhoun,JP Dist 4 - Harrell City,State Senate,02,REP,Matt Stone,60,1,35,0,24
Calhoun,Hampton Alderman,State Senate,02,REP,Matt Stone,208,2,125,1,80
Calhoun,Countywide,State Senate,02,REP,Matt Stone,618,3,279,5,331
Calhoun,Bearden,State House,96,REP,State Representative Sonia Barker,263,1,36,2,224
Calhoun,JP District 4,State House,96,REP,State Representative Sonia Barker,114,1,64,3,46
Calhoun,JP Dist 4 - Harrell City,State House,96,REP,State Representative Sonia Barker,72,1,41,0,30
Calhoun,Hampton Alderman,State House,96,REP,State Representative Sonia Barker,277,2,176,4,95
Calhoun,Countywide,State House,96,REP,State Representative Sonia Barker,684,4,312,7,361
Calhoun,Bearden,State Supreme Court Associate Justice Position 2,,NPJ,Supreme Court Associate Justice Robin Wynne,185,1,24,1,159
Calhoun,JP District 4,State Supreme Court Associate Justice Position 2,,NPJ,Supreme Court Associate Justice Robin Wynne,88,2,47,3,36
Calhoun,JP Dist 4 - Harrell City,State Supreme Court Associate Justice Position 2,,NPJ,Supreme Court Associate Justice Robin Wynne,57,2,34,0,21
Calhoun,Hampton Alderman,State Supreme Court Associate Justice Position 2,,NPJ,Supreme Court Associate Justice Robin Wynne,218,2,144,4,68
Calhoun,Countywide,State Supreme Court Associate Justice Position 2,,NPJ,Supreme Court Associate Justice Robin Wynne,484,3,231,6,244
Calhoun,Bearden,State Supreme Court Associate Justice Position 2,,NPJ,Judge Chris Carnahan,85,0,15,1,69
Calhoun,JP District 4,State Supreme Court Associate Justice Position 2,,NPJ,Judge Chris Carnahan,35,0,27,0,8
Calhoun,JP Dist 4 - Harrell City,State Supreme Court Associate Justice Position 2,,NPJ,Judge Chris Carnahan,15,0,8,0,7
Calhoun,Hampton Alderman,State Supreme Court Associate Justice Position 2,,NPJ,Judge Chris Carnahan,81,0,45,1,35
Calhoun,Countywide,State Supreme Court Associate Justice Position 2,,NPJ,Judge Chris Carnahan,173,1,74,1,97
Calhoun,Bearden,County & Circuit Clerk,,REP,REP Jeanie L Smith,273,1,39,2,231
Calhoun,JP District 4,County & Circuit Clerk,,REP,REP Jeanie L Smith,126,1,72,3,50
Calhoun,JP Dist 4 - Harrell City,County & Circuit Clerk,,REP,REP Jeanie L Smith,77,2,43,0,32
Calhoun,Hampton Alderman,County & Circuit Clerk,,REP,REP Jeanie L Smith,291,2,186,5,98
Calhoun,Countywide,County & Circuit Clerk,,REP,REP Jeanie L Smith,696,4,321,7,364
Calhoun,JP District 4,Justice of the Peace District 4,,DEM,DEM Jimmy D Williams,54,1,33,1,19
Calhoun,JP Dist 4 - Harrell City,Justice of the Peace District 4,,DEM,DEM Jimmy D Williams,37,1,20,0,16
Calhoun,JP District 4,Justice of the Peace District 4,,REP,REP Cody Drew Vaughan,81,1,45,2,33
Calhoun,JP Dist 4 - Harrell City,Justice of the Peace District 4,,REP,REP Cody Drew Vaughan,54,1,31,0,22
Calhoun,Hampton Alderman,Mayor,,REP,REP Rick Shirron,287,2,184,4,97
Calhoun,Hampton Alderman,Hampton Aldermen Ward 1 Position 2,,DEM,DEM Jimmie (Pop) Johnson,152,1,98,4,49
Calhoun,Hampton Alderman,Hampton Aldermen Ward 1 Position 2,,REP,REP Jonathan Lucas,178,1,108,1,68
Calhoun,JP Dist 4 - Harrell City,Mayor,,NOP,NOP Terry Anders Jr,75,1,43,0,31
Calhoun,Bearden,Issue No. 1: A Constitutional Amendment to allow the General Assembly to Convene in Extraordinary Session Upon the Issuance of a Joint Written Proclamation of the Speaker of the House of Representatives and the President Pro Tempore of the Senate or Upon the Submission of a Written Proclamation Containing the Signatures of At Least Two-Thirds (2/3) of the Members of the House of Representatives and At Least Two-Thirds (2/3) of the Members of the Senate to the Speaker of the House of Representatives and the President Pro Tempore of the Senate Requesting that the General Assembly Convene in Extraordinary Session,,NOP,FOR,74,1,10,0,63
Calhoun,JP District 4,Issue No. 1: A Constitutional Amendment to allow the General Assembly to Convene in Extraordinary Session Upon the Issuance of a Joint Written Proclamation of the Speaker of the House of Representatives and the President Pro Tempore of the Senate or Upon the Submission of a Written Proclamation Containing the Signatures of At Least Two-Thirds (2/3) of the Members of the House of Representatives and At Least Two-Thirds (2/3) of the Members of the Senate to the Speaker of the House of Representatives and the President Pro Tempore of the Senate Requesting that the General Assembly Convene in Extraordinary Session,,NOP,FOR,46,0,31,1,14
Calhoun,JP Dist 4 - Harrell City,Issue No. 1: A Constitutional Amendment to allow the General Assembly to Convene in Extraordinary Session Upon the Issuance of a Joint Written Proclamation of the Speaker of the House of Representatives and the President Pro Tempore of the Senate or Upon the Submission of a Written Proclamation Containing the Signatures of At Least Two-Thirds (2/3) of the Members of the House of Representatives and At Least Two-Thirds (2/3) of the Members of the Senate to the Speaker of the House of Representatives and the President Pro Tempore of the Senate Requesting that the General Assembly Convene in Extraordinary Session,,NOP,FOR,28,1,13,0,14
Calhoun,Hampton Alderman,Issue No. 1: A Constitutional Amendment to allow the General Assembly to Convene in Extraordinary Session Upon the Issuance of a Joint Written Proclamation of the Speaker of the House of Representatives and the President Pro Tempore of the Senate or Upon the Submission of a Written Proclamation Containing the Signatures of At Least Two-Thirds (2/3) of the Members of the House of Representatives and At Least Two-Thirds (2/3) of the Members of the Senate to the Speaker of the House of Representatives and the President Pro Tempore of the Senate Requesting that the General Assembly Convene in Extraordinary Session,,NOP,FOR,126,1,80,2,43
Calhoun,Countywide,Issue No. 1: A Constitutional Amendment to allow the General Assembly to Convene in Extraordinary Session Upon the Issuance of a Joint Written Proclamation of the Speaker of the House of Representatives and the President Pro Tempore of the Senate or Upon the Submission of a Written Proclamation Containing the Signatures of At Least Two-Thirds (2/3) of the Members of the House of Representatives and At Least Two-Thirds (2/3) of the Members of the Senate to the Speaker of the House of Representatives and the President Pro Tempore of the Senate Requesting that the General Assembly Convene in Extraordinary Session,,NOP,FOR,240,2,113,5,120
Calhoun,Bearden,Issue No. 1: A Constitutional Amendment to allow the General Assembly to Convene in Extraordinary Session Upon the Issuance of a Joint Written Proclamation of the Speaker of the House of Representatives and the President Pro Tempore of the Senate or Upon the Submission of a Written Proclamation Containing the Signatures of At Least Two-Thirds (2/3) of the Members of the House of Representatives and At Least Two-Thirds (2/3) of the Members of the Senate to the Speaker of the House of Representatives and the President Pro Tempore of the Senate Requesting that the General Assembly Convene in Extraordinary Session,,NOP,AGAINST,207,0,29,2,176
Calhoun,JP District 4,Issue No. 1: A Constitutional Amendment to allow the General Assembly to Convene in Extraordinary Session Upon the Issuance of a Joint Written Proclamation of the Speaker of the House of Representatives and the President Pro Tempore of the Senate or Upon the Submission of a Written Proclamation Containing the Signatures of At Least Two-Thirds (2/3) of the Members of the House of Representatives and At Least Two-Thirds (2/3) of the Members of the Senate to the Speaker of the House of Representatives and the President Pro Tempore of the Senate Requesting that the General Assembly Convene in Extraordinary Session,,NOP,AGAINST,80,1,44,2,33
Calhoun,JP Dist 4 - Harrell City,Issue No. 1: A Constitutional Amendment to allow the General Assembly to Convene in Extraordinary Session Upon the Issuance of a Joint Written Proclamation of the Speaker of the House of Representatives and the President Pro Tempore of the Senate or Upon the Submission of a Written Proclamation Containing the Signatures of At Least Two-Thirds (2/3) of the Members of the House of Representatives and At Least Two-Thirds (2/3) of the Members of the Senate to the Speaker of the House of Representatives and the President Pro Tempore of the Senate Requesting that the General Assembly Convene in Extraordinary Session,,NOP,AGAINST,50,1,31,0,18
Calhoun,Hampton Alderman,Issue No. 1: A Constitutional Amendment to allow the General Assembly to Convene in Extraordinary Session Upon the Issuance of a Joint Written Proclamation of the Speaker of the House of Representatives and the President Pro Tempore of the Senate or Upon the Submission of a Written Proclamation Containing the Signatures of At Least Two-Thirds (2/3) of the Members of the House of Representatives and At Least Two-Thirds (2/3) of the Members of the Senate to the Speaker of the House of Representatives and the President Pro Tempore of the Senate Requesting that the General Assembly Convene in Extraordinary Session,,NOP,AGAINST,186,1,118,3,64
Calhoun,Countywide,Issue No. 1: A Constitutional Amendment to allow the General Assembly to Convene in Extraordinary Session Upon the Issuance of a Joint Written Proclamation of the Speaker of the House of Representatives and the President Pro Tempore of the Senate or Upon the Submission of a Written Proclamation Containing the Signatures of At Least Two-Thirds (2/3) of the Members of the House of Representatives and At Least Two-Thirds (2/3) of the Members of the Senate to the Speaker of the House of Representatives and the President Pro Tempore of the Senate Requesting that the General Assembly Convene in Extraordinary Session,,NOP,AGAINST,467,3,221,3,240
Calhoun,Bearden,Issue No. 2: A Constitutional Amendment to Reform Certain Measures Presented to Voters, to be Known as the 'Constitutional Amendment and Ballot Initiative Reform Amendment',NOP,FOR,107,1,12,2,92
Calhoun,JP District 4,Issue No. 2: A Constitutional Amendment to Reform Certain Measures Presented to Voters, to be Known as the 'Constitutional Amendment and Ballot Initiative Reform Amendment',NOP,FOR,64,1,40,1,22
Calhoun,JP Dist 4 - Harrell City,Issue No. 2: A Constitutional Amendment to Reform Certain Measures Presented to Voters, to be Known as the 'Constitutional Amendment and Ballot Initiative Reform Amendment',NOP,FOR,33,1,16,0,16
Calhoun,Hampton Alderman,Issue No. 2: A Constitutional Amendment to Reform Certain Measures Presented to Voters, to be Known as the 'Constitutional Amendment and Ballot Initiative Reform Amendment',NOP,FOR,134,1,88,1,44
Calhoun,Countywide,Issue No. 2: A Constitutional Amendment to Reform Certain Measures Presented to Voters, to be Known as the 'Constitutional Amendment and Ballot Initiative Reform Amendment',NOP,FOR,298,2,124,4,168
Calhoun,Bearden,Issue No. 2: A Constitutional Amendment to Reform Certain Measures Presented to Voters, to be Known as the 'Constitutional Amendment and Ballot Initiative Reform Amendment',NOP,AGAINST,177,0,28,0,149
Calhoun,JP District 4,Issue No. 2: A Constitutional Amendment to Reform Certain Measures Presented to Voters, to be Known as the 'Constitutional Amendment and Ballot Initiative Reform Amendment',NOP,AGAINST,65,0,35,2,28
Calhoun,JP Dist 4 - Harrell City,Issue No. 2: A Constitutional Amendment to Reform Certain Measures Presented to Voters, to be Known as the 'Constitutional Amendment and Ballot Initiative Reform Amendment',NOP,AGAINST,44,1,27,0,16
Calhoun,Hampton Alderman,Issue No. 2: A Constitutional Amendment to Reform Certain Measures Presented to Voters, to be Known as the 'Constitutional Amendment and Ballot Initiative Reform Amendment',NOP,AGAINST,186,1,113,4,68
Calhoun,Countywide,Issue No. 2: A Constitutional Amendment to Reform Certain Measures Presented to Voters, to be Known as the 'Constitutional Amendment and Ballot Initiative Reform Amendment',NOP,AGAINST,415,4,212,4,195
Calhoun,Bearden,Issue No. 3: A Constitutional Amendment to Create the 'Arkansas Religious Freedom Amendment',,NOP,FOR,136,1,17,2,116
Calhoun,JP District 4,Issue No. 3: A Constitutional Amendment to Create the 'Arkansas Religious Freedom Amendment',,NOP,FOR,80,1,45,1,33
Calhoun,JP Dist 4 - Harrell City,Issue No. 3: A Constitutional Amendment to Create the 'Arkansas Religious Freedom Amendment',,NOP,FOR,42,1,24,0,17
Calhoun,Hampton Alderman,Issue No. 3: A Constitutional Amendment to Create the 'Arkansas Religious Freedom Amendment',,NOP,FOR,177,2,114,1,60
Calhoun,Countywide,Issue No. 3: A Constitutional Amendment to Create the 'Arkansas Religious Freedom Amendment',,NOP,FOR,359,5,164,6,184
Calhoun,Bearden,Issue No. 3: A Constitutional Amendment to Create the 'Arkansas Religious Freedom Amendment',,NOP,AGAINST,154,0,23,0,131
Calhoun,JP District 4,Issue No. 3: A Constitutional Amendment to Create the 'Arkansas Religious Freedom Amendment',,NOP,AGAINST,53,0,33,2,18
Calhoun,JP Dist 4 - Harrell City,Issue No. 3: A Constitutional Amendment to Create the 'Arkansas Religious Freedom Amendment',,NOP,AGAINST,37,1,20,0,16
Calhoun,Hampton Alderman,Issue No. 3: A Constitutional Amendment to Create the 'Arkansas Religious Freedom Amendment',,NOP,AGAINST,145,0,89,4,52
Calhoun,Countywide,Issue No. 3: A Constitutional Amendment to Create the 'Arkansas Religious Freedom Amendment',,NOP,AGAINST,357,0,173,2,182
Calhoun,Bearden,Issue No. 4: An Amendment to Authorize the Possession, Personal Use,NOP,FOR,79,1,7,1,70
Calhoun,JP District 4,Issue No. 4: An Amendment to Authorize the Possession, Personal Use,NOP,FOR,39,2,23,0,14
Calhoun,JP Dist 4 - Harrell City,Issue No. 4: An Amendment to Authorize the Possession, Personal Use,NOP,FOR,37,1,18,0,18
Calhoun,Hampton Alderman,Issue No. 4: An Amendment to Authorize the Possession, Personal Use,NOP,FOR,143,1,91,2,49
Calhoun,Countywide,Issue No. 4: An Amendment to Authorize the Possession, Personal Use,NOP,FOR,239,3,109,1,126
Calhoun,Bearden,Issue No. 4: An Amendment to Authorize the Possession, Personal Use,NOP,AGAINST,216,0,33,1,182
Calhoun,JP District 4,Issue No. 4: An Amendment to Authorize the Possession, Personal Use,NOP,AGAINST,96,0,54,3,39
Calhoun,JP Dist 4 - Harrell City,Issue No. 4: An Amendment to Authorize the Possession, Personal Use,NOP,AGAINST,51,1,32,0,18
Calhoun,Hampton Alderman,Issue No. 4: An Amendment to Authorize the Possession, Personal Use,NOP,AGAINST,186,1,117,3,65
Calhoun,Countywide,Issue No. 4: An Amendment to Authorize the Possession, Personal Use,NOP,AGAINST,489,2,234,7,246
