county,precinct,office,district,party,candidate,votes,provisional_ed,early_vote,absentee,provisional_ev,post,election_day
Washington,251 Fay 58,U.S. Senate,,DEM,Natalie James,236,0,138,2,0,0,96
Washington,252 Fay 59,U.S. Senate,,DEM,Natalie James,102,0,64,9,0,0,29
Washington,253 Fay 60,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,254 Fay 61,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,255 Fay 62,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,256 Fay 63,U.S. Senate,,DEM,Natalie James,21,0,13,1,0,0,7
Washington,257 Fay 64,U.S. Senate,,DEM,Natalie James,19,0,10,0,0,0,9
Washington,258 Fay 65,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,259 Fay 66,U.S. Senate,,DEM,Natalie James,1,0,1,0,0,0,0
Washington,260 Fay 03,U.S. Senate,,DEM,Natalie James,574,0,262,5,0,0,307
Washington,270 Fay 04,U.S. Senate,,DEM,Natalie James,263,0,123,3,0,0,137
Washington,280 Fay 05,U.S. Senate,,DEM,Natalie James,571,0,339,18,0,0,214
Washington,290 Fay 06,U.S. Senate,,DEM,Natalie James,811,0,431,16,0,0,364
Washington,300 Fay 07,U.S. Senate,,DEM,Natalie James,503,0,338,11,0,0,154
Washington,310 Fay 08,U.S. Senate,,DEM,Natalie James,815,0,482,15,0,0,318
Washington,320 Fay 09a,U.S. Senate,,DEM,Natalie James,255,0,140,2,0,0,113
Washington,321 Fay 09b,U.S. Senate,,DEM,Natalie James,470,0,265,11,0,0,194
Washington,330 Fay 10,U.S. Senate,,DEM,Natalie James,262,0,155,8,0,0,99
Washington,331 Fay 11,U.S. Senate,,DEM,Natalie James,497,0,301,3,0,0,193
Washington,332 Fay 12,U.S. Senate,,DEM,Natalie James,587,0,399,12,0,0,176
Washington,333 Fay 13,U.S. Senate,,DEM,Natalie James,417,0,163,3,0,0,251
Washington,334 Fay 14,U.S. Senate,,DEM,Natalie James,170,0,97,1,0,0,72
Washington,335 Fay 15,U.S. Senate,,DEM,Natalie James,173,0,73,5,0,0,95
Washington,336 Fay 16,U.S. Senate,,DEM,Natalie James,22,0,15,3,0,0,4
Washington,337 Fay 17,U.S. Senate,,DEM,Natalie James,606,0,363,13,0,0,230
Washington,338 Fay 18,U.S. Senate,,DEM,Natalie James,285,0,148,3,0,0,134
Washington,339 Fay 19,U.S. Senate,,DEM,Natalie James,724,0,474,10,0,0,240
Washington,340 Fay 20,U.S. Senate,,DEM,Natalie James,677,0,390,8,0,0,279
Washington,341 Fay 21,U.S. Senate,,DEM,Natalie James,110,0,67,2,0,0,41
Washington,342 Fay 22,U.S. Senate,,DEM,Natalie James,567,0,330,8,0,0,229
Washington,343 Fay 23,U.S. Senate,,DEM,Natalie James,460,0,245,11,0,0,204
Washington,344 Fay 24,U.S. Senate,,DEM,Natalie James,184,0,108,0,0,0,76
Washington,345 Fay 25,U.S. Senate,,DEM,Natalie James,521,0,353,14,0,0,154
Washington,346 Fay 26,U.S. Senate,,DEM,Natalie James,448,0,280,5,0,0,163
Washington,347 Fay 27,U.S. Senate,,DEM,Natalie James,383,0,237,5,0,0,141
Washington,348 Fay 28,U.S. Senate,,DEM,Natalie James,419,0,255,9,0,0,155
Washington,349 Fay 29,U.S. Senate,,DEM,Natalie James,328,0,215,9,0,0,104
Washington,350 Fay 30,U.S. Senate,,DEM,Natalie James,413,0,251,12,0,0,150
Washington,351 Fay 31,U.S. Senate,,DEM,Natalie James,378,0,249,5,0,0,124
Washington,352 Fay 32,U.S. Senate,,DEM,Natalie James,330,0,220,8,0,0,102
Washington,353 Fay 33,U.S. Senate,,DEM,Natalie James,76,0,44,1,0,0,31
Washington,354 Fay 34,U.S. Senate,,DEM,Natalie James,294,0,117,5,0,0,172
Washington,355 Fay 35,U.S. Senate,,DEM,Natalie James,271,0,157,37,0,0,77
Washington,356 Fay 36,U.S. Senate,,DEM,Natalie James,264,0,142,10,0,0,112
Washington,357 Fay 37,U.S. Senate,,DEM,Natalie James,62,0,28,1,0,0,33
Washington,358 Fay 38,U.S. Senate,,DEM,Natalie James,143,0,87,0,0,0,56
Washington,359 Fay 39,U.S. Senate,,DEM,Natalie James,93,0,69,1,0,0,23
Washington,360 Fay 40,U.S. Senate,,DEM,Natalie James,658,0,344,11,0,0,303
Washington,361 Fay 41,U.S. Senate,,DEM,Natalie James,51,0,29,3,0,0,19
Washington,362 Fay 42,U.S. Senate,,DEM,Natalie James,213,0,115,6,0,0,92
Washington,363 Fay 43,U.S. Senate,,DEM,Natalie James,22,0,16,0,0,0,6
Washington,364 Fay 44,U.S. Senate,,DEM,Natalie James,124,0,64,4,0,0,56
Washington,365 Fay 45,U.S. Senate,,DEM,Natalie James,12,0,9,1,0,0,2
Washington,366 Fay 46,U.S. Senate,,DEM,Natalie James,81,0,58,0,0,0,23
Washington,367 Fay 47,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,368 Fay 48,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,369 Greenland City-1,U.S. Senate,,DEM,Natalie James,162,0,77,6,0,0,79
Washington,370 Greenland Twp-1,U.S. Senate,,DEM,Natalie James,124,0,59,2,0,0,63
Washington,371 Greenland City-2,U.S. Senate,,DEM,Natalie James,18,0,7,1,0,0,10
Washington,372 Greenland Twp-2,U.S. Senate,,DEM,Natalie James,65,0,32,3,0,0,30
Washington,373 Goshen City-1,U.S. Senate,,DEM,Natalie James,303,0,153,1,0,0,149
Washington,374 Goshen City-2,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,375 Goshen Twp-1,U.S. Senate,,DEM,Natalie James,57,0,23,3,0,0,31
Washington,376 Goshen Twp-2,U.S. Senate,,DEM,Natalie James,58,0,36,0,0,0,22
Washington,377 Greenland Twp-3,U.S. Senate,,DEM,Natalie James,26,0,18,0,0,0,8
Washington,380 Harmon-1,U.S. Senate,,DEM,Natalie James,101,0,48,5,0,0,48
Washington,381 Harmon-5,U.S. Senate,,DEM,Natalie James,19,0,12,0,0,0,7
Washington,382 Harmon-2,U.S. Senate,,DEM,Natalie James,6,0,5,0,0,0,1
Washington,383 Harmon-3,U.S. Senate,,DEM,Natalie James,8,0,4,0,0,0,4
Washington,384 Harmon-4,U.S. Senate,,DEM,Natalie James,5,0,2,0,0,0,3
Washington,385 Harmon-6,U.S. Senate,,DEM,Natalie James,1,0,0,0,0,0,1
Washington,400 Illinois,U.S. Senate,,DEM,Natalie James,31,0,8,4,0,0,19
Washington,419 Johnson Twp-4,U.S. Senate,,DEM,Natalie James,4,0,3,0,0,0,1
Washington,420 Johnson Twp-1,U.S. Senate,,DEM,Natalie James,65,0,42,1,0,0,22
Washington,421 Johnson City-1,U.S. Senate,,DEM,Natalie James,290,0,165,7,0,0,118
Washington,422 Johnson City-4,U.S. Senate,,DEM,Natalie James,4,0,2,0,0,0,2
Washington,423 Johnson Twp-2,U.S. Senate,,DEM,Natalie James,4,0,2,0,0,0,2
Washington,424 Johnson Twp-3,U.S. Senate,,DEM,Natalie James,17,0,13,0,0,0,4
Washington,425 Johnson City-2,U.S. Senate,,DEM,Natalie James,56,0,27,4,0,0,25
Washington,426 Johnson City-3,U.S. Senate,,DEM,Natalie James,154,0,77,1,0,0,76
Washington,440 Lees Creek,U.S. Senate,,DEM,Natalie James,99,0,67,3,0,0,29
Washington,460 Lincoln,U.S. Senate,,DEM,Natalie James,147,0,69,7,0,0,71
Washington,480 Litteral-1,U.S. Senate,,DEM,Natalie James,22,0,13,0,0,0,9
Washington,481 Litteral-2,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,482 Litteral-3,U.S. Senate,,DEM,Natalie James,248,0,133,5,0,0,110
Washington,483 Litteral-4,U.S. Senate,,DEM,Natalie James,12,0,10,0,0,0,2
Washington,500 Marrs Hill-1,U.S. Senate,,DEM,Natalie James,83,0,58,0,0,0,25
Washington,501 Marrs Hill-2,U.S. Senate,,DEM,Natalie James,19,0,16,1,0,0,2
Washington,520 Morrow-1,U.S. Senate,,DEM,Natalie James,25,0,12,0,0,0,13
Washington,521 Morrow-2,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,541 Prairie Twp 1,U.S. Senate,,DEM,Natalie James,432,0,242,11,0,0,179
Washington,542 Prairie Twp 2,U.S. Senate,,DEM,Natalie James,145,0,93,1,0,0,51
Washington,543 Prairie Twp 3,U.S. Senate,,DEM,Natalie James,10,0,7,0,0,0,3
Washington,544 Prairie Twp 4,U.S. Senate,,DEM,Natalie James,27,0,20,1,0,0,6
Washington,545 Prairie Twp 5,U.S. Senate,,DEM,Natalie James,131,0,83,2,0,0,46
Washington,546 Prairie Twp 6,U.S. Senate,,DEM,Natalie James,4,0,2,0,0,0,2
Washington,547 Prairie Twp 7,U.S. Senate,,DEM,Natalie James,6,0,2,0,0,0,4
Washington,548 Prairie Twp 8,U.S. Senate,,DEM,Natalie James,90,0,59,2,0,0,29
Washington,549 Prairie Twp 9,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,550 Prairie Grove City-1,U.S. Senate,,DEM,Natalie James,322,0,211,5,0,0,106
Washington,560 Prairie Grove City-2,U.S. Senate,,DEM,Natalie James,270,0,171,1,0,0,98
Washington,561 Prairie Grove City-3,U.S. Senate,,DEM,Natalie James,27,0,19,0,0,0,8
Washington,562 Prairie Grove City-4,U.S. Senate,,DEM,Natalie James,68,0,37,2,0,0,29
Washington,563 Prairie Grove City-5,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,580 Prairie Grove Twp-1,U.S. Senate,,DEM,Natalie James,18,0,14,2,0,0,2
Washington,581 Prairie Grove Twp-3,U.S. Senate,,DEM,Natalie James,63,0,46,1,0,0,16
Washington,582 Prairie Grove Twp-2,U.S. Senate,,DEM,Natalie James,62,0,38,2,0,0,22
Washington,620 Reed-1,U.S. Senate,,DEM,Natalie James,31,0,19,0,0,0,12
Washington,621 Reed-2,U.S. Senate,,DEM,Natalie James,6,0,3,0,0,0,3
Washington,640 Rheas Mill,U.S. Senate,,DEM,Natalie James,34,0,10,0,0,0,24
Washington,660 Richland-1,U.S. Senate,,DEM,Natalie James,1,0,0,0,0,0,1
Washington,661 Richland-3,U.S. Senate,,DEM,Natalie James,87,0,50,3,0,0,34
Washington,662 Richland-2,U.S. Senate,,DEM,Natalie James,11,0,8,0,0,0,3
Washington,680 Spg 01,U.S. Senate,,DEM,Natalie James,46,0,29,0,0,0,17
Washington,690 Spg 02,U.S. Senate,,DEM,Natalie James,112,0,42,3,0,0,67
Washington,700 Spg 03,U.S. Senate,,DEM,Natalie James,322,0,161,2,0,0,159
Washington,710 Spg 04,U.S. Senate,,DEM,Natalie James,320,0,139,5,0,0,176
Washington,720 Spg 05,U.S. Senate,,DEM,Natalie James,104,0,54,4,0,0,46
Washington,730 Spg 06,U.S. Senate,,DEM,Natalie James,193,0,100,4,0,0,89
Washington,740 Spg 07,U.S. Senate,,DEM,Natalie James,135,0,70,3,0,0,62
Washington,741 Spg 08,U.S. Senate,,DEM,Natalie James,127,0,78,2,0,0,47
Washington,742 Spg 09,U.S. Senate,,DEM,Natalie James,150,0,74,3,0,0,73
Washington,743 Spg 10,U.S. Senate,,DEM,Natalie James,102,0,64,4,0,0,34
Washington,744 Spg 11,U.S. Senate,,DEM,Natalie James,253,0,171,2,0,0,80
Washington,745 Spg 12,U.S. Senate,,DEM,Natalie James,393,0,169,12,0,0,212
Washington,746 Spg 13,U.S. Senate,,DEM,Natalie James,223,0,70,2,0,0,151
Washington,747 Spg 14,U.S. Senate,,DEM,Natalie James,294,0,165,2,0,0,127
Washington,748 Spg 15,U.S. Senate,,DEM,Natalie James,198,0,73,3,0,0,122
Washington,749 Spg 16,U.S. Senate,,DEM,Natalie James,109,0,51,3,0,0,55
Washington,752 Spg 17,U.S. Senate,,DEM,Natalie James,324,0,189,14,0,0,121
Washington,753 Spg 18,U.S. Senate,,DEM,Natalie James,269,0,142,3,0,0,124
Washington,754 Spg 19,U.S. Senate,,DEM,Natalie James,122,0,69,1,0,0,52
Washington,755 Spg 20,U.S. Senate,,DEM,Natalie James,32,0,19,0,0,0,13
Washington,756 Spg 21,U.S. Senate,,DEM,Natalie James,54,0,36,0,0,0,18
Washington,757 Spg 22,U.S. Senate,,DEM,Natalie James,27,0,16,0,0,0,11
Washington,758 Spg 23,U.S. Senate,,DEM,Natalie James,1,0,0,1,0,0,0
Washington,759 Spg 24,U.S. Senate,,DEM,Natalie James,48,0,13,0,0,0,35
Washington,760 Spg 25,U.S. Senate,,DEM,Natalie James,84,0,47,3,0,0,34
Washington,761 Spg 26,U.S. Senate,,DEM,Natalie James,99,0,53,1,0,0,45
Washington,762 Spg 27,U.S. Senate,,DEM,Natalie James,51,0,34,4,0,0,13
Washington,763 Spg 28,U.S. Senate,,DEM,Natalie James,72,0,44,6,0,0,22
Washington,764 Spg 29,U.S. Senate,,DEM,Natalie James,161,0,92,5,0,0,64
Washington,765 Spg 30,U.S. Senate,,DEM,Natalie James,6,0,1,0,0,0,5
Washington,766 Spg 31,U.S. Senate,,DEM,Natalie James,111,0,60,1,0,0,50
Washington,767 Spg 32,U.S. Senate,,DEM,Natalie James,15,0,7,0,0,0,8
Washington,768 Spg 33,U.S. Senate,,DEM,Natalie James,32,0,15,1,0,0,16
Washington,769 Spg 34,U.S. Senate,,DEM,Natalie James,32,0,16,0,0,0,16
Washington,770 Spg 35,U.S. Senate,,DEM,Natalie James,128,0,78,2,0,0,48
Washington,771 Spg 36,U.S. Senate,,DEM,Natalie James,52,0,31,1,0,0,20
Washington,772 Spg 37,U.S. Senate,,DEM,Natalie James,23,0,12,0,0,0,11
Washington,773 Spg 38,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,774 Spg 39,U.S. Senate,,DEM,Natalie James,122,0,66,2,0,0,54
Washington,775 Spg 40,U.S. Senate,,DEM,Natalie James,93,0,47,1,0,0,45
Washington,776 Spg 41,U.S. Senate,,DEM,Natalie James,24,0,6,1,0,0,17
Washington,778 Spg 43,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,779 Spg Twp-1,U.S. Senate,,DEM,Natalie James,78,0,34,4,0,0,40
Washington,780 Starr Hill,U.S. Senate,,DEM,Natalie James,94,0,40,4,0,0,50
Washington,781 Spg Twp-2,U.S. Senate,,DEM,Natalie James,148,0,75,2,0,0,71
Washington,782 Spg Twp-3,U.S. Senate,,DEM,Natalie James,2,0,0,0,0,0,2
Washington,783 Spg Twp-4,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,800 Tontitown City-1,U.S. Senate,,DEM,Natalie James,188,0,94,6,0,0,88
Washington,801 Tontitown City-2,U.S. Senate,,DEM,Natalie James,126,0,93,2,0,0,31
Washington,802 Tontitown City-3,U.S. Senate,,DEM,Natalie James,11,0,5,2,0,0,4
Washington,803 Tontitown City-4,U.S. Senate,,DEM,Natalie James,4,0,2,1,0,0,1
Washington,804 Tontitown City-5,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,805 Tontitown City-6,U.S. Senate,,DEM,Natalie James,245,0,164,3,0,0,78
Washington,807 Tontitown Twp,U.S. Senate,,DEM,Natalie James,3,0,2,0,0,0,1
Washington,810 Valley-1,U.S. Senate,,DEM,Natalie James,95,0,65,2,0,0,28
Washington,811 Valley-2,U.S. Senate,,DEM,Natalie James,2,0,0,0,0,0,2
Washington,812 Valley-3,U.S. Senate,,DEM,Natalie James,57,0,33,0,0,0,24
Washington,820 Vineyard,U.S. Senate,,DEM,Natalie James,15,0,2,0,0,0,13
Washington,830 War Eagle,U.S. Senate,,DEM,Natalie James,20,0,8,1,0,0,11
Washington,840 Wedington,U.S. Senate,,DEM,Natalie James,25,0,9,1,0,0,15
Washington,860 West Fork City-1,U.S. Senate,,DEM,Natalie James,243,0,144,5,0,0,94
Washington,861 West Fork City-2,U.S. Senate,,DEM,Natalie James,49,0,30,1,0,0,18
Washington,862 West Fork City-3,U.S. Senate,,DEM,Natalie James,6,0,4,0,0,0,2
Washington,880 West Fork Twp-1,U.S. Senate,,DEM,Natalie James,106,0,64,3,0,0,39
Washington,881 West Fork Twp-2,U.S. Senate,,DEM,Natalie James,84,0,57,4,0,0,23
Washington,882 West Fork Twp-3,U.S. Senate,,DEM,Natalie James,12,0,7,0,0,0,5
Washington,900 Wheeler-1,U.S. Senate,,DEM,Natalie James,110,0,57,3,0,0,50
Washington,901 Wheeler-4,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,902 Wheeler-5,U.S. Senate,,DEM,Natalie James,23,0,11,0,0,0,12
Washington,903 Wheeler-2,U.S. Senate,,DEM,Natalie James,44,0,19,2,0,0,23
Washington,904 Wheeler-3,U.S. Senate,,DEM,Natalie James,6,0,1,0,0,0,5
Washington,920 White River-1,U.S. Senate,,DEM,Natalie James,54,0,30,0,0,0,24
Washington,930 White River-2,U.S. Senate,,DEM,Natalie James,19,0,10,1,0,0,8
Washington,931 White River-3,U.S. Senate,,DEM,Natalie James,13,0,11,0,0,0,2
Washington,932 White River-4,U.S. Senate,,DEM,Natalie James,0,0,0,0,0,0,0
Washington,933 White River-5,U.S. Senate,,DEM,Natalie James,11,0,9,0,0,0,2
Washington,940 Winslow Twp,U.S. Senate,,DEM,Natalie James,91,0,37,2,0,0,52
Washington,950 Winslow City,U.S. Senate,,DEM,Natalie James,57,0,17,0,0,0,40
Washington,960 Wyman,U.S. Senate,,DEM,Natalie James,111,0,71,0,0,0,40
Washington,020 Boston,U.S. Senate,,REP,Senator John Boozman,81,0,7,0,0,0,74
Washington,040 Brush Creek,U.S. Senate,,REP,Senator John Boozman,672,0,185,3,0,0,484
Washington,060 Cane Hill-1,U.S. Senate,,REP,Senator John Boozman,258,0,76,2,0,0,180
Washington,061 Cane Hill-2,U.S. Senate,,REP,Senator John Boozman,149,0,85,2,0,0,62
Washington,062 Cane Hill-3,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0,0,0
Washington,080 Center-1,U.S. Senate,,REP,Senator John Boozman,411,0,207,6,0,0,198
Washington,082 Center-2,U.S. Senate,,REP,Senator John Boozman,27,0,15,0,0,0,12
Washington,083 Center-3,U.S. Senate,,REP,Senator John Boozman,2,0,2,0,0,0,0
Washington,084 Center-4,U.S. Senate,,REP,Senator John Boozman,15,0,5,2,0,0,8
Washington,085 Center-5,U.S. Senate,,REP,Senator John Boozman,29,0,14,0,0,0,15
Washington,100 Cove Creek-1,U.S. Senate,,REP,Senator John Boozman,214,0,108,4,0,0,102
Washington,101 Cove Creek-2,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0,0,0
Washington,110 Cove Creek-3,U.S. Senate,,REP,Senator John Boozman,11,0,9,0,0,0,2
Washington,120 Crawford,U.S. Senate,,REP,Senator John Boozman,214,0,57,0,0,0,157
Washington,140 Durham,U.S. Senate,,REP,Senator John Boozman,210,0,109,0,0,0,101
Washington,160 Dutch Mills,U.S. Senate,,REP,Senator John Boozman,76,0,21,2,0,0,53
Washington,180 Elkins-1,U.S. Senate,,REP,Senator John Boozman,647,0,326,6,0,0,315
Washington,181 Elkins-2,U.S. Senate,,REP,Senator John Boozman,87,0,66,0,0,0,21
Washington,200 Elm Springs Twp,U.S. Senate,,REP,Senator John Boozman,148,0,59,1,0,0,88
Washington,210 Elm Springs City-1,U.S. Senate,,REP,Senator John Boozman,366,0,139,2,0,0,225
Washington,211 Elm Springs City-2,U.S. Senate,,REP,Senator John Boozman,362,0,138,2,0,0,222
Washington,220 Farmington-1,U.S. Senate,,REP,Senator John Boozman,330,0,143,3,0,0,184
Washington,221 Farmington-5,U.S. Senate,,REP,Senator John Boozman,24,0,13,0,0,0,11
Washington,222 Farmington-2,U.S. Senate,,REP,Senator John Boozman,743,0,357,8,0,0,378
Washington,223 Farmington-3,U.S. Senate,,REP,Senator John Boozman,365,0,174,3,0,0,188
Washington,224 Farmington-4,U.S. Senate,,REP,Senator John Boozman,235,0,102,6,0,0,127
Washington,225 Farmington-6,U.S. Senate,,REP,Senator John Boozman,61,0,28,0,0,0,33
Washington,240 Fay 01,U.S. Senate,,REP,Senator John Boozman,83,0,39,0,0,0,44
Washington,241 Fay 49,U.S. Senate,,REP,Senator John Boozman,123,0,62,0,0,0,61
Washington,242 Fay 50,U.S. Senate,,REP,Senator John Boozman,58,0,31,1,0,0,26
Washington,243 Fay 51,U.S. Senate,,REP,Senator John Boozman,12,0,6,0,0,0,6
Washington,244 Fay 52,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0,0,0
Washington,245 Fay 53,U.S. Senate,,REP,Senator John Boozman,66,0,41,2,0,0,23
Washington,246 Fay 54,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0,0,0
Washington,247 Fay 55,U.S. Senate,,REP,Senator John Boozman,23,0,8,0,0,0,15
Washington,248 Fay 56,U.S. Senate,,REP,Senator John Boozman,281,0,168,6,0,0,107
Washington,249 Fay 57,U.S. Senate,,REP,Senator John Boozman,3,0,3,0,0,0,0
Washington,250 Fay 02,U.S. Senate,,REP,Senator John Boozman,86,0,29,2,0,0,55
Washington,251 Fay 58,U.S. Senate,,REP,Senator John Boozman,134,0,58,1,0,0,75
Washington,252 Fay 59,U.S. Senate,,REP,Senator John Boozman,116,0,65,3,0,0,48
Washington,253 Fay 60,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0,0,0
Washington,254 Fay 61,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0,0,0
Washington,255 Fay 62,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0,0,0
Washington,256 Fay 63,U.S. Senate,,REP,Senator John Boozman,12,0,4,2,0,0,6
Washington,257 Fay 64,U.S. Senate,,REP,Senator John Boozman,3,0,1,0,0,0,2
Washington,258 Fay 65,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0,0,0
Washington,259 Fay 66,U.S. Senate,,REP,Senator John Boozman,0,0,0,0,0,0,0
Washington,260 Fay 03,U.S. Senate,,REP,Senator John Boozman,229,0,86,2,0,0,141
Washington,270 Fay 04,U.S. Senate,,REP,Senator John Boozman,62,0,26,0,0,0,36
Washington,280 Fay 05,U.S. Senate,,REP,Senator John Boozman,148,0,65,5,0,0,78
Washington,290 Fay 06,U.S. Senate,,REP,Senator John Boozman,508,0,216,9,0,0,283
Washington,300 Fay 07,U.S. Senate,,REP,Senator John Boozman,165,0,105,2,0,0,58
Washington,310 Fay 08,U.S. Senate,,REP,Senator John Boozman,253,0,130,1,0,0,122
Washington,320 Fay 09a,U.S. Senate,,REP,Senator John Boozman,53,0,23,0,0,0,30
Washington,321 Fay 09b,U.S. Senate,,REP,Senator John Boozman,154,0,66,8,0,0,80
Washington,330 Fay 10,U.S. Senate,,REP,Senator John Boozman,137,0,79,0,0,0,58
Washington,331 Fay 11,U.S. Senate,,REP,Senator John Boozman,477,0,213,5,0,0,259
Washington,332 Fay 12,U.S. Senate,,REP,Senator John Boozman,546,0,306,11,0,0,229
Washington,333 Fay 13,U.S. Senate,,REP,Senator John Boozman,112,0,38,2,0,0,72
Washington,334 Fay 14,U.S. Senate,,REP,Senator John Boozman,39,0,12,3,0,0,24
Washington,335 Fay 15,U.S. Senate,,REP,Senator John Boozman,71,0,20,1,0,0,50
Washington,336 Fay 16,U.S. Senate,,REP,Senator John Boozman,30,0,16,0,0,0,14
Washington,337 Fay 17,U.S. Senate,,REP,Senator John Boozman,339,0,146,4,0,0,189
Washington,338 Fay 18,U.S. Senate,,REP,Senator John Boozman,118,0,49,0,0,0,69
Washington,339 Fay 19,U.S. Senate,,REP,Senator John Boozman,407,0,184,8,0,0,215
Washington,340 Fay 20,U.S. Senate,,REP,Senator John Boozman,423,0,213,1,0,0,209
Washington,341 Fay 21,U.S. Senate,,REP,Senator John Boozman,66,0,35,2,0,0,29
Washington,342 Fay 22,U.S. Senate,,REP,Senator John Boozman,271,0,135,2,0,0,134
Washington,343 Fay 23,U.S. Senate,,REP,Senator John Boozman,209,0,94,4,0,0,111
