county,precinct,office,district,party,candidate,votes,absentee,election_day_paper,election_day,early_vote,early_vote_paper
Stone,Liberty,U.S. President,,DEM,Joseph R. Biden,11,1,3,3,4,0
Stone,Northwest,U.S. President,,DEM,Joseph R. Biden,15,0,12,0,1,2
Stone,Old Lexington,U.S. President,,DEM,Joseph R. Biden,2,0,0,2,0,0
Stone,Fox,U.S. President,,DEM,Joseph R. Biden,33,0,6,21,6,0
Stone,Red Doors,U.S. President,,DEM,Joseph R. Biden,41,0,12,14,15,0
Stone,Ben 01,U.S. President,,DEM,Joseph R. Biden,3,0,1,0,2,0
Stone,Ben 02,U.S. President,,DEM,Joseph R. Biden,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Ward 3,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Foothills,U.S. President,,DEM,Michael Bennet,1,0,0,1,0,0
Stone,Liberty,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Red Doors,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Ben 01,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Michael Bennet,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Cory Booker,1,0,0,1,0,0
Stone,Ward 3,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Cory Booker,1,0,0,1,0,0
Stone,Northeast,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Cory Booker,1,0,0,1,0,0
Stone,Foothills,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Liberty,U.S. President,,DEM,Cory Booker,1,0,1,0,0,0
Stone,Northwest,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Cory Booker,1,0,0,0,1,0
Stone,Red Doors,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Ben 01,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Cory Booker,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Bernie Sanders,21,0,3,12,6,0
Stone,East Out,U.S. President,,DEM,Bernie Sanders,5,0,0,2,3,0
Stone,Ward 1,U.S. President,,DEM,Bernie Sanders,13,0,1,5,6,1
Stone,Ward 2,U.S. President,,DEM,Bernie Sanders,11,0,1,4,6,0
Stone,Ward 3,U.S. President,,DEM,Bernie Sanders,17,0,2,6,8,1
Stone,West Out,U.S. President,,DEM,Bernie Sanders,7,0,1,3,2,1
Stone,Dodd Mountain,U.S. President,,DEM,Bernie Sanders,21,0,6,7,6,2
Stone,Bethany,U.S. President,,DEM,Bernie Sanders,12,0,3,4,5,0
Stone,Northeast,U.S. President,,DEM,Bernie Sanders,10,0,0,1,8,1
Stone,Angora Mountain,U.S. President,,DEM,Bernie Sanders,6,0,3,2,1,0
Stone,Pleasant Grove,U.S. President,,DEM,Bernie Sanders,15,0,2,11,2,0
Stone,Foothills,U.S. President,,DEM,Bernie Sanders,29,0,9,7,13,0
Stone,Liberty,U.S. President,,DEM,Bernie Sanders,6,0,0,3,2,1
Stone,Northwest,U.S. President,,DEM,Bernie Sanders,9,0,6,0,1,2
Stone,Old Lexington,U.S. President,,DEM,Bernie Sanders,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Bernie Sanders,30,1,4,17,8,0
Stone,Red Doors,U.S. President,,DEM,Bernie Sanders,32,0,9,12,10,1
Stone,Ben 01,U.S. President,,DEM,Bernie Sanders,2,0,0,2,0,0
Stone,Ben 02,U.S. President,,DEM,Bernie Sanders,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Andrew Yang,1,0,0,1,0,0
Stone,East Out,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Ward 3,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Foothills,U.S. President,,DEM,Andrew Yang,1,0,0,0,1,0
Stone,Liberty,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Red Doors,U.S. President,,DEM,Andrew Yang,1,0,0,0,0,1
Stone,Ben 01,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Andrew Yang,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Ward 3,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Foothills,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Liberty,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Red Doors,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Ben 01,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Joe Sestak,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,Mosie Boyd,1,0,1,0,0,0
Stone,Ward 1,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Mosie Boyd,1,0,1,0,0,0
Stone,Ward 3,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Foothills,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Liberty,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Red Doors,U.S. President,,DEM,Mosie Boyd,2,0,0,0,1,1
Stone,Ben 01,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Mosie Boyd,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Amy Klobuchar,3,0,0,3,0,0
Stone,East Out,U.S. President,,DEM,Amy Klobuchar,2,0,0,0,2,0
Stone,Ward 1,U.S. President,,DEM,Amy Klobuchar,6,0,0,0,5,1
Stone,Ward 2,U.S. President,,DEM,Amy Klobuchar,3,0,0,1,2,0
Stone,Ward 3,U.S. President,,DEM,Amy Klobuchar,3,0,0,0,3,0
Stone,West Out,U.S. President,,DEM,Amy Klobuchar,2,0,0,0,2,0
Stone,Dodd Mountain,U.S. President,,DEM,Amy Klobuchar,7,0,1,1,5,0
Stone,Bethany,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Amy Klobuchar,4,1,0,1,2,0
Stone,Angora Mountain,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Amy Klobuchar,3,0,0,1,2,0
Stone,Foothills,U.S. President,,DEM,Amy Klobuchar,4,0,0,1,3,0
Stone,Liberty,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Amy Klobuchar,1,0,0,0,1,0
Stone,Red Doors,U.S. President,,DEM,Amy Klobuchar,3,0,0,0,3,0
Stone,Ben 01,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Amy Klobuchar,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Ward 3,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Marianne Williamson,1,0,0,1,0,0
Stone,Foothills,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Liberty,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Marianne Williamson,1,0,0,0,1,0
Stone,Old Lexington,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Red Doors,U.S. President,,DEM,Marianne Williamson,1,0,0,0,0,1
Stone,Ben 01,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Marianne Williamson,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,John K. Delaney,4,0,0,0,4,0
Stone,Ward 3,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,John K. Delaney,1,0,0,0,1,0
Stone,Dodd Mountain,U.S. President,,DEM,John K. Delaney,2,0,0,2,0,0
Stone,Bethany,U.S. President,,DEM,John K. Delaney,1,0,1,0,0,0
Stone,Northeast,U.S. President,,DEM,John K. Delaney,1,0,0,1,0,0
Stone,Angora Mountain,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,John K. Delaney,3,0,0,2,1,0
Stone,Foothills,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Liberty,U.S. President,,DEM,John K. Delaney,1,0,0,1,0,0
Stone,Northwest,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,John K. Delaney,1,0,0,1,0,0
Stone,Red Doors,U.S. President,,DEM,John K. Delaney,3,0,0,3,0,0
Stone,Ben 01,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,John K. Delaney,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Pete Buttigieg,2,0,0,1,1,0
Stone,East Out,U.S. President,,DEM,Pete Buttigieg,1,0,0,0,1,0
Stone,Ward 1,U.S. President,,DEM,Pete Buttigieg,9,0,0,2,7,0
Stone,Ward 2,U.S. President,,DEM,Pete Buttigieg,1,0,0,0,1,0
Stone,Ward 3,U.S. President,,DEM,Pete Buttigieg,9,0,1,0,8,0
Stone,West Out,U.S. President,,DEM,Pete Buttigieg,1,0,0,0,1,0
Stone,Dodd Mountain,U.S. President,,DEM,Pete Buttigieg,3,0,0,0,3,0
Stone,Bethany,U.S. President,,DEM,Pete Buttigieg,1,0,0,0,1,0
Stone,Northeast,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Pete Buttigieg,5,0,1,3,1,0
Stone,Foothills,U.S. President,,DEM,Pete Buttigieg,8,0,0,3,5,0
Stone,Liberty,U.S. President,,DEM,Pete Buttigieg,1,0,0,0,1,0
Stone,Northwest,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Pete Buttigieg,2,0,0,0,2,0
Stone,Red Doors,U.S. President,,DEM,Pete Buttigieg,5,0,0,2,3,0
Stone,Ben 01,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Pete Buttigieg,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Elizabeth Warren,7,0,2,4,1,0
Stone,East Out,U.S. President,,DEM,Elizabeth Warren,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Elizabeth Warren,8,0,0,5,3,0
Stone,Ward 2,U.S. President,,DEM,Elizabeth Warren,8,0,0,0,7,1
Stone,Ward 3,U.S. President,,DEM,Elizabeth Warren,14,0,5,4,5,0
Stone,West Out,U.S. President,,DEM,Elizabeth Warren,6,0,0,2,4,0
Stone,Dodd Mountain,U.S. President,,DEM,Elizabeth Warren,10,0,2,4,2,2
Stone,Bethany,U.S. President,,DEM,Elizabeth Warren,6,0,1,0,5,0
Stone,Northeast,U.S. President,,DEM,Elizabeth Warren,2,0,0,1,1,0
Stone,Angora Mountain,U.S. President,,DEM,Elizabeth Warren,2,0,2,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Elizabeth Warren,8,0,1,7,0,0
Stone,Foothills,U.S. President,,DEM,Elizabeth Warren,8,1,4,1,2,0
Stone,Liberty,U.S. President,,DEM,Elizabeth Warren,1,0,1,0,0,0
Stone,Northwest,U.S. President,,DEM,Elizabeth Warren,4,1,1,0,2,0
Stone,Old Lexington,U.S. President,,DEM,Elizabeth Warren,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Elizabeth Warren,12,0,0,7,5,0
Stone,Red Doors,U.S. President,,DEM,Elizabeth Warren,16,0,1,8,7,0
Stone,Ben 01,U.S. President,,DEM,Elizabeth Warren,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Elizabeth Warren,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Ward 3,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Angora Mountain,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Pleasant Grove,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Foothills,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Liberty,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Northwest,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Old Lexington,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Fox,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Red Doors,U.S. President,,DEM,Julian Castro,1,0,0,1,0,0
Stone,Ben 01,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Ben 02,U.S. President,,DEM,Julian Castro,0,0,0,0,0,0
Stone,Arbanna,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
Stone,East Out,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
Stone,Ward 1,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
Stone,Ward 2,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
Stone,Ward 3,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
Stone,West Out,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
Stone,Dodd Mountain,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
Stone,Bethany,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
Stone,Northeast,U.S. President,,DEM,Kamala Harris,0,0,0,0,0,0
