county,precinct,office,district,party,candidate,votes,election_day_paper_ballot,absentee,election_day_ivo_machine,provisional,early_vote
Pulaski,29,U.S. President,,REP,Rick Santorum,0,0,0,0,0,0
Pulaski,30,U.S. President,,REP,Rick Santorum,1,0,1,0,0,0
Pulaski,31,U.S. President,,REP,Rick Santorum,27,22,0,0,0,5
Pulaski,32,U.S. President,,REP,Rick Santorum,22,14,0,0,0,8
Pulaski,33,U.S. President,,REP,Rick Santorum,7,5,0,0,0,2
Pulaski,34,U.S. President,,REP,Rick Santorum,18,15,0,0,0,3
Pulaski,35,U.S. President,,REP,Rick Santorum,37,32,0,0,0,5
Pulaski,36,U.S. President,,REP,Rick Santorum,9,9,0,0,0,0
Pulaski,37,U.S. President,,REP,Rick Santorum,30,19,2,0,0,9
Pulaski,38,U.S. President,,REP,Rick Santorum,9,6,0,0,0,3
Pulaski,39,U.S. President,,REP,Rick Santorum,20,16,0,0,0,4
Pulaski,40,U.S. President,,REP,Rick Santorum,28,22,0,0,0,6
Pulaski,41,U.S. President,,REP,Rick Santorum,26,19,0,0,0,7
Pulaski,42,U.S. President,,REP,Rick Santorum,20,17,0,0,0,3
Pulaski,43,U.S. President,,REP,Rick Santorum,15,9,0,0,0,6
Pulaski,44,U.S. President,,REP,Rick Santorum,33,27,0,0,0,6
Pulaski,45,U.S. President,,REP,Rick Santorum,5,5,0,0,0,0
Pulaski,46,U.S. President,,REP,Rick Santorum,5,4,0,0,0,1
Pulaski,47,U.S. President,,REP,Rick Santorum,2,1,0,0,0,1
Pulaski,48,U.S. President,,REP,Rick Santorum,5,5,0,0,0,0
Pulaski,49,U.S. President,,REP,Rick Santorum,29,27,0,0,0,2
Pulaski,50,U.S. President,,REP,Rick Santorum,27,22,1,0,0,4
Pulaski,51,U.S. President,,REP,Rick Santorum,9,9,0,0,0,0
Pulaski,52,U.S. President,,REP,Rick Santorum,1,0,1,0,0,0
Pulaski,53,U.S. President,,REP,Rick Santorum,2,1,1,0,0,0
Pulaski,54,U.S. President,,REP,Rick Santorum,7,6,0,0,0,1
Pulaski,55,U.S. President,,REP,Rick Santorum,8,8,0,0,0,0
Pulaski,56,U.S. President,,REP,Rick Santorum,20,16,0,0,0,4
Pulaski,57,U.S. President,,REP,Rick Santorum,12,10,0,0,0,2
Pulaski,58,U.S. President,,REP,Rick Santorum,12,11,0,0,0,1
Pulaski,59,U.S. President,,REP,Rick Santorum,12,9,0,0,0,3
Pulaski,60,U.S. President,,REP,Rick Santorum,26,16,0,0,0,10
Pulaski,61,U.S. President,,REP,Rick Santorum,25,23,2,0,0,0
Pulaski,62,U.S. President,,REP,Rick Santorum,15,15,0,0,0,0
Pulaski,63,U.S. President,,REP,Rick Santorum,15,9,1,0,0,5
Pulaski,64,U.S. President,,REP,Rick Santorum,31,22,2,0,0,7
Pulaski,65,U.S. President,,REP,Rick Santorum,4,4,0,0,0,0
Pulaski,66,U.S. President,,REP,Rick Santorum,18,16,0,0,0,2
Pulaski,67,U.S. President,,REP,Rick Santorum,17,12,1,0,0,4
Pulaski,68,U.S. President,,REP,Rick Santorum,8,6,0,0,0,2
Pulaski,69,U.S. President,,REP,Rick Santorum,14,14,0,0,0,0
Pulaski,70,U.S. President,,REP,Rick Santorum,10,10,0,0,0,0
Pulaski,71,U.S. President,,REP,Rick Santorum,43,36,2,0,0,5
Pulaski,72,U.S. President,,REP,Rick Santorum,7,4,1,0,0,2
Pulaski,73,U.S. President,,REP,Rick Santorum,32,23,0,0,0,9
Pulaski,74,U.S. President,,REP,Rick Santorum,14,6,0,0,0,8
Pulaski,75,U.S. President,,REP,Rick Santorum,10,9,0,0,0,1
Pulaski,76,U.S. President,,REP,Rick Santorum,5,5,0,0,0,0
Pulaski,77,U.S. President,,REP,Rick Santorum,19,12,0,0,0,7
Pulaski,78,U.S. President,,REP,Rick Santorum,4,3,0,0,0,1
Pulaski,79,U.S. President,,REP,Rick Santorum,12,12,0,0,0,0
Pulaski,80,U.S. President,,REP,Rick Santorum,15,14,0,0,0,1
Pulaski,81,U.S. President,,REP,Rick Santorum,6,6,0,0,0,0
Pulaski,82,U.S. President,,REP,Rick Santorum,5,4,0,0,0,1
Pulaski,83,U.S. President,,REP,Rick Santorum,8,8,0,0,0,0
Pulaski,84,U.S. President,,REP,Rick Santorum,0,0,0,0,0,0
Pulaski,85,U.S. President,,REP,Rick Santorum,11,4,5,0,0,2
Pulaski,86,U.S. President,,REP,Rick Santorum,0,0,0,0,0,0
Pulaski,87,U.S. President,,REP,Rick Santorum,23,19,2,0,0,2
Pulaski,88,U.S. President,,REP,Rick Santorum,18,14,2,0,0,2
Pulaski,89,U.S. President,,REP,Rick Santorum,11,10,0,0,0,1
Pulaski,90,U.S. President,,REP,Rick Santorum,11,10,0,0,0,1
Pulaski,91,U.S. President,,REP,Rick Santorum,10,10,0,0,0,0
Pulaski,92,U.S. President,,REP,Rick Santorum,9,8,0,0,0,1
Pulaski,93,U.S. President,,REP,Rick Santorum,11,11,0,0,0,0
Pulaski,94,U.S. President,,REP,Rick Santorum,10,9,0,0,0,1
Pulaski,95,U.S. President,,REP,Rick Santorum,10,8,1,0,0,1
Pulaski,96,U.S. President,,REP,Rick Santorum,7,6,1,0,0,0
Pulaski,97,U.S. President,,REP,Rick Santorum,7,6,0,0,0,1
Pulaski,98,U.S. President,,REP,Rick Santorum,1,0,0,0,0,1
Pulaski,99,U.S. President,,REP,Rick Santorum,3,3,0,0,0,0
Pulaski,100,U.S. President,,REP,Rick Santorum,1,0,0,0,0,1
Pulaski,101,U.S. President,,REP,Rick Santorum,10,8,0,0,0,2
Pulaski,102,U.S. President,,REP,Rick Santorum,6,3,2,0,0,1
Pulaski,103,U.S. President,,REP,Rick Santorum,6,3,0,0,0,3
Pulaski,104,U.S. President,,REP,Rick Santorum,8,7,0,0,0,1
Pulaski,105,U.S. President,,REP,Rick Santorum,10,9,0,0,0,1
Pulaski,106,U.S. President,,REP,Rick Santorum,5,4,0,0,0,1
Pulaski,107,U.S. President,,REP,Rick Santorum,7,7,0,0,0,0
Pulaski,108,U.S. President,,REP,Rick Santorum,4,2,0,0,0,2
Pulaski,109,U.S. President,,REP,Rick Santorum,15,13,0,0,0,2
Pulaski,110,U.S. President,,REP,Rick Santorum,3,2,0,0,0,1
Pulaski,111,U.S. President,,REP,Rick Santorum,12,10,0,0,0,2
Pulaski,112,U.S. President,,REP,Rick Santorum,5,5,0,0,0,0
Pulaski,113,U.S. President,,REP,Rick Santorum,4,3,0,0,0,1
Pulaski,114,U.S. President,,REP,Rick Santorum,5,2,2,0,0,1
Pulaski,115,U.S. President,,REP,Rick Santorum,2,1,0,0,0,1
Pulaski,116,U.S. President,,REP,Rick Santorum,0,0,0,0,0,0
Pulaski,117,U.S. President,,REP,Rick Santorum,1,1,0,0,0,0
Pulaski,118,U.S. President,,REP,Rick Santorum,1,0,1,0,0,0
Pulaski,119,U.S. President,,REP,Rick Santorum,0,0,0,0,0,0
Pulaski,120,U.S. President,,REP,Rick Santorum,3,2,0,0,0,1
Pulaski,121,U.S. President,,REP,Rick Santorum,3,3,0,0,0,0
Pulaski,122,U.S. President,,REP,Rick Santorum,0,0,0,0,0,0
Pulaski,123,U.S. President,,REP,Rick Santorum,2,2,0,0,0,0
Pulaski,124,U.S. President,,REP,Rick Santorum,3,1,0,0,0,2
Pulaski,125,U.S. President,,REP,Rick Santorum,5,5,0,0,0,0
Pulaski,126,U.S. President,,REP,Rick Santorum,7,6,0,0,0,1
Pulaski,127,U.S. President,,REP,Rick Santorum,25,25,0,0,0,0
Pulaski,128,U.S. President,,REP,Rick Santorum,0,0,0,0,0,0
Pulaski,129,U.S. President,,REP,Rick Santorum,2,2,0,0,0,0
Pulaski,130,U.S. President,,REP,Rick Santorum,0,0,0,0,0,0
Pulaski,131,U.S. President,,REP,Rick Santorum,0,0,0,0,0,0
Pulaski,132,U.S. President,,REP,Rick Santorum,1,0,1,0,0,0
Pulaski,133,U.S. President,,REP,Rick Santorum,0,0,0,0,0,0
Pulaski,134,U.S. President,,REP,Rick Santorum,0,0,0,0,0,0
Pulaski,135,U.S. President,,REP,Rick Santorum,0,0,0,0,0,0
Pulaski,1,U.S. President,,REP,Mitt Romney,99,66,0,0,0,33
Pulaski,2,U.S. President,,REP,Mitt Romney,101,57,0,0,0,44
Pulaski,3,U.S. President,,REP,Mitt Romney,36,25,1,0,0,10
Pulaski,4,U.S. President,,REP,Mitt Romney,381,212,0,0,0,169
Pulaski,5,U.S. President,,REP,Mitt Romney,281,184,3,0,0,94
Pulaski,6,U.S. President,,REP,Mitt Romney,37,21,1,0,0,15
Pulaski,7,U.S. President,,REP,Mitt Romney,43,34,0,0,0,9
Pulaski,8,U.S. President,,REP,Mitt Romney,36,24,1,0,0,11
Pulaski,9,U.S. President,,REP,Mitt Romney,38,28,2,0,0,8
Pulaski,10,U.S. President,,REP,Mitt Romney,47,37,2,0,0,8
Pulaski,11,U.S. President,,REP,Mitt Romney,22,19,1,0,0,2
Pulaski,12,U.S. President,,REP,Mitt Romney,47,45,0,0,0,2
Pulaski,13,U.S. President,,REP,Mitt Romney,76,52,2,0,0,22
Pulaski,14,U.S. President,,REP,Mitt Romney,145,106,1,0,0,38
Pulaski,15,U.S. President,,REP,Mitt Romney,37,23,3,0,0,11
Pulaski,16,U.S. President,,REP,Mitt Romney,9,6,0,0,0,3
Pulaski,17,U.S. President,,REP,Mitt Romney,39,24,0,0,0,15
Pulaski,18,U.S. President,,REP,Mitt Romney,73,57,0,0,0,16
Pulaski,19,U.S. President,,REP,Mitt Romney,20,16,0,0,0,4
Pulaski,20,U.S. President,,REP,Mitt Romney,126,93,3,0,0,30
Pulaski,21,U.S. President,,REP,Mitt Romney,66,53,2,0,0,11
Pulaski,22,U.S. President,,REP,Mitt Romney,114,96,0,0,0,18
Pulaski,23,U.S. President,,REP,Mitt Romney,214,151,2,0,0,61
Pulaski,24,U.S. President,,REP,Mitt Romney,108,83,3,0,0,22
Pulaski,25,U.S. President,,REP,Mitt Romney,55,48,0,0,0,7
Pulaski,26,U.S. President,,REP,Mitt Romney,124,105,4,0,0,15
Pulaski,27,U.S. President,,REP,Mitt Romney,184,137,1,0,0,46
Pulaski,28,U.S. President,,REP,Mitt Romney,113,91,2,0,0,20
Pulaski,29,U.S. President,,REP,Mitt Romney,1,0,1,0,0,0
Pulaski,30,U.S. President,,REP,Mitt Romney,1,0,0,0,0,1
Pulaski,31,U.S. President,,REP,Mitt Romney,104,77,0,0,0,27
Pulaski,32,U.S. President,,REP,Mitt Romney,110,88,0,0,0,22
Pulaski,33,U.S. President,,REP,Mitt Romney,95,57,0,0,0,38
Pulaski,34,U.S. President,,REP,Mitt Romney,78,66,0,0,0,12
Pulaski,35,U.S. President,,REP,Mitt Romney,175,129,0,0,0,46
Pulaski,36,U.S. President,,REP,Mitt Romney,59,42,0,0,0,17
Pulaski,37,U.S. President,,REP,Mitt Romney,99,75,5,0,0,19
Pulaski,38,U.S. President,,REP,Mitt Romney,31,25,1,0,0,5
Pulaski,39,U.S. President,,REP,Mitt Romney,174,141,1,0,0,32
Pulaski,40,U.S. President,,REP,Mitt Romney,114,80,4,0,0,30
Pulaski,41,U.S. President,,REP,Mitt Romney,173,111,2,0,0,60
Pulaski,42,U.S. President,,REP,Mitt Romney,179,134,0,0,0,45
Pulaski,43,U.S. President,,REP,Mitt Romney,49,37,0,0,0,12
Pulaski,44,U.S. President,,REP,Mitt Romney,162,126,3,0,0,33
Pulaski,45,U.S. President,,REP,Mitt Romney,29,19,0,0,0,10
Pulaski,46,U.S. President,,REP,Mitt Romney,34,22,2,0,0,10
Pulaski,47,U.S. President,,REP,Mitt Romney,5,5,0,0,0,0
Pulaski,48,U.S. President,,REP,Mitt Romney,13,7,0,0,0,6
Pulaski,49,U.S. President,,REP,Mitt Romney,225,168,4,0,0,53
Pulaski,50,U.S. President,,REP,Mitt Romney,199,143,5,0,0,51
Pulaski,51,U.S. President,,REP,Mitt Romney,74,57,0,0,0,17
Pulaski,52,U.S. President,,REP,Mitt Romney,6,4,0,0,0,2
Pulaski,53,U.S. President,,REP,Mitt Romney,14,12,0,0,0,2
Pulaski,54,U.S. President,,REP,Mitt Romney,44,33,2,0,0,9
Pulaski,55,U.S. President,,REP,Mitt Romney,63,55,2,0,0,6
Pulaski,56,U.S. President,,REP,Mitt Romney,68,53,0,0,0,15
Pulaski,57,U.S. President,,REP,Mitt Romney,70,67,2,0,0,1
Pulaski,58,U.S. President,,REP,Mitt Romney,101,86,2,0,0,13
Pulaski,59,U.S. President,,REP,Mitt Romney,88,77,0,0,0,11
Pulaski,60,U.S. President,,REP,Mitt Romney,363,221,10,0,0,132
Pulaski,61,U.S. President,,REP,Mitt Romney,123,100,0,0,0,23
Pulaski,62,U.S. President,,REP,Mitt Romney,67,66,0,0,0,1
Pulaski,63,U.S. President,,REP,Mitt Romney,68,45,3,0,0,20
Pulaski,64,U.S. President,,REP,Mitt Romney,234,164,6,0,0,64
Pulaski,65,U.S. President,,REP,Mitt Romney,38,33,2,0,0,3
Pulaski,66,U.S. President,,REP,Mitt Romney,113,88,0,0,0,25
Pulaski,67,U.S. President,,REP,Mitt Romney,75,67,3,0,0,5
Pulaski,68,U.S. President,,REP,Mitt Romney,97,66,3,0,0,28
Pulaski,69,U.S. President,,REP,Mitt Romney,161,139,2,0,0,20
Pulaski,70,U.S. President,,REP,Mitt Romney,109,84,5,0,0,20
Pulaski,71,U.S. President,,REP,Mitt Romney,215,183,2,0,0,30
Pulaski,72,U.S. President,,REP,Mitt Romney,42,28,1,0,0,13
Pulaski,73,U.S. President,,REP,Mitt Romney,163,107,15,0,0,41
Pulaski,74,U.S. President,,REP,Mitt Romney,55,40,3,0,0,12
Pulaski,75,U.S. President,,REP,Mitt Romney,68,59,0,0,0,9
Pulaski,76,U.S. President,,REP,Mitt Romney,76,63,0,0,0,13
Pulaski,77,U.S. President,,REP,Mitt Romney,136,91,3,0,0,42
Pulaski,78,U.S. President,,REP,Mitt Romney,26,21,0,0,0,5
Pulaski,79,U.S. President,,REP,Mitt Romney,43,40,1,0,0,2
Pulaski,80,U.S. President,,REP,Mitt Romney,79,70,0,0,0,9
Pulaski,81,U.S. President,,REP,Mitt Romney,48,29,1,0,0,18
Pulaski,82,U.S. President,,REP,Mitt Romney,49,39,0,0,0,10
Pulaski,83,U.S. President,,REP,Mitt Romney,22,18,0,0,0,4
Pulaski,84,U.S. President,,REP,Mitt Romney,13,9,2,0,0,2
Pulaski,85,U.S. President,,REP,Mitt Romney,23,11,8,0,0,4
Pulaski,86,U.S. President,,REP,Mitt Romney,20,11,3,0,0,6
Pulaski,87,U.S. President,,REP,Mitt Romney,82,71,3,0,0,8
Pulaski,88,U.S. President,,REP,Mitt Romney,137,118,4,0,0,15
Pulaski,89,U.S. President,,REP,Mitt Romney,93,73,5,0,0,15
Pulaski,90,U.S. President,,REP,Mitt Romney,121,104,1,0,0,16
Pulaski,91,U.S. President,,REP,Mitt Romney,91,77,2,0,0,12
Pulaski,92,U.S. President,,REP,Mitt Romney,49,47,0,0,0,2
Pulaski,93,U.S. President,,REP,Mitt Romney,70,59,3,0,0,8
Pulaski,94,U.S. President,,REP,Mitt Romney,58,53,2,0,0,3
Pulaski,95,U.S. President,,REP,Mitt Romney,108,76,16,0,0,16
Pulaski,96,U.S. President,,REP,Mitt Romney,43,36,2,0,0,5
Pulaski,97,U.S. President,,REP,Mitt Romney,41,36,0,0,0,5
Pulaski,98,U.S. President,,REP,Mitt Romney,4,2,2,0,0,0
Pulaski,99,U.S. President,,REP,Mitt Romney,34,32,1,0,0,1
Pulaski,100,U.S. President,,REP,Mitt Romney,9,8,0,0,0,1
Pulaski,101,U.S. President,,REP,Mitt Romney,28,25,0,0,0,3
Pulaski,102,U.S. President,,REP,Mitt Romney,31,24,0,0,0,7
Pulaski,103,U.S. President,,REP,Mitt Romney,17,10,0,0,2,5
Pulaski,104,U.S. President,,REP,Mitt Romney,31,20,1,0,0,10
Pulaski,105,U.S. President,,REP,Mitt Romney,33,24,0,0,0,9
Pulaski,106,U.S. President,,REP,Mitt Romney,116,102,2,0,0,12
Pulaski,107,U.S. President,,REP,Mitt Romney,91,74,4,0,0,13
Pulaski,108,U.S. President,,REP,Mitt Romney,93,83,2,0,0,8
Pulaski,109,U.S. President,,REP,Mitt Romney,78,58,4,0,0,16
Pulaski,110,U.S. President,,REP,Mitt Romney,22,14,2,0,0,6
Pulaski,111,U.S. President,,REP,Mitt Romney,70,55,5,0,0,10
Pulaski,112,U.S. President,,REP,Mitt Romney,16,12,0,0,0,4
Pulaski,113,U.S. President,,REP,Mitt Romney,17,14,0,0,0,3
Pulaski,114,U.S. President,,REP,Mitt Romney,33,18,2,0,0,13
Pulaski,115,U.S. President,,REP,Mitt Romney,12,9,2,0,0,1
Pulaski,116,U.S. President,,REP,Mitt Romney,6,6,0,0,0,0
Pulaski,117,U.S. President,,REP,Mitt Romney,3,1,1,0,0,1
Pulaski,118,U.S. President,,REP,Mitt Romney,20,17,0,0,0,3
Pulaski,119,U.S. President,,REP,Mitt Romney,3,1,1,0,0,1
Pulaski,120,U.S. President,,REP,Mitt Romney,4,4,0,0,0,0
Pulaski,121,U.S. President,,REP,Mitt Romney,17,14,2,0,0,1
Pulaski,122,U.S. President,,REP,Mitt Romney,1,0,0,0,0,1
Pulaski,123,U.S. President,,REP,Mitt Romney,16,12,0,0,0,4
Pulaski,124,U.S. President,,REP,Mitt Romney,14,11,0,0,0,3
Pulaski,125,U.S. President,,REP,Mitt Romney,14,9,2,0,0,3
Pulaski,126,U.S. President,,REP,Mitt Romney,67,57,0,0,0,10
Pulaski,127,U.S. President,,REP,Mitt Romney,90,80,2,0,0,8
Pulaski,128,U.S. President,,REP,Mitt Romney,0,0,0,0,0,0
Pulaski,129,U.S. President,,REP,Mitt Romney,19,19,0,0,0,0
Pulaski,130,U.S. President,,REP,Mitt Romney,0,0,0,0,0,0
Pulaski,131,U.S. President,,REP,Mitt Romney,3,2,0,0,0,1
Pulaski,132,U.S. President,,REP,Mitt Romney,9,9,0,0,0,0
Pulaski,133,U.S. President,,REP,Mitt Romney,1,1,0,0,0,0
Pulaski,134,U.S. President,,REP,Mitt Romney,7,0,0,0,0,7
Pulaski,135,U.S. President,,REP,Mitt Romney,2,2,0,0,0,0
Pulaski,1,U.S. President,,REP,Ron Paul,15,10,0,0,0,5
Pulaski,2,U.S. President,,REP,Ron Paul,34,24,0,0,0,10
Pulaski,3,U.S. President,,REP,Ron Paul,18,13,0,0,0,5
Pulaski,4,U.S. President,,REP,Ron Paul,77,42,0,0,0,35
Pulaski,5,U.S. President,,REP,Ron Paul,42,26,0,0,0,16
Pulaski,6,U.S. President,,REP,Ron Paul,7,6,0,0,0,1
Pulaski,7,U.S. President,,REP,Ron Paul,7,7,0,0,0,0
Pulaski,8,U.S. President,,REP,Ron Paul,3,2,0,0,0,1
Pulaski,9,U.S. President,,REP,Ron Paul,16,10,0,0,0,6
Pulaski,10,U.S. President,,REP,Ron Paul,11,10,1,0,0,0
Pulaski,11,U.S. President,,REP,Ron Paul,3,3,0,0,0,0
Pulaski,12,U.S. President,,REP,Ron Paul,13,12,0,0,0,1
Pulaski,13,U.S. President,,REP,Ron Paul,14,11,0,0,0,3
Pulaski,14,U.S. President,,REP,Ron Paul,16,15,0,0,0,1
Pulaski,15,U.S. President,,REP,Ron Paul,7,5,1,0,0,1
Pulaski,16,U.S. President,,REP,Ron Paul,8,6,0,0,0,2
Pulaski,17,U.S. President,,REP,Ron Paul,7,4,0,0,0,3
Pulaski,18,U.S. President,,REP,Ron Paul,18,15,0,0,0,3
Pulaski,19,U.S. President,,REP,Ron Paul,5,4,0,0,0,1
Pulaski,20,U.S. President,,REP,Ron Paul,34,29,1,0,0,4
Pulaski,21,U.S. President,,REP,Ron Paul,17,14,0,0,0,3
Pulaski,22,U.S. President,,REP,Ron Paul,19,16,0,0,0,3
Pulaski,23,U.S. President,,REP,Ron Paul,52,48,0,0,0,4
Pulaski,24,U.S. President,,REP,Ron Paul,11,9,1,0,0,1
Pulaski,25,U.S. President,,REP,Ron Paul,16,14,0,0,0,2
Pulaski,26,U.S. President,,REP,Ron Paul,20,19,0,0,0,1
Pulaski,27,U.S. President,,REP,Ron Paul,41,32,0,0,0,9
Pulaski,28,U.S. President,,REP,Ron Paul,29,23,0,0,0,6
Pulaski,29,U.S. President,,REP,Ron Paul,2,2,0,0,0,0
Pulaski,30,U.S. President,,REP,Ron Paul,0,0,0,0,0,0
Pulaski,31,U.S. President,,REP,Ron Paul,16,15,0,0,0,1
Pulaski,32,U.S. President,,REP,Ron Paul,19,13,1,0,0,5
Pulaski,33,U.S. President,,REP,Ron Paul,20,13,1,0,0,6
Pulaski,34,U.S. President,,REP,Ron Paul,17,12,0,0,0,5
Pulaski,35,U.S. President,,REP,Ron Paul,27,20,0,0,0,7
Pulaski,36,U.S. President,,REP,Ron Paul,9,5,0,0,0,4
Pulaski,37,U.S. President,,REP,Ron Paul,7,7,0,0,0,0
Pulaski,38,U.S. President,,REP,Ron Paul,9,8,0,0,0,1
Pulaski,39,U.S. President,,REP,Ron Paul,23,22,0,0,0,1
Pulaski,40,U.S. President,,REP,Ron Paul,22,19,0,0,0,3
Pulaski,41,U.S. President,,REP,Ron Paul,27,17,2,0,0,8
Pulaski,42,U.S. President,,REP,Ron Paul,24,15,0,0,0,9
Pulaski,43,U.S. President,,REP,Ron Paul,10,8,0,0,0,2
Pulaski,44,U.S. President,,REP,Ron Paul,29,23,0,0,0,6
Pulaski,45,U.S. President,,REP,Ron Paul,8,7,0,0,0,1
Pulaski,46,U.S. President,,REP,Ron Paul,5,2,0,0,0,3
Pulaski,47,U.S. President,,REP,Ron Paul,0,0,0,0,0,0
Pulaski,48,U.S. President,,REP,Ron Paul,2,2,0,0,0,0
Pulaski,49,U.S. President,,REP,Ron Paul,36,34,0,0,0,2
Pulaski,50,U.S. President,,REP,Ron Paul,16,12,0,0,1,3
Pulaski,51,U.S. President,,REP,Ron Paul,16,15,0,0,0,1
Pulaski,52,U.S. President,,REP,Ron Paul,2,2,0,0,0,0
Pulaski,53,U.S. President,,REP,Ron Paul,2,1,1,0,0,0
Pulaski,54,U.S. President,,REP,Ron Paul,1,0,0,0,0,1
Pulaski,55,U.S. President,,REP,Ron Paul,16,13,0,0,0,3
Pulaski,56,U.S. President,,REP,Ron Paul,14,14,0,0,0,0
Pulaski,57,U.S. President,,REP,Ron Paul,14,12,0,0,0,2
Pulaski,58,U.S. President,,REP,Ron Paul,12,11,0,0,0,1
Pulaski,59,U.S. President,,REP,Ron Paul,20,18,0,0,0,2
Pulaski,60,U.S. President,,REP,Ron Paul,26,21,0,0,0,5
Pulaski,61,U.S. President,,REP,Ron Paul,18,15,0,0,0,3
Pulaski,62,U.S. President,,REP,Ron Paul,27,26,1,0,0,0
Pulaski,63,U.S. President,,REP,Ron Paul,9,9,0,0,0,0
Pulaski,64,U.S. President,,REP,Ron Paul,26,25,0,0,0,1
Pulaski,65,U.S. President,,REP,Ron Paul,14,13,0,0,0,1
Pulaski,66,U.S. President,,REP,Ron Paul,20,19,0,0,0,1
Pulaski,67,U.S. President,,REP,Ron Paul,17,11,4,0,0,2
Pulaski,68,U.S. President,,REP,Ron Paul,14,14,0,0,0,0
Pulaski,69,U.S. President,,REP,Ron Paul,20,15,1,0,0,4
Pulaski,70,U.S. President,,REP,Ron Paul,15,12,1,0,0,2
Pulaski,71,U.S. President,,REP,Ron Paul,27,24,1,0,0,2
Pulaski,72,U.S. President,,REP,Ron Paul,18,16,0,0,0,2
Pulaski,73,U.S. President,,REP,Ron Paul,33,24,2,0,0,7
Pulaski,74,U.S. President,,REP,Ron Paul,6,5,0,0,0,1
Pulaski,75,U.S. President,,REP,Ron Paul,8,8,0,0,0,0
Pulaski,76,U.S. President,,REP,Ron Paul,9,7,1,0,0,1
Pulaski,77,U.S. President,,REP,Ron Paul,25,19,0,0,0,6
Pulaski,78,U.S. President,,REP,Ron Paul,9,7,0,0,0,2
Pulaski,79,U.S. President,,REP,Ron Paul,9,6,0,0,0,3
Pulaski,80,U.S. President,,REP,Ron Paul,18,17,0,0,0,1
Pulaski,81,U.S. President,,REP,Ron Paul,9,7,0,0,0,2
Pulaski,82,U.S. President,,REP,Ron Paul,7,6,0,0,0,1
Pulaski,83,U.S. President,,REP,Ron Paul,4,2,0,0,0,2
Pulaski,84,U.S. President,,REP,Ron Paul,3,3,0,0,0,0
Pulaski,85,U.S. President,,REP,Ron Paul,6,6,0,0,0,0
Pulaski,86,U.S. President,,REP,Ron Paul,3,2,0,0,1,0
Pulaski,87,U.S. President,,REP,Ron Paul,19,16,1,0,0,2
Pulaski,88,U.S. President,,REP,Ron Paul,21,19,0,0,0,2
Pulaski,89,U.S. President,,REP,Ron Paul,19,19,0,0,0,0
Pulaski,90,U.S. President,,REP,Ron Paul,12,10,0,0,0,2
Pulaski,91,U.S. President,,REP,Ron Paul,14,13,0,0,0,1
Pulaski,92,U.S. President,,REP,Ron Paul,20,16,2,0,0,2
Pulaski,93,U.S. President,,REP,Ron Paul,21,19,0,0,0,2
Pulaski,94,U.S. President,,REP,Ron Paul,10,10,0,0,0,0
Pulaski,95,U.S. President,,REP,Ron Paul,14,14,0,0,0,0
Pulaski,96,U.S. President,,REP,Ron Paul,10,10,0,0,0,0
Pulaski,97,U.S. President,,REP,Ron Paul,14,11,0,0,0,3
Pulaski,98,U.S. President,,REP,Ron Paul,1,1,0,0,0,0
