county,precinct,office,district,party,candidate,votes,absentee,election_day,early_vote
Montgomery,Caddo Gap,U.S. Congress District 4,,DEM,Senator Gene Jeffress,4,0,4,0
Montgomery,Caney,U.S. Congress District 4,,DEM,Senator Gene Jeffress,3,0,2,1
Montgomery,Center,U.S. Congress District 4,,DEM,Senator Gene Jeffress,19,2,10,7
Montgomery,Fannie,U.S. Congress District 4,,DEM,Senator Gene Jeffress,0,0,0,0
Montgomery,Hopper,U.S. Congress District 4,,DEM,Senator Gene Jeffress,2,0,2,0
Montgomery,Mount Ida - Inside,U.S. Congress District 4,,DEM,Senator Gene Jeffress,17,8,3,6
Montgomery,Mount Ida - Outside,U.S. Congress District 4,,DEM,Senator Gene Jeffress,11,0,9,2
Montgomery,Norman - Inside,U.S. Congress District 4,,DEM,Senator Gene Jeffress,4,1,2,1
Montgomery,Norman - Outside,U.S. Congress District 4,,DEM,Senator Gene Jeffress,4,0,4,0
Montgomery,Oden - Inside,U.S. Congress District 4,,DEM,Senator Gene Jeffress,1,0,1,0
Montgomery,Oden - Outside,U.S. Congress District 4,,DEM,Senator Gene Jeffress,3,0,2,1
Montgomery,Pencil Bluff,U.S. Congress District 4,,DEM,Senator Gene Jeffress,6,1,5,0
Montgomery,Sims,U.S. Congress District 4,,DEM,Senator Gene Jeffress,1,0,1,0
Montgomery,Washita,U.S. Congress District 4,,DEM,Senator Gene Jeffress,2,0,2,0
Montgomery,Alamo,U.S. Congress District 4,,DEM,DC Morrison,1,0,1,0
Montgomery,Black Springs,U.S. Congress District 4,,DEM,DC Morrison,14,2,11,1
Montgomery,Caddo Gap,U.S. Congress District 4,,DEM,DC Morrison,8,1,7,0
Montgomery,Caney,U.S. Congress District 4,,DEM,DC Morrison,10,0,10,0
Montgomery,Center,U.S. Congress District 4,,DEM,DC Morrison,11,0,9,2
Montgomery,Fannie,U.S. Congress District 4,,DEM,DC Morrison,1,1,0,0
Montgomery,Hopper,U.S. Congress District 4,,DEM,DC Morrison,6,0,6,0
Montgomery,Mount Ida - Inside,U.S. Congress District 4,,DEM,DC Morrison,5,2,1,2
Montgomery,Mount Ida - Outside,U.S. Congress District 4,,DEM,DC Morrison,8,0,6,2
Montgomery,Norman - Inside,U.S. Congress District 4,,DEM,DC Morrison,4,0,4,0
Montgomery,Norman - Outside,U.S. Congress District 4,,DEM,DC Morrison,1,0,1,0
Montgomery,Oden - Inside,U.S. Congress District 4,,DEM,DC Morrison,0,0,0,0
Montgomery,Oden - Outside,U.S. Congress District 4,,DEM,DC Morrison,7,0,7,0
Montgomery,Pencil Bluff,U.S. Congress District 4,,DEM,DC Morrison,9,0,9,0
Montgomery,Sims,U.S. Congress District 4,,DEM,DC Morrison,1,0,1,0
Montgomery,Washita,U.S. Congress District 4,,DEM,DC Morrison,5,0,5,0
Montgomery,Alamo,U.S. Congress District 4,,DEM,Q. Byrum Hurst,3,0,3,0
Montgomery,Black Springs,U.S. Congress District 4,,DEM,Q. Byrum Hurst,24,1,21,2
Montgomery,Caddo Gap,U.S. Congress District 4,,DEM,Q. Byrum Hurst,18,2,16,0
Montgomery,Caney,U.S. Congress District 4,,DEM,Q. Byrum Hurst,8,0,8,0
Montgomery,Center,U.S. Congress District 4,,DEM,Q. Byrum Hurst,18,0,13,5
Montgomery,Fannie,U.S. Congress District 4,,DEM,Q. Byrum Hurst,5,0,5,0
Montgomery,Hopper,U.S. Congress District 4,,DEM,Q. Byrum Hurst,0,0,0,0
Montgomery,Mount Ida - Inside,U.S. Congress District 4,,DEM,Q. Byrum Hurst,26,5,11,10
Montgomery,Mount Ida - Outside,U.S. Congress District 4,,DEM,Q. Byrum Hurst,21,5,7,9
Montgomery,Norman - Inside,U.S. Congress District 4,,DEM,Q. Byrum Hurst,14,2,12,0
Montgomery,Norman - Outside,U.S. Congress District 4,,DEM,Q. Byrum Hurst,15,4,9,2
Montgomery,Oden - Inside,U.S. Congress District 4,,DEM,Q. Byrum Hurst,1,0,1,0
Montgomery,Oden - Outside,U.S. Congress District 4,,DEM,Q. Byrum Hurst,7,2,4,1
Montgomery,Pencil Bluff,U.S. Congress District 4,,DEM,Q. Byrum Hurst,6,1,4,1
Montgomery,Sims,U.S. Congress District 4,,DEM,Q. Byrum Hurst,9,1,8,0
Montgomery,Washita,U.S. Congress District 4,,DEM,Q. Byrum Hurst,15,0,10,5
Montgomery,Black Springs,J. P. 9,,DEM,Dan McCarter,37,3,29,5
Montgomery,Caddo Gap,J. P. 9,,DEM,Dan McCarter,2,1,1,0
Montgomery,Hopper,J. P. 9,,DEM,Dan McCarter,8,0,8,0
Montgomery,Mount Ida - Outside,J. P. 9,,DEM,Dan McCarter,0,0,0,0
Montgomery,Norman - Outside,J. P. 9,,DEM,Dan McCarter,1,0,1,0
Montgomery,Black Springs,J. P. 9,,DEM,Kenneth D. Warren,14,1,12,1
Montgomery,Caddo Gap,J. P. 9,,DEM,Kenneth D. Warren,0,0,0,0
Montgomery,Hopper,J. P. 9,,DEM,Kenneth D. Warren,0,0,0,0
Montgomery,Mount Ida - Outside,J. P. 9,,DEM,Kenneth D. Warren,0,0,0,0
Montgomery,Norman - Outside,J. P. 9,,DEM,Kenneth D. Warren,0,0,0,0
Montgomery,Alamo,Democrat Unopposed,,DEM,FOR,6,0,5,1
Montgomery,Black Springs,Democrat Unopposed,,DEM,FOR,31,3,22,6
Montgomery,Caddo Gap,Democrat Unopposed,,DEM,FOR,20,2,18,0
Montgomery,Caney,Democrat Unopposed,,DEM,FOR,11,0,10,1
Montgomery,Center,Democrat Unopposed,,DEM,FOR,37,2,24,11
Montgomery,Fannie,Democrat Unopposed,,DEM,FOR,4,1,3,0
Montgomery,Hopper,Democrat Unopposed,,DEM,FOR,7,0,7,0
Montgomery,Mount Ida - Inside,Democrat Unopposed,,DEM,FOR,36,15,9,12
Montgomery,Mount Ida - Outside,Democrat Unopposed,,DEM,FOR,35,5,20,10
Montgomery,Norman - Inside,Democrat Unopposed,,DEM,FOR,18,3,14,1
Montgomery,Norman - Outside,Democrat Unopposed,,DEM,FOR,15,4,10,1
Montgomery,Oden - Inside,Democrat Unopposed,,DEM,FOR,1,0,1,0
Montgomery,Oden - Outside,Democrat Unopposed,,DEM,FOR,13,2,9,2
Montgomery,Pencil Bluff,Democrat Unopposed,,DEM,FOR,14,2,11,1
Montgomery,Sims,Democrat Unopposed,,DEM,FOR,7,1,6,0
Montgomery,Washita,Democrat Unopposed,,DEM,FOR,16,0,12,4
Montgomery,Alamo,U.S. President,,REP,Mitt Romney,3,0,3,0
Montgomery,Black Springs,U.S. President,,REP,Mitt Romney,29,1,23,5
Montgomery,Caddo Gap,U.S. President,,REP,Mitt Romney,39,4,32,3
Montgomery,Caney,U.S. President,,REP,Mitt Romney,42,2,40,0
Montgomery,Center,U.S. President,,REP,Mitt Romney,99,3,72,24
Montgomery,Fannie,U.S. President,,REP,Mitt Romney,15,0,15,0
Montgomery,Hopper,U.S. President,,REP,Mitt Romney,14,0,14,0
Montgomery,Mount Ida - Inside,U.S. President,,REP,Mitt Romney,38,7,18,13
Montgomery,Mount Ida - Outside,U.S. President,,REP,Mitt Romney,38,1,26,11
Montgomery,Norman - Inside,U.S. President,,REP,Mitt Romney,8,1,7,0
Montgomery,Norman - Outside,U.S. President,,REP,Mitt Romney,11,1,9,1
Montgomery,Oden - Inside,U.S. President,,REP,Mitt Romney,14,0,14,0
Montgomery,Oden - Outside,U.S. President,,REP,Mitt Romney,39,1,31,7
Montgomery,Pencil Bluff,U.S. President,,REP,Mitt Romney,31,0,29,2
Montgomery,Sims,U.S. President,,REP,Mitt Romney,19,3,16,0
Montgomery,Washita,U.S. President,,REP,Mitt Romney,17,0,15,2
Montgomery,Alamo,U.S. President,,REP,Newt Gingrich,1,0,1,0
Montgomery,Black Springs,U.S. President,,REP,Newt Gingrich,2,0,1,1
Montgomery,Caddo Gap,U.S. President,,REP,Newt Gingrich,5,0,4,1
Montgomery,Caney,U.S. President,,REP,Newt Gingrich,4,0,4,0
Montgomery,Center,U.S. President,,REP,Newt Gingrich,6,0,5,1
Montgomery,Fannie,U.S. President,,REP,Newt Gingrich,0,0,0,0
Montgomery,Hopper,U.S. President,,REP,Newt Gingrich,0,0,0,0
Montgomery,Mount Ida - Inside,U.S. President,,REP,Newt Gingrich,2,0,0,2
Montgomery,Mount Ida - Outside,U.S. President,,REP,Newt Gingrich,2,0,2,0
Montgomery,Norman - Inside,U.S. President,,REP,Newt Gingrich,0,0,0,0
Montgomery,Norman - Outside,U.S. President,,REP,Newt Gingrich,2,0,2,0
Montgomery,Oden - Inside,U.S. President,,REP,Newt Gingrich,0,0,0,0
Montgomery,Oden - Outside,U.S. President,,REP,Newt Gingrich,5,0,5,0
Montgomery,Pencil Bluff,U.S. President,,REP,Newt Gingrich,1,0,1,0
Montgomery,Sims,U.S. President,,REP,Newt Gingrich,1,0,1,0
Montgomery,Washita,U.S. President,,REP,Newt Gingrich,1,0,1,0
Montgomery,Alamo,U.S. President,,REP,Rick Santorum,1,0,1,0
Montgomery,Black Springs,U.S. President,,REP,Rick Santorum,2,0,2,0
Montgomery,Caddo Gap,U.S. President,,REP,Rick Santorum,2,0,2,0
Montgomery,Caney,U.S. President,,REP,Rick Santorum,11,0,11,0
Montgomery,Center,U.S. President,,REP,Rick Santorum,12,2,7,3
Montgomery,Fannie,U.S. President,,REP,Rick Santorum,3,1,2,0
Montgomery,Hopper,U.S. President,,REP,Rick Santorum,2,0,2,0
Montgomery,Mount Ida - Inside,U.S. President,,REP,Rick Santorum,2,0,1,1
Montgomery,Mount Ida - Outside,U.S. President,,REP,Rick Santorum,4,0,1,3
Montgomery,Norman - Inside,U.S. President,,REP,Rick Santorum,3,0,3,0
Montgomery,Norman - Outside,U.S. President,,REP,Rick Santorum,2,0,2,0
Montgomery,Oden - Inside,U.S. President,,REP,Rick Santorum,0,0,0,0
Montgomery,Oden - Outside,U.S. President,,REP,Rick Santorum,4,0,4,0
Montgomery,Pencil Bluff,U.S. President,,REP,Rick Santorum,5,0,5,0
Montgomery,Sims,U.S. President,,REP,Rick Santorum,1,0,1,0
Montgomery,Washita,U.S. President,,REP,Rick Santorum,4,0,1,3
Montgomery,Alamo,U.S. President,,REP,Ron Paul,2,0,2,0
Montgomery,Black Springs,U.S. President,,REP,Ron Paul,1,0,1,0
Montgomery,Caddo Gap,U.S. President,,REP,Ron Paul,10,0,10,0
Montgomery,Caney,U.S. President,,REP,Ron Paul,11,0,11,0
Montgomery,Center,U.S. President,,REP,Ron Paul,5,0,4,1
Montgomery,Fannie,U.S. President,,REP,Ron Paul,3,0,3,0
Montgomery,Hopper,U.S. President,,REP,Ron Paul,11,0,11,0
Montgomery,Mount Ida - Inside,U.S. President,,REP,Ron Paul,5,1,3,1
Montgomery,Mount Ida - Outside,U.S. President,,REP,Ron Paul,8,1,3,4
Montgomery,Norman - Inside,U.S. President,,REP,Ron Paul,2,0,2,0
Montgomery,Norman - Outside,U.S. President,,REP,Ron Paul,4,0,3,1
Montgomery,Oden - Inside,U.S. President,,REP,Ron Paul,0,0,0,0
Montgomery,Oden - Outside,U.S. President,,REP,Ron Paul,14,1,11,2
Montgomery,Pencil Bluff,U.S. President,,REP,Ron Paul,5,0,5,0
Montgomery,Sims,U.S. President,,REP,Ron Paul,3,0,3,0
Montgomery,Washita,U.S. President,,REP,Ron Paul,3,0,2,1
Montgomery,Alamo,U.S. Congress District 4,,REP,Beth Anne Rankin,5,0,5,0
Montgomery,Black Springs,U.S. Congress District 4,,REP,Beth Anne Rankin,8,1,5,2
Montgomery,Caddo Gap,U.S. Congress District 4,,REP,Beth Anne Rankin,18,2,15,1
Montgomery,Caney,U.S. Congress District 4,,REP,Beth Anne Rankin,26,2,24,0
Montgomery,Center,U.S. Congress District 4,,REP,Beth Anne Rankin,39,0,26,13
Montgomery,Fannie,U.S. Congress District 4,,REP,Beth Anne Rankin,3,1,2,0
Montgomery,Hopper,U.S. Congress District 4,,REP,Beth Anne Rankin,3,0,3,0
Montgomery,Mount Ida - Inside,U.S. Congress District 4,,REP,Beth Anne Rankin,17,6,6,5
Montgomery,Mount Ida - Outside,U.S. Congress District 4,,REP,Beth Anne Rankin,17,2,13,2
Montgomery,Norman - Inside,U.S. Congress District 4,,REP,Beth Anne Rankin,5,1,4,0
Montgomery,Norman - Outside,U.S. Congress District 4,,REP,Beth Anne Rankin,4,0,3,1
Montgomery,Oden - Inside,U.S. Congress District 4,,REP,Beth Anne Rankin,5,0,5,0
Montgomery,Oden - Outside,U.S. Congress District 4,,REP,Beth Anne Rankin,12,1,10,1
Montgomery,Pencil Bluff,U.S. Congress District 4,,REP,Beth Anne Rankin,8,0,8,0
Montgomery,Sims,U.S. Congress District 4,,REP,Beth Anne Rankin,6,0,6,0
Montgomery,Washita,U.S. Congress District 4,,REP,Beth Anne Rankin,4,0,2,2
Montgomery,Alamo,U.S. Congress District 4,,REP,Tom Cotton,3,0,3,0
Montgomery,Black Springs,U.S. Congress District 4,,REP,Tom Cotton,26,0,22,4
Montgomery,Caddo Gap,U.S. Congress District 4,,REP,Tom Cotton,36,2,31,3
Montgomery,Caney,U.S. Congress District 4,,REP,Tom Cotton,39,0,39,0
Montgomery,Center,U.S. Congress District 4,,REP,Tom Cotton,83,5,61,17
Montgomery,Fannie,U.S. Congress District 4,,REP,Tom Cotton,18,0,18,0
Montgomery,Hopper,U.S. Congress District 4,,REP,Tom Cotton,23,0,23,0
Montgomery,Mount Ida - Inside,U.S. Congress District 4,,REP,Tom Cotton,31,3,16,12
Montgomery,Mount Ida - Outside,U.S. Congress District 4,,REP,Tom Cotton,32,0,18,14
Montgomery,Norman - Inside,U.S. Congress District 4,,REP,Tom Cotton,8,0,8,0
Montgomery,Norman - Outside,U.S. Congress District 4,,REP,Tom Cotton,16,1,13,2
Montgomery,Oden - Inside,U.S. Congress District 4,,REP,Tom Cotton,7,0,7,0
Montgomery,Oden - Outside,U.S. Congress District 4,,REP,Tom Cotton,44,0,37,7
Montgomery,Pencil Bluff,U.S. Congress District 4,,REP,Tom Cotton,30,0,28,2
Montgomery,Sims,U.S. Congress District 4,,REP,Tom Cotton,17,3,14,0
Montgomery,Washita,U.S. Congress District 4,,REP,Tom Cotton,21,0,17,4
Montgomery,Alamo,U.S. Congress District 4,,REP,John Cowart,0,0,0,0
Montgomery,Black Springs,U.S. Congress District 4,,REP,John Cowart,0,0,0,0
Montgomery,Caddo Gap,U.S. Congress District 4,,REP,John Cowart,1,0,1,0
Montgomery,Caney,U.S. Congress District 4,,REP,John Cowart,4,0,4,0
Montgomery,Center,U.S. Congress District 4,,REP,John Cowart,2,0,1,1
Montgomery,Fannie,U.S. Congress District 4,,REP,John Cowart,0,0,0,0
Montgomery,Hopper,U.S. Congress District 4,,REP,John Cowart,1,0,1,0
Montgomery,Mount Ida - Inside,U.S. Congress District 4,,REP,John Cowart,1,1,0,0
Montgomery,Mount Ida - Outside,U.S. Congress District 4,,REP,John Cowart,3,0,1,2
Montgomery,Norman - Inside,U.S. Congress District 4,,REP,John Cowart,0,0,0,0
Montgomery,Norman - Outside,U.S. Congress District 4,,REP,John Cowart,0,0,0,0
Montgomery,Oden - Inside,U.S. Congress District 4,,REP,John Cowart,2,0,2,0
Montgomery,Oden - Outside,U.S. Congress District 4,,REP,John Cowart,4,1,2,1
Montgomery,Pencil Bluff,U.S. Congress District 4,,REP,John Cowart,3,0,3,0
Montgomery,Sims,U.S. Congress District 4,,REP,John Cowart,1,0,1,0
Montgomery,Washita,U.S. Congress District 4,,REP,John Cowart,0,0,0,0
Montgomery,Alamo,Republican Unopposed,,REP,FOR,2,0,2,0
Montgomery,Black Springs,Republican Unopposed,,REP,FOR,26,0,22,4
Montgomery,Caddo Gap,Republican Unopposed,,REP,FOR,42,1,38,3
Montgomery,Caney,Republican Unopposed,,REP,FOR,50,0,50,0
Montgomery,Center,Republican Unopposed,,REP,FOR,100,5,73,22
Montgomery,Fannie,Republican Unopposed,,REP,FOR,13,1,12,0
Montgomery,Hopper,Republican Unopposed,,REP,FOR,24,0,24,0
Montgomery,Mount Ida - Inside,Republican Unopposed,,REP,FOR,33,8,13,12
Montgomery,Mount Ida - Outside,Republican Unopposed,,REP,FOR,38,1,28,9
Montgomery,Norman - Inside,Republican Unopposed,,REP,FOR,5,0,5,0
Montgomery,Norman - Outside,Republican Unopposed,,REP,FOR,14,0,13,1
Montgomery,Oden - Inside,Republican Unopposed,,REP,FOR,9,0,9,0
Montgomery,Oden - Outside,Republican Unopposed,,REP,FOR,43,2,35,6
Montgomery,Pencil Bluff,Republican Unopposed,,REP,FOR,32,0,31,1
Montgomery,Sims,Republican Unopposed,,REP,FOR,19,2,17,0
Montgomery,Washita,Republican Unopposed,,REP,FOR,20,0,15,5
Montgomery,Alamo,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,4,0,3,1
Montgomery,Black Springs,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,35,5,29,1
Montgomery,Caddo Gap,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,33,1,31,1
Montgomery,Caney,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,40,0,39,1
Montgomery,Center,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,50,1,34,15
Montgomery,Fannie,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,15,2,13,0
Montgomery,Hopper,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,15,0,15,0
Montgomery,Mount Ida - Inside,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,38,8,12,18
Montgomery,Mount Ida - Outside,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,41,1,19,21
Montgomery,Norman - Inside,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,14,1,12,1
Montgomery,Norman - Outside,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,13,0,12,1
Montgomery,Oden - Inside,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,7,1,6,0
Montgomery,Oden - Outside,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,26,1,22,3
Montgomery,Pencil Bluff,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,23,0,22,1
Montgomery,Sims,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,14,0,13,1
Montgomery,Washita,State Supreme Court Associate Justice Position 4,,,Raymond Abramson,22,0,18,4
Montgomery,Alamo,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,9,0,9,0
Montgomery,Black Springs,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,42,0,31,11
Montgomery,Caddo Gap,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,48,5,41,2
Montgomery,Caney,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,40,0,40,0
Montgomery,Center,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,112,6,82,24
Montgomery,Fannie,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,12,0,12,0
Montgomery,Hopper,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,24,0,24,0
Montgomery,Mount Ida - Inside,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,55,14,23,18
Montgomery,Mount Ida - Outside,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,48,5,33,10
Montgomery,Norman - Inside,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,21,3,18,0
Montgomery,Norman - Outside,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,26,5,16,5
Montgomery,Oden - Inside,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,6,0,6,0
Montgomery,Oden - Outside,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,36,4,28,4
Montgomery,Pencil Bluff,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,35,2,31,2
Montgomery,Sims,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,20,4,16,0
Montgomery,Washita,State Supreme Court Associate Justice Position 4,,,Court of Appeals Judge Jo Hart,21,0,14,7
Montgomery,Alamo,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,6,0,6,0
Montgomery,Black Springs,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,23,2,19,2
Montgomery,Caddo Gap,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,34,2,31,1
Montgomery,Caney,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,40,0,39,1
Montgomery,Center,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,46,2,33,11
Montgomery,Fannie,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,16,2,14,0
Montgomery,Hopper,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,15,0,15,0
Montgomery,Mount Ida - Inside,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,37,8,16,13
Montgomery,Mount Ida - Outside,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,27,3,14,10
Montgomery,Norman - Inside,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,14,2,11,1
Montgomery,Norman - Outside,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,13,1,11,1
Montgomery,Oden - Inside,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,6,1,5,0
Montgomery,Oden - Outside,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,18,1,16,1
Montgomery,Pencil Bluff,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,27,0,27,0
Montgomery,Sims,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,16,2,14,0
Montgomery,Washita,Court of Appeals Associate Judge District 4, Position 1,,Brandon Harrison,17,0,12,5
Montgomery,Alamo,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,8,0,7,1
Montgomery,Black Springs,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,58,3,45,10
Montgomery,Caddo Gap,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,47,5,40,2
Montgomery,Caney,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,45,2,43,0
Montgomery,Center,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,119,5,83,31
Montgomery,Fannie,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,11,0,11,0
Montgomery,Hopper,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,24,0,24,0
Montgomery,Mount Ida - Inside,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,57,15,19,23
Montgomery,Mount Ida - Outside,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,64,3,41,20
Montgomery,Norman - Inside,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,24,2,22,0
Montgomery,Norman - Outside,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,30,4,21,5
Montgomery,Oden - Inside,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,7,0,7,0
Montgomery,Oden - Outside,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,51,3,40,8
Montgomery,Pencil Bluff,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,33,2,28,3
Montgomery,Sims,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,18,1,16,1
Montgomery,Washita,Court of Appeals Associate Judge District 4, Position 1,,Circuit Judge Jake Looney,27,0,21,6
Montgomery,Alamo,Non Partisan Jud. Unopposed,,,FOR,9,0,8,1
Montgomery,Black Springs,Non Partisan Jud. Unopposed,,,FOR,62,4,49,9
Montgomery,Caddo Gap,Non Partisan Jud. Unopposed,,,FOR,66,4,59,3
Montgomery,Caney,Non Partisan Jud. Unopposed,,,FOR,70,0,69,1
Montgomery,Center,Non Partisan Jud. Unopposed,,,FOR,139,7,99,33
Montgomery,Fannie,Non Partisan Jud. Unopposed,,,FOR,19,2,17,0
Montgomery,Hopper,Non Partisan Jud. Unopposed,,,FOR,37,0,37,0
Montgomery,Mount Ida - Inside,Non Partisan Jud. Unopposed,,,FOR,76,21,27,28
Montgomery,Mount Ida - Outside,Non Partisan Jud. Unopposed,,,FOR,80,5,53,22
Montgomery,Norman - Inside,Non Partisan Jud. Unopposed,,,FOR,32,3,28,1
Montgomery,Norman - Outside,Non Partisan Jud. Unopposed,,,FOR,39,6,30,3
Montgomery,Oden - Inside,Non Partisan Jud. Unopposed,,,FOR,13,1,12,0
Montgomery,Oden - Outside,Non Partisan Jud. Unopposed,,,FOR,59,5,45,9
Montgomery,Pencil Bluff,Non Partisan Jud. Unopposed,,,FOR,49,2,45,2
Montgomery,Sims,Non Partisan Jud. Unopposed,,,FOR,27,3,24,0
Montgomery,Washita,Non Partisan Jud. Unopposed,,,FOR,35,0,27,8
