county,precinct,office,district,party,candidate,votes,election_day,early_vote,absentee,provisional,hand_count
Calhoun,Locust,Governor - DEM,,DEM,"Lynette ""Doc"" Bryant",9,8,1,0,0,0
Calhoun,Locust,Governor - DEM,,DEM,Mike Ross,30,27,3,0,0,0
Calhoun,Locust,Governor - REP,,REP,Asa Hutchinson,47,47,0,0,0,0
Calhoun,Locust,Governor - REP,,REP,Curtis Coleman,8,8,0,0,0,0
Calhoun,Locust,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,30,30,0,0,0,0
Calhoun,Locust,Lieutenant Governor - REP,,REP,Representative Debra Hobbs,12,12,0,0,0,0
Calhoun,Locust,Lieutenant Governor - REP,,REP,State Rep. Andy Mayberry,13,13,0,0,0,0
Calhoun,Locust,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,32,32,0,0,0,0
Calhoun,Locust,State Treasurer - REP,,REP,Representative Duncan Baird,22,22,0,0,0,0
Calhoun,Locust,U.S. Congress District 4 - REP,,REP,Representative Bruce Westerman,22,22,0,0,0,0
Calhoun,Locust,U.S. Congress District 4 - REP,,REP,Tommy Moll,32,32,0,0,0,0
Calhoun,Locust,Unopposed Democrat Candidates,,DEM,For,33,30,3,0,0,0
Calhoun,Locust,Unopposed Republican Candidates,,REP,For,46,46,0,0,0,0
Calhoun,Locust North,Att Gen,,REP,David Sterling,3,3,0,0,0,0
Calhoun,Locust North,Att Gen,,REP,Patricia Nation,1,1,0,0,0,0
Calhoun,Locust North,Auditor of State - REP,,REP,Ken Yang,2,2,0,0,0,0
Calhoun,Locust North,Auditor of State - REP,,REP,Representative Andrea Lea,2,2,0,0,0,0
Calhoun,Locust North,Governor - REP,,REP,Asa Hutchinson,4,4,0,0,0,0
Calhoun,Locust North,Lieutenant Governor - REP,,REP,Representative Debra Hobbs,2,2,0,0,0,0
Calhoun,Locust North,Lieutenant Governor - REP,,REP,State Rep. Andy Mayberry,2,2,0,0,0,0
Calhoun,Locust North,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,3,3,0,0,0,0
Calhoun,Locust North,State Treasurer - REP,,REP,Representative Duncan Baird,1,1,0,0,0,0
Calhoun,Locust North,U.S. Congress District 4 - REP,,REP,Tommy Moll,4,4,0,0,0,0
Calhoun,Locust North,Unopposed Republican Candidates,,REP,For,4,4,0,0,0,0
Calhoun,Thornton City,Att Gen,,REP,David Sterling,2,2,0,0,0,0
Calhoun,Thornton City,Att Gen,,REP,Leslie Rutledge,8,8,0,0,0,0
Calhoun,Thornton City,Att Gen,,REP,Patricia Nation,3,2,1,0,0,0
Calhoun,Thornton City,Auditor of State - REP,,REP,Ken Yang,4,4,0,0,0,0
Calhoun,Thornton City,Auditor of State - REP,,REP,Representative Andrea Lea,9,8,1,0,0,0
Calhoun,Thornton City,Clerk,,DEM,Alma Davis,54,47,1,0,6,0
Calhoun,Thornton City,Governor - DEM,,DEM,"Lynette ""Doc"" Bryant",11,10,0,0,1,0
Calhoun,Thornton City,Governor - DEM,,DEM,Mike Ross,51,45,1,0,5,0
Calhoun,Thornton City,Governor - REP,,REP,Asa Hutchinson,11,10,1,0,0,0
Calhoun,Thornton City,Governor - REP,,REP,Curtis Coleman,2,2,0,0,0,0
Calhoun,Thornton City,JP Dst 1,,DEM,Dennis Burke,19,19,0,0,0,0
Calhoun,Thornton City,JP Dst 1,,DEM,"Thomas ""Tommy"" Stringfellow",40,34,1,0,5,0
Calhoun,Thornton City,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,7,6,1,0,0,0
Calhoun,Thornton City,Lieutenant Governor - REP,,REP,Representative Debra Hobbs,3,3,0,0,0,0
Calhoun,Thornton City,Lieutenant Governor - REP,,REP,State Rep. Andy Mayberry,3,3,0,0,0,0
Calhoun,Thornton City,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,8,7,1,0,0,0
Calhoun,Thornton City,State Treasurer - REP,,REP,Representative Duncan Baird,5,5,0,0,0,0
Calhoun,Thornton City,U.S. Congress District 4 - REP,,REP,Representative Bruce Westerman,10,9,1,0,0,0
Calhoun,Thornton City,U.S. Congress District 4 - REP,,REP,Tommy Moll,3,3,0,0,0,0
Calhoun,Thornton City,Unopposed Democrat Candidates,,DEM,For,53,49,1,0,3,0
Calhoun,Thornton City,Unopposed Republican Candidates,,REP,For,12,11,1,0,0,0
Calhoun,Thornton Rural,Att Gen,,REP,David Sterling,2,2,0,0,0,0
Calhoun,Thornton Rural,Att Gen,,REP,Leslie Rutledge,7,7,0,0,0,0
Calhoun,Thornton Rural,Auditor of State - REP,,REP,Representative Andrea Lea,8,8,0,0,0,0
Calhoun,Thornton Rural,Clerk,,DEM,Alma Davis,5,4,1,0,0,0
Calhoun,Thornton Rural,Governor - DEM,,DEM,Mike Ross,5,4,1,0,0,0
Calhoun,Thornton Rural,Governor - REP,,REP,Asa Hutchinson,3,3,0,0,0,0
Calhoun,Thornton Rural,Governor - REP,,REP,Curtis Coleman,5,5,0,0,0,0
Calhoun,Thornton Rural,JP Dst 1,,DEM,Dennis Burke,4,3,1,0,0,0
Calhoun,Thornton Rural,JP Dst 1,,DEM,"Thomas ""Tommy"" Stringfellow",2,2,0,0,0,0
Calhoun,Thornton Rural,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,2,2,0,0,0,0
Calhoun,Thornton Rural,Lieutenant Governor - REP,,REP,State Rep. Andy Mayberry,6,6,0,0,0,0
Calhoun,Thornton Rural,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,6,6,0,0,0,0
Calhoun,Thornton Rural,State Treasurer - REP,,REP,Representative Duncan Baird,2,2,0,0,0,0
Calhoun,Thornton Rural,U.S. Congress District 4 - REP,,REP,Representative Bruce Westerman,3,3,0,0,0,0
Calhoun,Thornton Rural,U.S. Congress District 4 - REP,,REP,Tommy Moll,6,6,0,0,0,0
Calhoun,Thornton Rural,Unopposed Democrat Candidates,,DEM,For,5,4,1,0,0,0
Calhoun,Thornton Rural,Unopposed Republican Candidates,,REP,For,9,9,0,0,0,0
Calhoun,Tinsman City,Att Gen,,REP,David Sterling,1,1,0,0,0,0
Calhoun,Tinsman City,Att Gen,,REP,Leslie Rutledge,4,4,0,0,0,0
Calhoun,Tinsman City,Auditor of State - REP,,REP,Ken Yang,2,2,0,0,0,0
Calhoun,Tinsman City,Auditor of State - REP,,REP,Representative Andrea Lea,3,3,0,0,0,0
Calhoun,Tinsman City,Clerk,,DEM,Alma Davis,5,5,0,0,0,0
Calhoun,Tinsman City,Governor - DEM,,DEM,"Lynette ""Doc"" Bryant",3,3,0,0,0,0
Calhoun,Tinsman City,Governor - DEM,,DEM,Mike Ross,3,3,0,0,0,0
Calhoun,Tinsman City,Governor - REP,,REP,Asa Hutchinson,1,1,0,0,0,0
Calhoun,Tinsman City,Governor - REP,,REP,Curtis Coleman,4,4,0,0,0,0
Calhoun,Tinsman City,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,5,5,0,0,0,0
Calhoun,Tinsman City,State Treasurer - REP,,REP,Representative Duncan Baird,5,5,0,0,0,0
Calhoun,Tinsman City,U.S. Congress District 4 - REP,,REP,Representative Bruce Westerman,2,2,0,0,0,0
Calhoun,Tinsman City,U.S. Congress District 4 - REP,,REP,Tommy Moll,3,3,0,0,0,0
Calhoun,Tinsman City,Unopposed Democrat Candidates,,DEM,For,5,5,0,0,0,0
Calhoun,Tinsman City,Unopposed Republican Candidates,,REP,For,1,1,0,0,0,0
Calhoun,Tinsman Rural,Att Gen,,REP,David Sterling,1,1,0,0,0,0
Calhoun,Tinsman Rural,Att Gen,,REP,Leslie Rutledge,8,8,0,0,0,0
Calhoun,Tinsman Rural,Auditor of State - REP,,REP,Representative Andrea Lea,9,9,0,0,0,0
Calhoun,Tinsman Rural,Clerk,,DEM,Alma Davis,20,15,5,0,0,0
Calhoun,Tinsman Rural,Governor - DEM,,DEM,"Lynette ""Doc"" Bryant",3,2,1,0,0,0
Calhoun,Tinsman Rural,Governor - DEM,,DEM,Mike Ross,18,15,3,0,0,0
Calhoun,Tinsman Rural,Governor - REP,,REP,Asa Hutchinson,7,7,0,0,0,0
Calhoun,Tinsman Rural,Governor - REP,,REP,Curtis Coleman,2,2,0,0,0,0
Calhoun,Tinsman Rural,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,2,2,0,0,0,0
Calhoun,Tinsman Rural,Lieutenant Governor - REP,,REP,Representative Debra Hobbs,1,1,0,0,0,0
Calhoun,Tinsman Rural,Lieutenant Governor - REP,,REP,State Rep. Andy Mayberry,6,6,0,0,0,0
Calhoun,Tinsman Rural,State Treasurer - REP,,REP,Circuit Clerk Dennis Milligan,4,4,0,0,0,0
Calhoun,Tinsman Rural,State Treasurer - REP,,REP,Representative Duncan Baird,5,5,0,0,0,0
Calhoun,Tinsman Rural,U.S. Congress District 4 - REP,,REP,Representative Bruce Westerman,4,4,0,0,0,0
Calhoun,Tinsman Rural,U.S. Congress District 4 - REP,,REP,Tommy Moll,5,5,0,0,0,0
Calhoun,Tinsman Rural,Unopposed Democrat Candidates,,DEM,For,18,14,4,0,0,0
Calhoun,Tinsman Rural,Unopposed Republican Candidates,,REP,For,6,6,0,0,0,0
Calhoun,Tinsman West,Att Gen,,REP,David Sterling,1,1,0,0,0,0
Calhoun,Tinsman West,Att Gen,,REP,Leslie Rutledge,9,4,5,0,0,0
Calhoun,Tinsman West,Att Gen,,REP,Patricia Nation,4,2,2,0,0,0
Calhoun,Tinsman West,Auditor of State - REP,,REP,Ken Yang,1,0,1,0,0,0
Calhoun,Tinsman West,Auditor of State - REP,,REP,Representative Andrea Lea,12,6,6,0,0,0
Calhoun,Tinsman West,Clerk,,DEM,Alma Davis,4,2,1,0,1,0
Calhoun,Tinsman West,Governor - DEM,,DEM,"Lynette ""Doc"" Bryant",2,0,1,0,1,0
Calhoun,Tinsman West,Governor - DEM,,DEM,Mike Ross,3,3,0,0,0,0
Calhoun,Tinsman West,Governor - REP,,REP,Asa Hutchinson,11,5,6,0,0,0
Calhoun,Tinsman West,Governor - REP,,REP,Curtis Coleman,3,2,1,0,0,0
Calhoun,Tinsman West,Lieutenant Governor - REP,,REP,Congressman Tim Griffin,4,3,1,0,0,0
Calhoun,Tinsman West,Lieutenant Governor - REP,,REP,State Rep. Andy Mayberry,10,4,6,0,0,0
