county,precinct,office,district,party,candidate,votes,election_day,early_voting,election_day_paper,absentee,early_vote_paper
Poinsett,Greenfield - Buffalo Lick,Governor,,DEM,Jared K. Henderson,36,9,4,16,2,5
Poinsett,Greenwood and Rivervale,Governor,,DEM,Jared K. Henderson,131,13,1,107,1,9
Poinsett,Little River and Payneway,Governor,,DEM,Jared K. Henderson,271,16,4,193,40,18
Poinsett,Owen - Fisher,Governor,,DEM,Jared K. Henderson,9,2,1,6,0,0
Poinsett,Owen - Waldenburg,Governor,,DEM,Jared K. Henderson,11,4,0,4,0,3
Poinsett,Tyronza,Governor,,DEM,Jared K. Henderson,41,6,3,32,0,0
Poinsett,Willis,Governor,,DEM,Jared K. Henderson,397,28,9,301,28,31
Poinsett,Lunsford,Governor,,DEM,Jared K. Henderson,8,0,0,8,0,0
Poinsett,Bolivar,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,902,71,172,356,14,289
Poinsett,Greenfield - Greenfield,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,85,2,14,44,1,24
Poinsett,Scott VV and WH,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,200,13,37,88,4,58
Poinsett,West Prairie,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,209,37,11,146,5,10
Poinsett,Dobson,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,34,2,4,21,0,7
Poinsett,Greenfield - Buffalo Lick,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,189,47,17,112,0,13
Poinsett,Greenwood and Rivervale,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,485,49,11,405,8,12
Poinsett,Little River and Payneway,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,567,58,8,444,20,37
Poinsett,Owen - Fisher,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,63,28,4,30,0,1
Poinsett,Owen - Waldenburg,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,38,22,3,12,0,1
Poinsett,Tyronza,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,232,49,5,172,1,5
Poinsett,Willis,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,1557,77,65,1193,70,152
Poinsett,Lunsford,Lieutenant Governor,,REP,Lt. Governor Tim Griffin,42,1,2,29,0,10
Poinsett,Bolivar,Lieutenant Governor,,LIB,Frank Gilbert,40,3,7,19,0,11
Poinsett,Greenfield - Greenfield,Lieutenant Governor,,LIB,Frank Gilbert,4,0,0,3,0,1
Poinsett,Scott VV and WH,Lieutenant Governor,,LIB,Frank Gilbert,7,0,1,3,0,3
Poinsett,West Prairie,Lieutenant Governor,,LIB,Frank Gilbert,9,2,0,7,0,0
Poinsett,Dobson,Lieutenant Governor,,LIB,Frank Gilbert,2,1,0,1,0,0
Poinsett,Greenfield - Buffalo Lick,Lieutenant Governor,,LIB,Frank Gilbert,8,1,1,6,0,0
Poinsett,Greenwood and Rivervale,Lieutenant Governor,,LIB,Frank Gilbert,16,2,0,13,0,1
Poinsett,Little River and Payneway,Lieutenant Governor,,LIB,Frank Gilbert,19,2,0,16,0,1
Poinsett,Owen - Fisher,Lieutenant Governor,,LIB,Frank Gilbert,0,0,0,0,0,0
Poinsett,Owen - Waldenburg,Lieutenant Governor,,LIB,Frank Gilbert,0,0,0,0,0,0
Poinsett,Tyronza,Lieutenant Governor,,LIB,Frank Gilbert,7,0,0,7,0,0
Poinsett,Willis,Lieutenant Governor,,LIB,Frank Gilbert,49,4,2,37,2,4
Poinsett,Lunsford,Lieutenant Governor,,LIB,Frank Gilbert,2,0,0,2,0,0
Poinsett,Bolivar,Lieutenant Governor,,DEM,Anthony Bland,198,11,32,93,4,58
Poinsett,Greenfield - Greenfield,Lieutenant Governor,,DEM,Anthony Bland,13,0,3,6,2,2
Poinsett,Scott VV and WH,Lieutenant Governor,,DEM,Anthony Bland,49,4,6,21,3,15
Poinsett,West Prairie,Lieutenant Governor,,DEM,Anthony Bland,62,8,6,47,1,0
Poinsett,Dobson,Lieutenant Governor,,DEM,Anthony Bland,2,1,0,0,1,0
Poinsett,Greenfield - Buffalo Lick,Lieutenant Governor,,DEM,Anthony Bland,36,10,4,15,2,5
Poinsett,Greenwood and Rivervale,Lieutenant Governor,,DEM,Anthony Bland,152,12,1,131,0,8
Poinsett,Little River and Payneway,Lieutenant Governor,,DEM,Anthony Bland,294,18,4,210,43,19
Poinsett,Owen - Fisher,Lieutenant Governor,,DEM,Anthony Bland,10,1,2,7,0,0
Poinsett,Owen - Waldenburg,Lieutenant Governor,,DEM,Anthony Bland,12,4,0,5,0,3
Poinsett,Tyronza,Lieutenant Governor,,DEM,Anthony Bland,41,6,3,32,0,0
Poinsett,Willis,Lieutenant Governor,,DEM,Anthony Bland,432,29,11,325,34,33
Poinsett,Lunsford,Lieutenant Governor,,DEM,Anthony Bland,10,0,0,8,0,2
Poinsett,Bolivar,Attorney General,,REP,Attorney General Leslie Rutledge,856,70,168,334,14,270
Poinsett,Greenfield - Greenfield,Attorney General,,REP,Attorney General Leslie Rutledge,82,2,14,41,1,24
Poinsett,Scott VV and WH,Attorney General,,REP,Attorney General Leslie Rutledge,198,13,36,86,4,59
Poinsett,West Prairie,Attorney General,,REP,Attorney General Leslie Rutledge,200,34,10,143,4,9
Poinsett,Dobson,Attorney General,,REP,Attorney General Leslie Rutledge,37,2,4,23,1,7
Poinsett,Greenfield - Buffalo Lick,Attorney General,,REP,Attorney General Leslie Rutledge,180,41,14,112,0,13
Poinsett,Greenwood and Rivervale,Attorney General,,REP,Attorney General Leslie Rutledge,459,45,11,385,7,11
Poinsett,Little River and Payneway,Attorney General,,REP,Attorney General Leslie Rutledge,535,57,8,416,20,34
Poinsett,Owen - Fisher,Attorney General,,REP,Attorney General Leslie Rutledge,60,28,4,27,0,1
Poinsett,Owen - Waldenburg,Attorney General,,REP,Attorney General Leslie Rutledge,39,22,3,13,0,1
Poinsett,Tyronza,Attorney General,,REP,Attorney General Leslie Rutledge,226,49,5,166,1,5
Poinsett,Willis,Attorney General,,REP,Attorney General Leslie Rutledge,1483,78,67,1126,62,150
Poinsett,Lunsford,Attorney General,,REP,Attorney General Leslie Rutledge,41,1,2,28,0,10
Poinsett,Bolivar,Attorney General,,DEM,Mike Lee,253,15,40,118,4,76
Poinsett,Greenfield - Greenfield,Attorney General,,DEM,Mike Lee,18,0,3,10,2,3
Poinsett,Scott VV and WH,Attorney General,,DEM,Mike Lee,56,4,7,24,3,18
Poinsett,West Prairie,Attorney General,,DEM,Mike Lee,70,11,6,51,1,1
Poinsett,Dobson,Attorney General,,DEM,Mike Lee,2,2,0,0,0,0
Poinsett,Greenfield - Buffalo Lick,Attorney General,,DEM,Mike Lee,45,14,8,16,2,5
Poinsett,Greenwood and Rivervale,Attorney General,,DEM,Mike Lee,178,17,1,150,1,9
Poinsett,Little River and Payneway,Attorney General,,DEM,Mike Lee,336,19,4,247,43,23
Poinsett,Owen - Fisher,Attorney General,,DEM,Mike Lee,13,1,2,10,0,0
Poinsett,Owen - Waldenburg,Attorney General,,DEM,Mike Lee,10,3,0,4,0,3
Poinsett,Tyronza,Attorney General,,DEM,Mike Lee,48,6,3,39,0,0
Poinsett,Willis,Attorney General,,DEM,Mike Lee,508,30,9,394,38,37
Poinsett,Lunsford,Attorney General,,DEM,Mike Lee,11,0,0,9,0,2
Poinsett,Bolivar,Attorney General,,LIB,Kerry Hicks,35,1,5,16,0,13
Poinsett,Greenfield - Greenfield,Attorney General,,LIB,Kerry Hicks,2,0,0,2,0,0
Poinsett,Scott VV and WH,Attorney General,,LIB,Kerry Hicks,5,0,1,3,0,1
Poinsett,West Prairie,Attorney General,,LIB,Kerry Hicks,11,2,1,7,1,0
Poinsett,Dobson,Attorney General,,LIB,Kerry Hicks,1,0,0,1,0,0
Poinsett,Greenfield - Buffalo Lick,Attorney General,,LIB,Kerry Hicks,7,3,0,4,0,0
Poinsett,Greenwood and Rivervale,Attorney General,,LIB,Kerry Hicks,12,1,0,10,0,1
Poinsett,Little River and Payneway,Attorney General,,LIB,Kerry Hicks,11,2,0,9,0,0
Poinsett,Owen - Fisher,Attorney General,,LIB,Kerry Hicks,0,0,0,0,0,0
Poinsett,Owen - Waldenburg,Attorney General,,LIB,Kerry Hicks,2,2,0,0,0,0
Poinsett,Tyronza,Attorney General,,LIB,Kerry Hicks,3,0,0,3,0,0
Poinsett,Willis,Attorney General,,LIB,Kerry Hicks,48,3,1,37,6,1
Poinsett,Lunsford,Attorney General,,LIB,Kerry Hicks,3,0,0,3,0,0
Poinsett,Bolivar,Secretary of State,,DEM,Susan Inman,236,18,40,110,4,64
Poinsett,Greenfield - Greenfield,Secretary of State,,DEM,Susan Inman,14,0,3,6,2,3
Poinsett,Scott VV and WH,Secretary of State,,DEM,Susan Inman,56,4,7,24,3,18
Poinsett,West Prairie,Secretary of State,,DEM,Susan Inman,77,13,5,58,1,0
Poinsett,Dobson,Secretary of State,,DEM,Susan Inman,4,2,0,1,0,1
Poinsett,Greenfield - Buffalo Lick,Secretary of State,,DEM,Susan Inman,40,11,5,18,2,4
Poinsett,Greenwood and Rivervale,Secretary of State,,DEM,Susan Inman,175,15,1,150,1,8
Poinsett,Little River and Payneway,Secretary of State,,DEM,Susan Inman,309,18,4,227,41,19
Poinsett,Owen - Fisher,Secretary of State,,DEM,Susan Inman,15,3,2,10,0,0
Poinsett,Owen - Waldenburg,Secretary of State,,DEM,Susan Inman,14,5,0,5,0,4
Poinsett,Tyronza,Secretary of State,,DEM,Susan Inman,47,6,2,39,0,0
Poinsett,Willis,Secretary of State,,DEM,Susan Inman,531,34,11,402,40,44
Poinsett,Lunsford,Secretary of State,,DEM,Susan Inman,11,0,0,10,0,1
Poinsett,Bolivar,Secretary of State,,REP,John Thurston Commissioner of State Lands,864,63,167,340,14,280
Poinsett,Greenfield - Greenfield,Secretary of State,,REP,John Thurston Commissioner of State Lands,86,2,14,45,1,24
Poinsett,Scott VV and WH,Secretary of State,,REP,John Thurston Commissioner of State Lands,194,13,36,85,4,56
Poinsett,West Prairie,Secretary of State,,REP,John Thurston Commissioner of State Lands,197,33,12,137,5,10
Poinsett,Dobson,Secretary of State,,REP,John Thurston Commissioner of State Lands,34,2,4,21,1,6
Poinsett,Greenfield - Buffalo Lick,Secretary of State,,REP,John Thurston Commissioner of State Lands,184,47,16,108,0,13
Poinsett,Greenwood and Rivervale,Secretary of State,,REP,John Thurston Commissioner of State Lands,458,44,11,383,7,13
Poinsett,Little River and Payneway,Secretary of State,,REP,John Thurston Commissioner of State Lands,547,57,8,427,20,35
Poinsett,Owen - Fisher,Secretary of State,,REP,John Thurston Commissioner of State Lands,57,25,4,27,0,1
Poinsett,Owen - Waldenburg,Secretary of State,,REP,John Thurston Commissioner of State Lands,35,20,3,12,0,0
Poinsett,Tyronza,Secretary of State,,REP,John Thurston Commissioner of State Lands,225,48,6,165,1,5
Poinsett,Willis,Secretary of State,,REP,John Thurston Commissioner of State Lands,1467,72,65,1122,63,145
Poinsett,Lunsford,Secretary of State,,REP,John Thurston Commissioner of State Lands,40,1,2,28,0,9
Poinsett,Bolivar,Secretary of State,,LIB,Christopher Olson,41,5,7,17,0,12
Poinsett,Greenfield - Greenfield,Secretary of State,,LIB,Christopher Olson,2,0,0,2,0,0
Poinsett,Scott VV and WH,Secretary of State,,LIB,Christopher Olson,6,0,1,3,0,2
Poinsett,West Prairie,Secretary of State,,LIB,Christopher Olson,5,1,0,4,0,0
Poinsett,Dobson,Secretary of State,,LIB,Christopher Olson,1,0,0,1,0,0
Poinsett,Greenfield - Buffalo Lick,Secretary of State,,LIB,Christopher Olson,6,0,1,5,0,0
Poinsett,Greenwood and Rivervale,Secretary of State,,LIB,Christopher Olson,17,4,0,13,0,0
Poinsett,Little River and Payneway,Secretary of State,,LIB,Christopher Olson,23,3,0,17,0,3
Poinsett,Owen - Fisher,Secretary of State,,LIB,Christopher Olson,0,0,0,0,0,0
Poinsett,Owen - Waldenburg,Secretary of State,,LIB,Christopher Olson,0,0,0,0,0,0
Poinsett,Tyronza,Secretary of State,,LIB,Christopher Olson,7,1,0,6,0,0
Poinsett,Willis,Secretary of State,,LIB,Christopher Olson,40,4,2,31,3,0
Poinsett,Lunsford,Secretary of State,,LIB,Christopher Olson,4,0,0,2,0,2
Poinsett,Bolivar,State Treasurer,,LIB,Ashley Ewald,206,16,35,86,5,64
Poinsett,Greenfield - Greenfield,State Treasurer,,LIB,Ashley Ewald,17,0,3,8,2,4
Poinsett,Scott VV and WH,State Treasurer,,LIB,Ashley Ewald,44,3,6,20,3,12
Poinsett,West Prairie,State Treasurer,,LIB,Ashley Ewald,50,6,4,38,2,0
Poinsett,Dobson,State Treasurer,,LIB,Ashley Ewald,4,2,0,2,0,0
Poinsett,Greenfield - Buffalo Lick,State Treasurer,,LIB,Ashley Ewald,39,11,3,20,2,3
Poinsett,Greenwood and Rivervale,State Treasurer,,LIB,Ashley Ewald,142,18,1,114,0,9
Poinsett,Little River and Payneway,State Treasurer,,LIB,Ashley Ewald,249,19,3,175,34,18
Poinsett,Owen - Fisher,State Treasurer,,LIB,Ashley Ewald,9,1,2,6,0,0
Poinsett,Owen - Waldenburg,State Treasurer,,LIB,Ashley Ewald,10,4,0,4,0,2
Poinsett,Tyronza,State Treasurer,,LIB,Ashley Ewald,33,4,1,28,0,0
Poinsett,Willis,State Treasurer,,LIB,Ashley Ewald,380,26,8,301,25,20
Poinsett,Lunsford,State Treasurer,,LIB,Ashley Ewald,12,0,0,10,0,2
Poinsett,Bolivar,State Treasurer,,REP,Treasurer of State Dennis Milligan,918,69,177,370,13,289
Poinsett,Greenfield - Greenfield,State Treasurer,,REP,Treasurer of State Dennis Milligan,84,2,14,44,1,23
Poinsett,Scott VV and WH,State Treasurer,,REP,Treasurer of State Dennis Milligan,206,14,38,90,4,60
Poinsett,West Prairie,State Treasurer,,REP,Treasurer of State Dennis Milligan,223,41,13,155,4,10
Poinsett,Dobson,State Treasurer,,REP,Treasurer of State Dennis Milligan,35,2,4,21,1,7
Poinsett,Greenfield - Buffalo Lick,State Treasurer,,REP,Treasurer of State Dennis Milligan,186,45,18,110,0,13
Poinsett,Greenwood and Rivervale,State Treasurer,,REP,Treasurer of State Dennis Milligan,506,45,11,430,8,12
Poinsett,Little River and Payneway,State Treasurer,,REP,Treasurer of State Dennis Milligan,607,59,9,474,27,38
Poinsett,Owen - Fisher,State Treasurer,,REP,Treasurer of State Dennis Milligan,62,27,4,30,0,1
Poinsett,Owen - Waldenburg,State Treasurer,,REP,Treasurer of State Dennis Milligan,39,22,3,13,0,1
Poinsett,Tyronza,State Treasurer,,REP,Treasurer of State Dennis Milligan,242,51,7,178,1,5
Poinsett,Willis,State Treasurer,,REP,Treasurer of State Dennis Milligan,1632,84,69,1237,77,165
Poinsett,Lunsford,State Treasurer,,REP,Treasurer of State Dennis Milligan,43,1,2,30,0,10
Poinsett,Bolivar,Auditor of State,,REP,Auditor Andrea Lea,926,76,181,372,14,283
Poinsett,Greenfield - Greenfield,Auditor of State,,REP,Auditor Andrea Lea,85,2,13,47,1,22
Poinsett,Scott VV and WH,Auditor of State,,REP,Auditor Andrea Lea,203,15,36,93,3,56
Poinsett,West Prairie,Auditor of State,,REP,Auditor Andrea Lea,228,39,11,164,4,10
Poinsett,Dobson,Auditor of State,,REP,Auditor Andrea Lea,37,3,4,22,1,7
Poinsett,Greenfield - Buffalo Lick,Auditor of State,,REP,Auditor Andrea Lea,191,51,18,109,0,13
Poinsett,Greenwood and Rivervale,Auditor of State,,REP,Auditor Andrea Lea,510,47,11,431,8,13
Poinsett,Little River and Payneway,Auditor of State,,REP,Auditor Andrea Lea,600,67,10,460,23,40
Poinsett,Owen - Fisher,Auditor of State,,REP,Auditor Andrea Lea,65,27,6,31,0,1
Poinsett,Owen - Waldenburg,Auditor of State,,REP,Auditor Andrea Lea,38,20,3,14,0,1
Poinsett,Tyronza,Auditor of State,,REP,Auditor Andrea Lea,243,51,7,179,1,5
Poinsett,Willis,Auditor of State,,REP,Auditor Andrea Lea,1628,84,69,1242,71,162
Poinsett,Lunsford,Auditor of State,,REP,Auditor Andrea Lea,40,1,2,28,0,9
Poinsett,Bolivar,Auditor of State,,LIB,David E. Dinwiddie,176,9,30,79,3,55
Poinsett,Greenfield - Greenfield,Auditor of State,,LIB,David E. Dinwiddie,15,0,4,5,2,4
Poinsett,Scott VV and WH,Auditor of State,,LIB,David E. Dinwiddie,41,2,7,14,3,15
Poinsett,West Prairie,Auditor of State,,LIB,David E. Dinwiddie,46,8,6,30,2,0
Poinsett,Dobson,Auditor of State,,LIB,David E. Dinwiddie,2,1,0,1,0,0
Poinsett,Greenfield - Buffalo Lick,Auditor of State,,LIB,David E. Dinwiddie,30,5,2,19,2,2
Poinsett,Greenwood and Rivervale,Auditor of State,,LIB,David E. Dinwiddie,130,16,1,106,0,7
Poinsett,Little River and Payneway,Auditor of State,,LIB,David E. Dinwiddie,244,11,2,179,36,16
Poinsett,Owen - Fisher,Auditor of State,,LIB,David E. Dinwiddie,5,1,0,4,0,0
Poinsett,Owen - Waldenburg,Auditor of State,,LIB,David E. Dinwiddie,10,5,0,3,0,2
Poinsett,Tyronza,Auditor of State,,LIB,David E. Dinwiddie,32,4,1,27,0,0
Poinsett,Willis,Auditor of State,,LIB,David E. Dinwiddie,356,25,8,274,27,22
Poinsett,Lunsford,Auditor of State,,LIB,David E. Dinwiddie,15,0,0,12,0,3
Poinsett,Bolivar,Commissioner of State Lands,,DEM,Larry Williams,280,20,52,124,6,78
Poinsett,Greenfield - Greenfield,Commissioner of State Lands,,DEM,Larry Williams,16,0,3,7,2,4
Poinsett,Scott VV and WH,Commissioner of State Lands,,DEM,Larry Williams,63,4,8,30,4,17
Poinsett,West Prairie,Commissioner of State Lands,,DEM,Larry Williams,80,10,7,62,1,0
Poinsett,Dobson,Commissioner of State Lands,,DEM,Larry Williams,7,3,0,2,0,2
Poinsett,Greenfield - Buffalo Lick,Commissioner of State Lands,,DEM,Larry Williams,41,13,4,18,2,4
Poinsett,Greenwood and Rivervale,Commissioner of State Lands,,DEM,Larry Williams,183,15,2,157,1,8
Poinsett,Little River and Payneway,Commissioner of State Lands,,DEM,Larry Williams,329,19,4,246,40,20
Poinsett,Owen - Fisher,Commissioner of State Lands,,DEM,Larry Williams,14,3,2,9,0,0
Poinsett,Owen - Waldenburg,Commissioner of State Lands,,DEM,Larry Williams,14,5,0,5,0,4
Poinsett,Tyronza,Commissioner of State Lands,,DEM,Larry Williams,54,8,3,42,0,1
Poinsett,Willis,Commissioner of State Lands,,DEM,Larry Williams,551,34,12,422,41,42
Poinsett,Lunsford,Commissioner of State Lands,,DEM,Larry Williams,10,0,0,8,0,2
Poinsett,Bolivar,Commissioner of State Lands,,REP,Tommy Land,820,62,158,325,12,263
Poinsett,Greenfield - Greenfield,Commissioner of State Lands,,REP,Tommy Land,80,2,14,40,1,23
Poinsett,Scott VV and WH,Commissioner of State Lands,,REP,Tommy Land,181,13,33,75,3,57
Poinsett,West Prairie,Commissioner of State Lands,,REP,Tommy Land,190,35,10,130,5,10
Poinsett,Dobson,Commissioner of State Lands,,REP,Tommy Land,30,1,4,19,1,5
Poinsett,Greenfield - Buffalo Lick,Commissioner of State Lands,,REP,Tommy Land,175,44,15,104,0,12
Poinsett,Greenwood and Rivervale,Commissioner of State Lands,,REP,Tommy Land,452,45,10,378,7,12
Poinsett,Little River and Payneway,Commissioner of State Lands,,REP,Tommy Land,526,57,8,406,19,36
Poinsett,Owen - Fisher,Commissioner of State Lands,,REP,Tommy Land,59,26,4,28,0,1
Poinsett,Owen - Waldenburg,Commissioner of State Lands,,REP,Tommy Land,37,22,3,12,0,0
Poinsett,Tyronza,Commissioner of State Lands,,REP,Tommy Land,221,47,5,164,1,4
Poinsett,Willis,Commissioner of State Lands,,REP,Tommy Land,1426,75,63,1084,60,144
Poinsett,Lunsford,Commissioner of State Lands,,REP,Tommy Land,45,1,2,32,0,10
Poinsett,Bolivar,Commissioner of State Lands,,LIB,T.J. Campbell,41,4,4,17,0,16
Poinsett,Greenfield - Greenfield,Commissioner of State Lands,,LIB,T.J. Campbell,6,0,0,6,0,0
Poinsett,Scott VV and WH,Commissioner of State Lands,,LIB,T.J. Campbell,10,0,2,7,0,1
Poinsett,West Prairie,Commissioner of State Lands,,LIB,T.J. Campbell,8,2,0,6,0,0
Poinsett,Dobson,Commissioner of State Lands,,LIB,T.J. Campbell,1,0,0,1,0,0
Poinsett,Greenfield - Buffalo Lick,Commissioner of State Lands,,LIB,T.J. Campbell,11,1,2,8,0,0
Poinsett,Greenwood and Rivervale,Commissioner of State Lands,,LIB,T.J. Campbell,16,3,0,12,0,1
Poinsett,Little River and Payneway,Commissioner of State Lands,,LIB,T.J. Campbell,25,2,0,19,3,1
Poinsett,Owen - Fisher,Commissioner of State Lands,,LIB,T.J. Campbell,0,0,0,0,0,0
Poinsett,Owen - Waldenburg,Commissioner of State Lands,,LIB,T.J. Campbell,0,0,0,0,0,0
Poinsett,Tyronza,Commissioner of State Lands,,LIB,T.J. Campbell,3,0,0,3,0,0
Poinsett,Willis,Commissioner of State Lands,,LIB,T.J. Campbell,54,2,3,45,3,1
Poinsett,Lunsford,Commissioner of State Lands,,LIB,T.J. Campbell,0,0,0,0,0,0
