county,precinct,office,district,party,candidate,votes,election_day_paper,absentee,early_vote_paper,election_day,early_vote
Pope,Crow Mountain East #1,State Senate District 16,,REP,Robert (Bob) Bailey,31,12,1,7,5,6
Pope,Crow Mountain East #2,State Senate District 16,,REP,Robert (Bob) Bailey,47,22,0,13,7,5
Pope,Crow Mountain West #1,State Senate District 16,,REP,Robert (Bob) Bailey,99,26,0,31,12,30
Pope,Crow Mountain West #2,State Senate District 16,,REP,Robert (Bob) Bailey,114,22,0,32,24,36
Pope,Dover In,State Senate District 16,,REP,Robert (Bob) Bailey,70,31,0,16,10,13
Pope,Dover Out,State Senate District 16,,REP,Robert (Bob) Bailey,230,70,0,65,38,57
Pope,Economy,State Senate District 16,,REP,Robert (Bob) Bailey,20,9,0,6,4,1
Pope,Freeman,State Senate District 16,,REP,Robert (Bob) Bailey,6,1,0,3,2,0
Pope,Hector In,State Senate District 16,,REP,Robert (Bob) Bailey,21,13,0,6,0,2
Pope,Hector Out,State Senate District 16,,REP,Robert (Bob) Bailey,41,32,0,5,1,3
Pope,London In,State Senate District 16,,REP,Robert (Bob) Bailey,62,40,0,13,5,4
Pope,London Out,State Senate District 16,,REP,Robert (Bob) Bailey,176,54,0,55,13,54
Pope,Martin #1,State Senate District 16,,REP,Robert (Bob) Bailey,48,17,1,9,9,12
Pope,Martin #2,State Senate District 16,,REP,Robert (Bob) Bailey,20,9,0,3,5,3
Pope,Martin #3,State Senate District 16,,REP,Robert (Bob) Bailey,11,6,0,2,3,0
Pope,Moreland #1,State Senate District 16,,REP,Robert (Bob) Bailey,15,2,1,6,2,4
Pope,Moreland #2,State Senate District 16,,REP,Robert (Bob) Bailey,5,0,0,2,1,2
Pope,Pea Ridge,State Senate District 16,,REP,Robert (Bob) Bailey,31,12,0,10,5,4
Pope,Pottsville In #1,State Senate District 16,,REP,Robert (Bob) Bailey,154,73,0,24,28,29
Pope,Pottsville In #2,State Senate District 16,,REP,Robert (Bob) Bailey,8,2,0,2,3,1
Pope,Pottsville Out #1,State Senate District 16,,REP,Robert (Bob) Bailey,122,31,0,43,17,31
Pope,Pottsville Out #2,State Senate District 16,,REP,Robert (Bob) Bailey,0,0,0,0,0,0
Pope,Russellville 1A,State Senate District 16,,REP,Robert (Bob) Bailey,15,6,0,6,2,1
Pope,Russellville 1B,State Senate District 16,,REP,Robert (Bob) Bailey,214,44,7,60,29,74
Pope,Russellville 1C,State Senate District 16,,REP,Robert (Bob) Bailey,20,5,0,10,1,4
Pope,Russellville 2A,State Senate District 16,,REP,Robert (Bob) Bailey,148,34,1,48,19,46
Pope,Russellville 2B,State Senate District 16,,REP,Robert (Bob) Bailey,229,32,1,71,37,88
Pope,Russellville 2C,State Senate District 16,,REP,Robert (Bob) Bailey,34,5,0,13,6,10
Pope,Russellville 3A,State Senate District 16,,REP,Robert (Bob) Bailey,77,13,0,28,12,24
Pope,Russellville 3B,State Senate District 16,,REP,Robert (Bob) Bailey,101,16,1,35,17,32
Pope,Russellville 4A,State Senate District 16,,REP,Robert (Bob) Bailey,66,15,0,24,15,12
Pope,Russellville 4B,State Senate District 16,,REP,Robert (Bob) Bailey,2,0,0,1,0,1
Pope,Russellville 4C,State Senate District 16,,REP,Robert (Bob) Bailey,24,9,0,10,2,3
Pope,Russellville 4D,State Senate District 16,,REP,Robert (Bob) Bailey,8,1,0,3,4,0
Pope,Russellville 4E,State Senate District 16,,REP,Robert (Bob) Bailey,0,0,0,0,0,0
Pope,Russellville 4F,State Senate District 16,,REP,Robert (Bob) Bailey,13,2,0,4,6,1
Pope,Russellville 4G,State Senate District 16,,REP,Robert (Bob) Bailey,8,4,0,1,3,0
Pope,Russellville 4H,State Senate District 16,,REP,Robert (Bob) Bailey,52,11,0,22,7,12
Pope,Russellville Out #1,State Senate District 16,,REP,Robert (Bob) Bailey,77,15,0,27,14,21
Pope,Russellville Out #2,State Senate District 16,,REP,Robert (Bob) Bailey,53,5,0,26,5,17
Pope,Russellville Out #3,State Senate District 16,,REP,Robert (Bob) Bailey,8,3,0,2,1,2
Pope,Russellville Out #4,State Senate District 16,,REP,Robert (Bob) Bailey,175,12,0,58,50,55
Pope,Scottsville #1,State Senate District 16,,REP,Robert (Bob) Bailey,37,13,0,11,7,6
Pope,Scottsville #2,State Senate District 16,,REP,Robert (Bob) Bailey,10,6,0,4,0,0
Pope,Nogo,State Senate District 16,,REP,Robert (Bob) Bailey,4,3,0,1,0,0
