county,precinct,office,district,party,candidate,votes,absentee,provisional,early_voting,election_day
Crawford,Cedarville,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Cove City CSD,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Dora,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Figure Five,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Jasper,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Lancaster,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Lee Creek CSD,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Oliver Springs,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Rudy,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Union,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Upper,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Van Buren 01,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Van Buren 02,U.S. House,3,NON,Write-In,1,0,0,0,1
Crawford,Van Buren 03,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Van Buren 04,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Van Buren 05,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Van Buren 06,U.S. House,3,NON,Write-In,1,0,0,1,0
Crawford,Van Buren 07,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Van Buren 08,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Van Buren 09,U.S. House,3,NON,Write-In,1,1,0,0,0
Crawford,Van Buren 10,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Van Buren 11,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Van Buren 12,U.S. House,3,NON,Write-In,0,0,0,0,0
Crawford,Alma 1,U.S. House,4,Rep,Representative Bruce Westerman,322,4,0,95,223
Crawford,Alma 4,U.S. House,4,Rep,Representative Bruce Westerman,394,3,2,160,229
Crawford,Bidville,U.S. House,4,Rep,Representative Bruce Westerman,15,2,0,6,7
Crawford,Chester,U.S. House,4,Rep,Representative Bruce Westerman,121,1,0,26,94
Crawford,Dean Springs,U.S. House,4,Rep,Representative Bruce Westerman,516,4,0,156,356
Crawford,Dyer,U.S. House,4,Rep,Representative Bruce Westerman,371,6,0,105,260
Crawford,Eagle Crest,U.S. House,4,Rep,Representative Bruce Westerman,171,1,1,83,86
Crawford,Kibler,U.S. House,4,Rep,Representative Bruce Westerman,434,0,1,139,294
Crawford,Locke,U.S. House,4,Rep,Representative Bruce Westerman,82,2,0,20,60
Crawford,Mountain,U.S. House,4,Rep,Representative Bruce Westerman,457,8,2,132,315
Crawford,Mulberry 1,U.S. House,4,Rep,Representative Bruce Westerman,79,0,0,16,63
Crawford,Mulberry 2,U.S. House,4,Rep,Representative Bruce Westerman,40,0,0,4,36
Crawford,Mulberry 3,U.S. House,4,Rep,Representative Bruce Westerman,275,4,0,58,213
Crawford,Porter,U.S. House,4,Rep,Representative Bruce Westerman,68,0,0,22,46
Crawford,Vine Prairie,U.S. House,4,Rep,Representative Bruce Westerman,133,4,0,33,96
Crawford,Whitley,U.S. House,4,Rep,Representative Bruce Westerman,221,1,0,88,132
Crawford,Winfrey,U.S. House,4,Rep,Representative Bruce Westerman,19,0,0,9,10
Crawford,Alma 1,U.S. House,4,Lib,Tom Canada,12,0,0,3,9
Crawford,Alma 4,U.S. House,4,Lib,Tom Canada,14,0,0,1,13
Crawford,Bidville,U.S. House,4,Lib,Tom Canada,0,0,0,0,0
Crawford,Chester,U.S. House,4,Lib,Tom Canada,6,0,0,0,6
Crawford,Dean Springs,U.S. House,4,Lib,Tom Canada,9,0,0,1,8
Crawford,Dyer,U.S. House,4,Lib,Tom Canada,19,0,0,8,11
Crawford,Eagle Crest,U.S. House,4,Lib,Tom Canada,5,0,0,1,4
Crawford,Kibler,U.S. House,4,Lib,Tom Canada,11,0,0,2,9
Crawford,Locke,U.S. House,4,Lib,Tom Canada,0,0,0,0,0
Crawford,Mountain,U.S. House,4,Lib,Tom Canada,20,0,1,5,14
Crawford,Mulberry 1,U.S. House,4,Lib,Tom Canada,1,0,0,0,1
Crawford,Mulberry 2,U.S. House,4,Lib,Tom Canada,3,0,0,1,2
Crawford,Mulberry 3,U.S. House,4,Lib,Tom Canada,8,0,0,2,6
Crawford,Porter,U.S. House,4,Lib,Tom Canada,1,0,0,0,1
Crawford,Vine Prairie,U.S. House,4,Lib,Tom Canada,1,0,0,0,1
Crawford,Whitley,U.S. House,4,Lib,Tom Canada,6,0,0,2,4
Crawford,Winfrey,U.S. House,4,Lib,Tom Canada,0,0,0,0,0
Crawford,Alma 1,U.S. House,4,Dem,Hayden Catherine Shamel,113,2,0,45,66
Crawford,Alma 4,U.S. House,4,Dem,Hayden Catherine Shamel,95,1,0,37,57
Crawford,Bidville,U.S. House,4,Dem,Hayden Catherine Shamel,1,0,0,1,0
Crawford,Chester,U.S. House,4,Dem,Hayden Catherine Shamel,44,2,0,11,31
Crawford,Dean Springs,U.S. House,4,Dem,Hayden Catherine Shamel,107,2,0,46,59
Crawford,Dyer,U.S. House,4,Dem,Hayden Catherine Shamel,109,2,0,29,78
Crawford,Eagle Crest,U.S. House,4,Dem,Hayden Catherine Shamel,32,0,0,14,18
Crawford,Kibler,U.S. House,4,Dem,Hayden Catherine Shamel,77,2,0,30,45
Crawford,Locke,U.S. House,4,Dem,Hayden Catherine Shamel,12,1,0,2,9
Crawford,Mountain,U.S. House,4,Dem,Hayden Catherine Shamel,140,3,0,41,96
Crawford,Mulberry 1,U.S. House,4,Dem,Hayden Catherine Shamel,20,1,0,5,14
Crawford,Mulberry 2,U.S. House,4,Dem,Hayden Catherine Shamel,5,0,0,2,3
Crawford,Mulberry 3,U.S. House,4,Dem,Hayden Catherine Shamel,84,1,0,12,71
Crawford,Porter,U.S. House,4,Dem,Hayden Catherine Shamel,27,1,0,8,18
Crawford,Vine Prairie,U.S. House,4,Dem,Hayden Catherine Shamel,21,0,0,5,16
Crawford,Whitley,U.S. House,4,Dem,Hayden Catherine Shamel,51,0,0,12,39
Crawford,Winfrey,U.S. House,4,Dem,Hayden Catherine Shamel,1,0,0,0,1
Crawford,Alma 1,U.S. House,4,NON,Write-In,2,0,0,2,0
Crawford,Alma 4,U.S. House,4,NON,Write-In,0,0,0,0,0
Crawford,Bidville,U.S. House,4,NON,Write-In,0,0,0,0,0
Crawford,Chester,U.S. House,4,NON,Write-In,0,0,0,0,0
Crawford,Dean Springs,U.S. House,4,NON,Write-In,0,0,0,0,0
Crawford,Dyer,U.S. House,4,NON,Write-In,1,0,0,0,1
Crawford,Eagle Crest,U.S. House,4,NON,Write-In,0,0,0,0,0
Crawford,Kibler,U.S. House,4,NON,Write-In,0,0,0,0,0
Crawford,Locke,U.S. House,4,NON,Write-In,0,0,0,0,0
Crawford,Mountain,U.S. House,4,NON,Write-In,1,0,0,1,0
Crawford,Mulberry 1,U.S. House,4,NON,Write-In,0,0,0,0,0
Crawford,Mulberry 2,U.S. House,4,NON,Write-In,0,0,0,0,0
Crawford,Mulberry 3,U.S. House,4,NON,Write-In,1,0,0,0,1
Crawford,Porter,U.S. House,4,NON,Write-In,0,0,0,0,0
Crawford,Vine Prairie,U.S. House,4,NON,Write-In,0,0,0,0,0
Crawford,Whitley,U.S. House,4,NON,Write-In,0,0,0,0,0
Crawford,Winfrey,U.S. House,4,NON,Write-In,0,0,0,0,0
Crawford,Alma 1,Governor,,Dem,Jared K. Henderson,119,2,0,46,71
Crawford,Alma 2,Governor,,Dem,Jared K. Henderson,22,2,0,11,9
Crawford,Alma 3,Governor,,Dem,Jared K. Henderson,166,1,0,73,92
Crawford,Alma 4,Governor,,Dem,Jared K. Henderson,84,1,0,33,50
Crawford,Bidville,Governor,,Dem,Jared K. Henderson,1,0,0,1,0
Crawford,Cedar Creek,Governor,,Dem,Jared K. Henderson,20,0,0,9,11
Crawford,Cedarville,Governor,,Dem,Jared K. Henderson,80,1,0,36,43
Crawford,Chester,Governor,,Dem,Jared K. Henderson,40,2,0,9,29
Crawford,Cove City CSD,Governor,,Dem,Jared K. Henderson,14,0,0,5,9
Crawford,Dean Springs,Governor,,Dem,Jared K. Henderson,99,2,0,43,54
Crawford,Dora,Governor,,Dem,Jared K. Henderson,81,1,0,39,41
Crawford,Dyer,Governor,,Dem,Jared K. Henderson,96,1,0,29,66
Crawford,Eagle Crest,Governor,,Dem,Jared K. Henderson,26,0,0,11,15
Crawford,Figure Five,Governor,,Dem,Jared K. Henderson,25,0,0,15,10
Crawford,Jasper,Governor,,Dem,Jared K. Henderson,130,5,0,60,65
Crawford,Kibler,Governor,,Dem,Jared K. Henderson,83,2,0,26,55
Crawford,Lancaster,Governor,,Dem,Jared K. Henderson,55,2,1,22,30
Crawford,Lee Creek CSD,Governor,,Dem,Jared K. Henderson,23,0,0,11,12
Crawford,Locke,Governor,,Dem,Jared K. Henderson,9,1,0,2,6
Crawford,Mountain,Governor,,Dem,Jared K. Henderson,133,4,1,43,85
Crawford,Mulberry 1,Governor,,Dem,Jared K. Henderson,20,1,0,5,14
Crawford,Mulberry 2,Governor,,Dem,Jared K. Henderson,4,0,0,2,2
Crawford,Mulberry 3,Governor,,Dem,Jared K. Henderson,83,1,0,13,69
Crawford,Oliver Springs,Governor,,Dem,Jared K. Henderson,63,2,0,38,23
Crawford,Porter,Governor,,Dem,Jared K. Henderson,22,1,0,3,18
Crawford,Rudy,Governor,,Dem,Jared K. Henderson,72,0,0,27,45
Crawford,Union,Governor,,Dem,Jared K. Henderson,44,0,0,17,27
Crawford,Upper,Governor,,Dem,Jared K. Henderson,1,0,0,0,1
Crawford,Van Buren 01,Governor,,Dem,Jared K. Henderson,112,2,0,73,37
Crawford,Van Buren 02,Governor,,Dem,Jared K. Henderson,139,3,0,75,61
Crawford,Van Buren 03,Governor,,Dem,Jared K. Henderson,208,2,1,107,98
Crawford,Van Buren 04,Governor,,Dem,Jared K. Henderson,64,0,0,48,16
Crawford,Van Buren 05,Governor,,Dem,Jared K. Henderson,173,4,0,59,110
Crawford,Van Buren 06,Governor,,Dem,Jared K. Henderson,104,2,1,66,35
Crawford,Van Buren 07,Governor,,Dem,Jared K. Henderson,88,4,0,54,30
Crawford,Van Buren 08,Governor,,Dem,Jared K. Henderson,77,1,0,28,48
Crawford,Van Buren 09,Governor,,Dem,Jared K. Henderson,86,5,0,48,33
Crawford,Van Buren 10,Governor,,Dem,Jared K. Henderson,134,3,1,74,56
Crawford,Van Buren 11,Governor,,Dem,Jared K. Henderson,112,0,0,60,52
Crawford,Van Buren 12,Governor,,Dem,Jared K. Henderson,144,10,0,86,48
Crawford,Vine Prairie,Governor,,Dem,Jared K. Henderson,18,0,0,4,14
Crawford,Whitley,Governor,,Dem,Jared K. Henderson,45,0,0,11,34
Crawford,Winfrey,Governor,,Dem,Jared K. Henderson,1,0,0,0,1
Crawford,Alma 1,Governor,,Rep,Governor Asa Hutchinson,317,4,0,97,216
Crawford,Alma 2,Governor,,Rep,Governor Asa Hutchinson,142,1,0,63,78
Crawford,Alma 3,Governor,,Rep,Governor Asa Hutchinson,685,12,0,257,416
Crawford,Alma 4,Governor,,Rep,Governor Asa Hutchinson,400,3,1,163,233
Crawford,Bidville,Governor,,Rep,Governor Asa Hutchinson,12,2,0,5,5
Crawford,Cedar Creek,Governor,,Rep,Governor Asa Hutchinson,115,1,1,26,87
Crawford,Cedarville,Governor,,Rep,Governor Asa Hutchinson,558,2,0,220,336
Crawford,Chester,Governor,,Rep,Governor Asa Hutchinson,117,1,0,27,89
Crawford,Cove City CSD,Governor,,Rep,Governor Asa Hutchinson,63,0,0,20,43
Crawford,Dean Springs,Governor,,Rep,Governor Asa Hutchinson,511,4,0,151,356
Crawford,Dora,Governor,,Rep,Governor Asa Hutchinson,341,0,0,171,170
Crawford,Dyer,Governor,,Rep,Governor Asa Hutchinson,384,6,0,104,274
Crawford,Eagle Crest,Governor,,Rep,Governor Asa Hutchinson,178,1,1,85,91
Crawford,Figure Five,Governor,,Rep,Governor Asa Hutchinson,148,0,0,54,94
Crawford,Jasper,Governor,,Rep,Governor Asa Hutchinson,682,6,1,287,388
Crawford,Kibler,Governor,,Rep,Governor Asa Hutchinson,426,0,1,144,281
Crawford,Lancaster,Governor,,Rep,Governor Asa Hutchinson,277,2,2,81,192
Crawford,Lee Creek CSD,Governor,,Rep,Governor Asa Hutchinson,177,0,0,49,128
Crawford,Locke,Governor,,Rep,Governor Asa Hutchinson,81,2,0,19,60
Crawford,Mountain,Governor,,Rep,Governor Asa Hutchinson,463,7,2,129,325
Crawford,Mulberry 1,Governor,,Rep,Governor Asa Hutchinson,77,0,0,16,61
Crawford,Mulberry 2,Governor,,Rep,Governor Asa Hutchinson,42,0,0,4,38
Crawford,Mulberry 3,Governor,,Rep,Governor Asa Hutchinson,278,4,0,57,217
Crawford,Oliver Springs,Governor,,Rep,Governor Asa Hutchinson,314,2,0,116,196
Crawford,Porter,Governor,,Rep,Governor Asa Hutchinson,71,0,0,26,45
Crawford,Rudy,Governor,,Rep,Governor Asa Hutchinson,351,9,0,142,200
Crawford,Union,Governor,,Rep,Governor Asa Hutchinson,218,3,0,89,126
Crawford,Upper,Governor,,Rep,Governor Asa Hutchinson,24,2,0,4,18
Crawford,Van Buren 01,Governor,,Rep,Governor Asa Hutchinson,367,3,2,254,108
Crawford,Van Buren 02,Governor,,Rep,Governor Asa Hutchinson,500,7,2,218,273
Crawford,Van Buren 03,Governor,,Rep,Governor Asa Hutchinson,938,8,1,487,442
Crawford,Van Buren 04,Governor,,Rep,Governor Asa Hutchinson,142,4,1,91,46
Crawford,Van Buren 05,Governor,,Rep,Governor Asa Hutchinson,618,9,1,256,352
Crawford,Van Buren 06,Governor,,Rep,Governor Asa Hutchinson,354,12,0,203,139
Crawford,Van Buren 07,Governor,,Rep,Governor Asa Hutchinson,247,4,0,139,104
Crawford,Van Buren 08,Governor,,Rep,Governor Asa Hutchinson,309,5,0,152,152
Crawford,Van Buren 09,Governor,,Rep,Governor Asa Hutchinson,403,24,0,189,190
Crawford,Van Buren 10,Governor,,Rep,Governor Asa Hutchinson,410,1,0,212,197
Crawford,Van Buren 11,Governor,,Rep,Governor Asa Hutchinson,433,6,1,209,217
Crawford,Van Buren 12,Governor,,Rep,Governor Asa Hutchinson,650,33,1,358,258
Crawford,Vine Prairie,Governor,,Rep,Governor Asa Hutchinson,139,4,0,34,101
Crawford,Whitley,Governor,,Rep,Governor Asa Hutchinson,219,1,0,86,132
Crawford,Winfrey,Governor,,Rep,Governor Asa Hutchinson,19,0,0,9,10
Crawford,Alma 1,Governor,,Lib,Mark West,17,0,0,4,13
Crawford,Alma 2,Governor,,Lib,Mark West,7,0,0,3,4
Crawford,Alma 3,Governor,,Lib,Mark West,24,0,0,4,20
Crawford,Alma 4,Governor,,Lib,Mark West,16,0,1,3,12
Crawford,Bidville,Governor,,Lib,Mark West,3,0,0,1,2
Crawford,Cedar Creek,Governor,,Lib,Mark West,3,0,0,0,3
Crawford,Cedarville,Governor,,Lib,Mark West,18,0,0,5,13
Crawford,Chester,Governor,,Lib,Mark West,13,0,0,1,12
Crawford,Cove City CSD,Governor,,Lib,Mark West,1,0,0,1,0
Crawford,Dean Springs,Governor,,Lib,Mark West,22,0,0,7,15
Crawford,Dora,Governor,,Lib,Mark West,10,0,0,1,9
Crawford,Dyer,Governor,,Lib,Mark West,22,0,0,9,13
Crawford,Eagle Crest,Governor,,Lib,Mark West,5,0,0,1,4
Crawford,Figure Five,Governor,,Lib,Mark West,5,0,0,1,4
Crawford,Jasper,Governor,,Lib,Mark West,30,0,0,12,18
Crawford,Kibler,Governor,,Lib,Mark West,11,0,0,1,10
Crawford,Lancaster,Governor,,Lib,Mark West,12,0,0,4,8
Crawford,Lee Creek CSD,Governor,,Lib,Mark West,7,0,0,4,3
Crawford,Locke,Governor,,Lib,Mark West,5,0,0,1,4
Crawford,Mountain,Governor,,Lib,Mark West,23,0,0,7,16
Crawford,Mulberry 1,Governor,,Lib,Mark West,2,0,0,0,2
Crawford,Mulberry 2,Governor,,Lib,Mark West,1,0,0,1,0
Crawford,Mulberry 3,Governor,,Lib,Mark West,10,0,0,2,8
Crawford,Oliver Springs,Governor,,Lib,Mark West,7,0,0,5,2
Crawford,Porter,Governor,,Lib,Mark West,4,0,0,1,3
Crawford,Rudy,Governor,,Lib,Mark West,13,0,0,4,9
Crawford,Union,Governor,,Lib,Mark West,10,0,0,3,7
Crawford,Upper,Governor,,Lib,Mark West,1,0,0,0,1
Crawford,Van Buren 01,Governor,,Lib,Mark West,9,0,0,3,6
Crawford,Van Buren 02,Governor,,Lib,Mark West,26,0,0,9,17
Crawford,Van Buren 03,Governor,,Lib,Mark West,45,0,1,14,30
Crawford,Van Buren 04,Governor,,Lib,Mark West,10,0,0,9,1
Crawford,Van Buren 05,Governor,,Lib,Mark West,31,0,0,16,15
Crawford,Van Buren 06,Governor,,Lib,Mark West,20,1,0,7,12
Crawford,Van Buren 07,Governor,,Lib,Mark West,14,0,0,9,5
Crawford,Van Buren 08,Governor,,Lib,Mark West,3,0,0,0,3
Crawford,Van Buren 09,Governor,,Lib,Mark West,9,0,0,2,7
Crawford,Van Buren 10,Governor,,Lib,Mark West,20,0,0,6,14
Crawford,Van Buren 11,Governor,,Lib,Mark West,12,0,0,8,4
Crawford,Van Buren 12,Governor,,Lib,Mark West,25,0,0,12,13
Crawford,Vine Prairie,Governor,,Lib,Mark West,0,0,0,0,0
Crawford,Whitley,Governor,,Lib,Mark West,14,0,0,5,9
Crawford,Winfrey,Governor,,Lib,Mark West,0,0,0,0,0
Crawford,Alma 1,Lieutenant Governor,,Lib,Frank Gilbert,10,0,0,4,6
Crawford,Alma 2,Lieutenant Governor,,Lib,Frank Gilbert,8,0,0,1,7
Crawford,Alma 3,Lieutenant Governor,,Lib,Frank Gilbert,21,0,0,2,19
Crawford,Alma 4,Lieutenant Governor,,Lib,Frank Gilbert,13,0,0,5,8
Crawford,Bidville,Lieutenant Governor,,Lib,Frank Gilbert,1,0,0,1,0
Crawford,Cedar Creek,Lieutenant Governor,,Lib,Frank Gilbert,3,0,0,1,2
Crawford,Cedarville,Lieutenant Governor,,Lib,Frank Gilbert,15,0,0,4,11
Crawford,Chester,Lieutenant Governor,,Lib,Frank Gilbert,8,0,0,2,6
Crawford,Cove City CSD,Lieutenant Governor,,Lib,Frank Gilbert,2,0,0,1,1
Crawford,Dean Springs,Lieutenant Governor,,Lib,Frank Gilbert,14,0,0,4,10
Crawford,Dora,Lieutenant Governor,,Lib,Frank Gilbert,8,0,0,2,6
Crawford,Dyer,Lieutenant Governor,,Lib,Frank Gilbert,14,0,0,5,9
Crawford,Eagle Crest,Lieutenant Governor,,Lib,Frank Gilbert,5,0,0,2,3
Crawford,Figure Five,Lieutenant Governor,,Lib,Frank Gilbert,2,0,0,0,2
Crawford,Jasper,Lieutenant Governor,,Lib,Frank Gilbert,25,0,0,13,12
Crawford,Kibler,Lieutenant Governor,,Lib,Frank Gilbert,16,0,0,3,13
Crawford,Lancaster,Lieutenant Governor,,Lib,Frank Gilbert,14,0,0,4,10
Crawford,Lee Creek CSD,Lieutenant Governor,,Lib,Frank Gilbert,9,0,0,5,4
Crawford,Locke,Lieutenant Governor,,Lib,Frank Gilbert,0,0,0,0,0
Crawford,Mountain,Lieutenant Governor,,Lib,Frank Gilbert,21,0,1,8,12
Crawford,Mulberry 1,Lieutenant Governor,,Lib,Frank Gilbert,3,0,0,0,3
Crawford,Mulberry 2,Lieutenant Governor,,Lib,Frank Gilbert,3,0,0,1,2
Crawford,Mulberry 3,Lieutenant Governor,,Lib,Frank Gilbert,12,0,0,2,10
Crawford,Oliver Springs,Lieutenant Governor,,Lib,Frank Gilbert,9,0,0,5,4
Crawford,Porter,Lieutenant Governor,,Lib,Frank Gilbert,2,0,0,1,1
Crawford,Rudy,Lieutenant Governor,,Lib,Frank Gilbert,9,0,0,4,5
Crawford,Union,Lieutenant Governor,,Lib,Frank Gilbert,11,0,0,3,8
Crawford,Upper,Lieutenant Governor,,Lib,Frank Gilbert,0,0,0,0,0
Crawford,Van Buren 01,Lieutenant Governor,,Lib,Frank Gilbert,10,0,0,5,5
Crawford,Van Buren 02,Lieutenant Governor,,Lib,Frank Gilbert,17,0,0,8,9
Crawford,Van Buren 03,Lieutenant Governor,,Lib,Frank Gilbert,39,0,1,13,25
Crawford,Van Buren 04,Lieutenant Governor,,Lib,Frank Gilbert,10,0,0,9,1
Crawford,Van Buren 05,Lieutenant Governor,,Lib,Frank Gilbert,29,0,0,18,11
