county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee,provisional,hand_count
Arkansas,Brewer,State Senate,25,DEM,Stephanie Flowers,8,4,4,0,0,0
Arkansas,Brewer,State Senate,25,LIB,David E. Dinwiddie,5,0,5,0,0,0
Arkansas,Brewer,U.S. House,1,DEM,Scott Ellington,7,4,3,0,0,0
Arkansas,Brewer,U.S. House,1,REP,Rick Crawford,9,0,9,0,0,0
Arkansas,Brewer,President,,DEM,Barack Obama / Joe Biden,4,3,1,0,0,0
Arkansas,Brewer,President,,REP,Mitt Romney / Paul Ryan,12,1,11,0,0,0
Arkansas,Chester,State Senate,25,DEM,Stephanie Flowers,54,37,16,1,0,0
Arkansas,Chester,State Senate,25,LIB,David E. Dinwiddie,22,13,9,0,0,0
Arkansas,Chester,U.S. House,1,DEM,Scott Ellington,20,16,3,1,0,0
Arkansas,Chester,U.S. House,1,GRN,Jacob Holloway,2,2,0,0,0,0
Arkansas,Chester,U.S. House,1,LIB,Jessica Paxton,2,1,1,0,0,0
Arkansas,Chester,U.S. House,1,REP,Rick Crawford,64,37,27,0,0,0
Arkansas,Chester,President,,DEM,Barack Obama / Joe Biden,11,10,1,0,0,0
Arkansas,Chester,President,,LIB,Gary Johnson / James P. Gray,1,1,0,0,0,0
Arkansas,Chester,President,,REP,Mitt Romney / Paul Ryan,77,46,31,0,0,0
Arkansas,Crockett,State Senate,28,DEM,Tiffany Rogers,30,23,7,0,0,0
Arkansas,Crockett,State Senate,28,REP,Jonathan Dismang,15,9,5,1,0,0
Arkansas,Crockett,U.S. House,1,DEM,Scott Ellington,16,11,5,0,0,0
Arkansas,Crockett,U.S. House,1,GRN,Jacob Holloway,1,1,0,0,0,0
Arkansas,Crockett,U.S. House,1,LIB,Jessica Paxton,1,1,0,0,0,0
Arkansas,Crockett,U.S. House,1,REP,Rick Crawford,27,18,8,1,0,0
Arkansas,Crockett,President,,DEM,Barack Obama / Joe Biden,13,10,3,0,0,0
Arkansas,Crockett,President,,GRN,Jill Stein / Cheri Honkala,2,1,1,0,0,0
Arkansas,Crockett,President,,LIB,Gary Johnson / James P. Gray,1,0,1,0,0,0
Arkansas,Crockett,President,,REP,Mitt Romney / Paul Ryan,30,22,7,1,0,0
Arkansas,Dewitt Ward 1,State Representative,13,DEM,David Hillman,215,104,106,5,0,0
Arkansas,Dewitt Ward 1,State Representative,13,REP,Garland Derden Jr,27,13,14,0,0,0
Arkansas,Dewitt Ward 1,State Senate,28,DEM,Tiffany Rogers,211,103,104,4,0,0
Arkansas,Dewitt Ward 1,State Senate,28,REP,Jonathan Dismang,32,14,18,0,0,0
Arkansas,Dewitt Ward 1,U.S. House,1,DEM,Scott Ellington,175,91,82,2,0,0
Arkansas,Dewitt Ward 1,U.S. House,1,GRN,Jacob Holloway,10,3,7,0,0,0
Arkansas,Dewitt Ward 1,U.S. House,1,LIB,Jessica Paxton,12,3,9,0,0,0
Arkansas,Dewitt Ward 1,U.S. House,1,REP,Rick Crawford,44,20,22,2,0,0
Arkansas,Dewitt Ward 1,President,,DEM,Barack Obama / Joe Biden,201,97,102,2,0,0
Arkansas,Dewitt Ward 1,President,,GRN,Jill Stein / Cheri Honkala,1,1,0,0,0,0
Arkansas,Dewitt Ward 1,President,,LIB,Gary Johnson / James P. Gray,4,2,2,0,0,0
Arkansas,Dewitt Ward 1,President,,REP,Mitt Romney / Paul Ryan,50,21,26,3,0,0
Arkansas,Dewitt Ward 2,State Representative,13,DEM,David Hillman,189,68,114,6,1,0
Arkansas,Dewitt Ward 2,State Representative,13,REP,Garland Derden Jr,114,37,70,7,0,0
Arkansas,Dewitt Ward 2,State Senate,28,DEM,Tiffany Rogers,181,68,106,6,1,0
Arkansas,Dewitt Ward 2,State Senate,28,REP,Jonathan Dismang,122,38,77,7,0,0
Arkansas,Dewitt Ward 2,U.S. House,1,DEM,Scott Ellington,105,36,64,4,1,0
Arkansas,Dewitt Ward 2,U.S. House,1,GRN,Jacob Holloway,9,4,5,0,0,0
Arkansas,Dewitt Ward 2,U.S. House,1,LIB,Jessica Paxton,8,5,3,0,0,0
Arkansas,Dewitt Ward 2,U.S. House,1,REP,Rick Crawford,177,59,109,9,0,0
Arkansas,Dewitt Ward 2,President,,DEM,Barack Obama / Joe Biden,95,39,51,4,1,0
Arkansas,Dewitt Ward 2,President,,GRN,Jill Stein / Cheri Honkala,3,2,1,0,0,0
Arkansas,Dewitt Ward 2,President,,LIB,Gary Johnson / James P. Gray,5,1,4,0,0,0
Arkansas,Dewitt Ward 2,President,,REP,Mitt Romney / Paul Ryan,201,66,126,9,0,0
Arkansas,Dewitt Ward 2,President,,SOC,Peta Lindsay / Yari Osorio,1,1,0,0,0,0
Arkansas,Dewitt Ward 3,State Representative,13,DEM,David Hillman,207,85,112,10,0,0
Arkansas,Dewitt Ward 3,State Representative,13,REP,Garland Derden Jr,177,75,99,3,0,0
Arkansas,Dewitt Ward 3,State Senate,28,DEM,Tiffany Rogers,225,100,113,12,0,0
Arkansas,Dewitt Ward 3,State Senate,28,REP,Jonathan Dismang,164,63,100,1,0,0
Arkansas,Dewitt Ward 3,U.S. House,1,DEM,Scott Ellington,115,44,63,8,0,0
Arkansas,Dewitt Ward 3,U.S. House,1,GRN,Jacob Holloway,7,1,6,0,0,0
Arkansas,Dewitt Ward 3,U.S. House,1,LIB,Jessica Paxton,10,4,6,0,0,0
Arkansas,Dewitt Ward 3,U.S. House,1,REP,Rick Crawford,251,113,134,4,0,0
Arkansas,Dewitt Ward 3,President,,DEM,Barack Obama / Joe Biden,103,32,62,9,0,0
Arkansas,Dewitt Ward 3,President,,GRN,Jill Stein / Cheri Honkala,6,2,4,0,0,0
Arkansas,Dewitt Ward 3,President,,LIB,Gary Johnson / James P. Gray,4,2,2,0,0,0
Arkansas,Dewitt Ward 3,President,,REP,Mitt Romney / Paul Ryan,275,126,146,3,0,0
Arkansas,Garland,State Senate,28,DEM,Tiffany Rogers,40,18,22,0,0,0
Arkansas,Garland,State Senate,28,REP,Jonathan Dismang,22,12,8,2,0,0
Arkansas,Garland,U.S. House,1,DEM,Scott Ellington,13,9,4,0,0,0
Arkansas,Garland,U.S. House,1,LIB,Jessica Paxton,1,0,1,0,0,0
Arkansas,Garland,U.S. House,1,REP,Rick Crawford,47,20,25,2,0,0
Arkansas,Garland,President,,DEM,Barack Obama / Joe Biden,11,6,5,0,0,0
Arkansas,Garland,President,,REP,Mitt Romney / Paul Ryan,49,23,24,2,0,0
Arkansas,Garland,President,,SOC,Peta Lindsay / Yari Osorio,1,0,1,0,0,0
Arkansas,Gillett Ward 1,State Senate,25,DEM,Stephanie Flowers,51,42,9,0,0,0
Arkansas,Gillett Ward 1,State Senate,25,LIB,David E. Dinwiddie,14,14,0,0,0,0
Arkansas,Gillett Ward 1,U.S. House,1,DEM,Scott Ellington,33,28,4,1,0,0
Arkansas,Gillett Ward 1,U.S. House,1,LIB,Jessica Paxton,2,0,2,0,0,0
Arkansas,Gillett Ward 1,U.S. House,1,REP,Rick Crawford,36,32,4,0,0,0
Arkansas,Gillett Ward 1,President,,DEM,Barack Obama / Joe Biden,19,15,4,0,0,0
Arkansas,Gillett Ward 1,President,,GRN,Jill Stein / Cheri Honkala,1,1,0,0,0,0
Arkansas,Gillett Ward 1,President,,LIB,Gary Johnson / James P. Gray,2,1,1,0,0,0
Arkansas,Gillett Ward 1,President,,REP,Mitt Romney / Paul Ryan,49,42,6,1,0,0
Arkansas,Gillett Ward 2,State Senate,25,DEM,Stephanie Flowers,76,57,17,2,0,0
Arkansas,Gillett Ward 2,State Senate,25,LIB,David E. Dinwiddie,29,19,9,1,0,0
Arkansas,Gillett Ward 2,U.S. House,1,DEM,Scott Ellington,37,26,11,0,0,0
Arkansas,Gillett Ward 2,U.S. House,1,GRN,Jacob Holloway,2,2,0,0,0,0
Arkansas,Gillett Ward 2,U.S. House,1,LIB,Jessica Paxton,4,3,1,0,0,0
Arkansas,Gillett Ward 2,U.S. House,1,REP,Rick Crawford,67,50,14,3,0,0
Arkansas,Gillett Ward 2,President,,DEM,Barack Obama / Joe Biden,25,19,6,0,0,0
Arkansas,Gillett Ward 2,President,,GRN,Jill Stein / Cheri Honkala,1,0,1,0,0,0
Arkansas,Gillett Ward 2,President,,LIB,Gary Johnson / James P. Gray,3,3,0,0,0,0
Arkansas,Gillett Ward 2,President,,REP,Mitt Romney / Paul Ryan,81,59,19,3,0,0
Arkansas,Gillett Ward 3,State Senate,25,DEM,Stephanie Flowers,53,35,15,3,0,0
Arkansas,Gillett Ward 3,State Senate,25,LIB,David E. Dinwiddie,12,7,5,0,0,0
Arkansas,Gillett Ward 3,U.S. House,1,DEM,Scott Ellington,35,21,11,3,0,0
Arkansas,Gillett Ward 3,U.S. House,1,GRN,Jacob Holloway,4,3,1,0,0,0
Arkansas,Gillett Ward 3,U.S. House,1,LIB,Jessica Paxton,3,2,1,0,0,0
Arkansas,Gillett Ward 3,U.S. House,1,REP,Rick Crawford,28,19,9,0,0,0
Arkansas,Gillett Ward 3,President,,DEM,Barack Obama / Joe Biden,37,24,10,3,0,0
Arkansas,Gillett Ward 3,President,,GRN,Jill Stein / Cheri Honkala,2,1,1,0,0,0
Arkansas,Gillett Ward 3,President,,LIB,Gary Johnson / James P. Gray,3,3,0,0,0,0
Arkansas,Gillett Ward 3,President,,REP,Mitt Romney / Paul Ryan,31,20,11,0,0,0
Arkansas,Gum Pond,State Representative,13,DEM,David Hillman,40,16,23,1,0,0
Arkansas,Gum Pond,State Representative,13,REP,Garland Derden Jr,99,31,65,3,0,0
Arkansas,Gum Pond,State Senate,28,DEM,Tiffany Rogers,69,25,41,3,0,0
Arkansas,Gum Pond,State Senate,28,REP,Jonathan Dismang,68,22,45,1,0,0
Arkansas,Gum Pond,U.S. House,1,DEM,Scott Ellington,30,8,20,2,0,0
Arkansas,Gum Pond,U.S. House,1,GRN,Jacob Holloway,4,2,2,0,0,0
Arkansas,Gum Pond,U.S. House,1,LIB,Jessica Paxton,1,0,1,0,0,0
Arkansas,Gum Pond,U.S. House,1,REP,Rick Crawford,102,36,64,2,0,0
Arkansas,Gum Pond,President,,DEM,Barack Obama / Joe Biden,25,6,18,1,0,0
Arkansas,Gum Pond,President,,GRN,Jill Stein / Cheri Honkala,1,1,0,0,0,0
Arkansas,Gum Pond,President,,LIB,Gary Johnson / James P. Gray,4,1,3,0,0,0
Arkansas,Gum Pond,President,,REP,Mitt Romney / Paul Ryan,110,40,67,3,0,0
Arkansas,Henton,State Senate,25,DEM,Stephanie Flowers,70,51,17,2,0,0
Arkansas,Henton,State Senate,25,LIB,David E. Dinwiddie,25,17,6,2,0,0
Arkansas,Henton,U.S. House,1,DEM,Scott Ellington,35,27,5,3,0,0
Arkansas,Henton,U.S. House,1,GRN,Jacob Holloway,2,1,1,0,0,0
Arkansas,Henton,U.S. House,1,LIB,Jessica Paxton,1,1,0,0,0,0
Arkansas,Henton,U.S. House,1,REP,Rick Crawford,65,45,19,1,0,0
Arkansas,Henton,President,,DEM,Barack Obama / Joe Biden,27,21,4,2,0,0
Arkansas,Henton,President,,GRN,Jill Stein / Cheri Honkala,1,1,0,0,0,0
Arkansas,Henton,President,,LIB,Gary Johnson / James P. Gray,1,0,1,0,0,0
Arkansas,Henton,President,,REP,Mitt Romney / Paul Ryan,77,55,20,2,0,0
Arkansas,Humphrey Ward 1,State Senate,25,DEM,Stephanie Flowers,66,58,6,2,0,0
Arkansas,Humphrey Ward 1,State Senate,25,LIB,David E. Dinwiddie,12,11,1,0,0,0
Arkansas,Humphrey Ward 1,U.S. House,1,DEM,Scott Ellington,51,43,6,2,0,0
Arkansas,Humphrey Ward 1,U.S. House,1,GRN,Jacob Holloway,4,3,1,0,0,0
Arkansas,Humphrey Ward 1,U.S. House,1,LIB,Jessica Paxton,4,4,0,0,0,0
Arkansas,Humphrey Ward 1,U.S. House,1,REP,Rick Crawford,20,20,0,0,0,0
Arkansas,Humphrey Ward 1,President,,DEM,Barack Obama / Joe Biden,65,56,7,2,0,0
Arkansas,Humphrey Ward 1,President,,REP,Mitt Romney / Paul Ryan,19,18,1,0,0,0
Arkansas,Humphrey Ward 3,State Senate,25,DEM,Stephanie Flowers,21,18,2,1,0,0
Arkansas,Humphrey Ward 3,State Senate,25,LIB,David E. Dinwiddie,2,1,1,0,0,0
Arkansas,Humphrey Ward 3,U.S. House,1,DEM,Scott Ellington,11,9,1,1,0,0
Arkansas,Humphrey Ward 3,U.S. House,1,LIB,Jessica Paxton,1,1,0,0,0,0
Arkansas,Humphrey Ward 3,U.S. House,1,REP,Rick Crawford,14,11,3,0,0,0
Arkansas,Humphrey Ward 3,President,,DEM,Barack Obama / Joe Biden,13,11,1,1,0,0
Arkansas,Humphrey Ward 3,President,,REP,Mitt Romney / Paul Ryan,16,13,3,0,0,0
Arkansas,Keaton,State Representative,13,DEM,David Hillman,153,56,88,9,0,0
Arkansas,Keaton,State Representative,13,REP,Garland Derden Jr,130,64,63,3,0,0
Arkansas,Keaton,State Senate,28,DEM,Tiffany Rogers,179,77,95,7,0,0
Arkansas,Keaton,State Senate,28,REP,Jonathan Dismang,107,43,60,4,0,0
Arkansas,Keaton,U.S. House,1,DEM,Scott Ellington,117,43,69,5,0,0
Arkansas,Keaton,U.S. House,1,GRN,Jacob Holloway,9,6,2,1,0,0
Arkansas,Keaton,U.S. House,1,LIB,Jessica Paxton,4,1,3,0,0,0
Arkansas,Keaton,U.S. House,1,REP,Rick Crawford,154,71,78,5,0,0
Arkansas,Keaton,President,,DEM,Barack Obama / Joe Biden,112,39,65,8,0,0
Arkansas,Keaton,President,,GRN,Jill Stein / Cheri Honkala,3,2,1,0,0,0
Arkansas,Keaton,President,,LIB,Gary Johnson / James P. Gray,7,4,3,0,0,0
Arkansas,Keaton,President,,REP,Mitt Romney / Paul Ryan,171,80,86,5,0,0
Arkansas,LaGrue,State Representative,13,DEM,David Hillman,212,85,124,3,0,0
Arkansas,LaGrue,State Representative,13,REP,Garland Derden Jr,160,44,111,5,0,0
Arkansas,LaGrue,State Senate,25,DEM,Stephanie Flowers,12,6,6,0,0,0
Arkansas,LaGrue,State Senate,25,LIB,David E. Dinwiddie,2,0,2,0,0,0
Arkansas,LaGrue,State Senate,28,DEM,Tiffany Rogers,178,75,102,1,0,0
Arkansas,LaGrue,State Senate,28,REP,Jonathan Dismang,178,50,122,6,0,0
Arkansas,LaGrue,U.S. House,1,DEM,Scott Ellington,100,46,54,0,0,0
Arkansas,LaGrue,U.S. House,1,GRN,Jacob Holloway,6,3,3,0,0,0
Arkansas,LaGrue,U.S. House,1,LIB,Jessica Paxton,4,3,1,0,0,0
Arkansas,LaGrue,U.S. House,1,REP,Rick Crawford,262,79,175,8,0,0
Arkansas,LaGrue,President,,DEM,Barack Obama / Joe Biden,72,32,39,1,0,0
Arkansas,LaGrue,President,,GRN,Jill Stein / Cheri Honkala,1,1,0,0,0,0
Arkansas,LaGrue,President,,LIB,Gary Johnson / James P. Gray,6,2,4,0,0,0
Arkansas,LaGrue,President,,REP,Mitt Romney / Paul Ryan,296,97,193,6,0,0
Arkansas,McFall,State Representative,13,DEM,David Hillman,17,3,14,0,0,0
Arkansas,McFall,State Representative,13,REP,Garland Derden Jr,20,3,16,1,0,0
Arkansas,McFall,State Senate,28,DEM,Tiffany Rogers,23,4,19,0,0,0
Arkansas,McFall,State Senate,28,REP,Jonathan Dismang,14,2,11,1,0,0
Arkansas,McFall,U.S. House,1,DEM,Scott Ellington,12,2,10,0,0,0
Arkansas,McFall,U.S. House,1,GRN,Jacob Holloway,1,0,1,0,0,0
Arkansas,McFall,U.S. House,1,LIB,Jessica Paxton,2,1,1,0,0,0
Arkansas,McFall,U.S. House,1,REP,Rick Crawford,21,3,17,1,0,0
Arkansas,McFall,President,,DEM,Barack Obama / Joe Biden,11,2,9,0,0,0
Arkansas,McFall,President,,LIB,Gary Johnson / James P. Gray,2,0,2,0,0,0
Arkansas,McFall,President,,REP,Mitt Romney / Paul Ryan,24,4,19,1,0,0
Arkansas,Mill Bayou,State Representative,13,DEM,David Hillman,49,30,14,5,0,0
Arkansas,Mill Bayou,State Representative,13,REP,Garland Derden Jr,48,31,15,2,0,0
Arkansas,Mill Bayou,State Senate,28,DEM,Tiffany Rogers,65,40,21,4,0,0
Arkansas,Mill Bayou,State Senate,28,REP,Jonathan Dismang,31,21,7,3,0,0
Arkansas,Mill Bayou,U.S. House,1,DEM,Scott Ellington,24,13,7,4,0,0
Arkansas,Mill Bayou,U.S. House,1,GRN,Jacob Holloway,1,1,0,0,0,0
Arkansas,Mill Bayou,U.S. House,1,LIB,Jessica Paxton,2,1,0,1,0,0
Arkansas,Mill Bayou,U.S. House,1,REP,Rick Crawford,70,46,22,2,0,0
Arkansas,Mill Bayou,President,,DEM,Barack Obama / Joe Biden,16,8,3,5,0,0
Arkansas,Mill Bayou,President,,GRN,Jill Stein / Cheri Honkala,2,2,0,0,0,0
Arkansas,Mill Bayou,President,,LIB,Gary Johnson / James P. Gray,1,1,0,0,0,0
Arkansas,Mill Bayou,President,,REP,Mitt Romney / Paul Ryan,78,50,26,2,0,0
Arkansas,Morris,State Representative,13,DEM,David Hillman,4,0,3,1,0,0
Arkansas,Morris,State Representative,13,REP,Garland Derden Jr,6,3,3,0,0,0
Arkansas,Morris,State Senate,28,DEM,Tiffany Rogers,39,15,23,1,0,0
Arkansas,Morris,State Senate,28,REP,Jonathan Dismang,33,11,22,0,0,0
Arkansas,Morris,U.S. House,1,DEM,Scott Ellington,13,5,7,1,0,0
Arkansas,Morris,U.S. House,1,REP,Rick Crawford,59,21,38,0,0,0
Arkansas,Morris,President,,DEM,Barack Obama / Joe Biden,11,5,5,1,0,0
Arkansas,Morris,President,,LIB,Gary Johnson / James P. Gray,2,1,1,0,0,0
Arkansas,Morris,President,,REP,Mitt Romney / Paul Ryan,60,20,40,0,0,0
Arkansas,Prairie,State Senate,28,DEM,Tiffany Rogers,87,49,38,0,0,0
Arkansas,Prairie,State Senate,28,REP,Jonathan Dismang,63,26,36,1,0,0
Arkansas,Prairie,U.S. House,1,DEM,Scott Ellington,52,30,22,0,0,0
Arkansas,Prairie,U.S. House,1,GRN,Jacob Holloway,3,3,0,0,0,0
Arkansas,Prairie,U.S. House,1,LIB,Jessica Paxton,4,2,2,0,0,0
Arkansas,Prairie,U.S. House,1,REP,Rick Crawford,94,42,51,1,0,0
Arkansas,Prairie,President,,DEM,Barack Obama / Joe Biden,42,22,20,0,0,0
Arkansas,Prairie,President,,GRN,Jill Stein / Cheri Honkala,3,2,1,0,0,0
Arkansas,Prairie,President,,LIB,Gary Johnson / James P. Gray,5,4,1,0,0,0
Arkansas,Prairie,President,,REP,Mitt Romney / Paul Ryan,104,49,54,1,0,0
Arkansas,Prairie,President,,SOC,Peta Lindsay / Yari Osorio,1,1,0,0,0,0
Arkansas,Pt. Deluce,State Representative,13,DEM,David Hillman,55,17,38,0,0,0
Arkansas,Pt. Deluce,State Representative,13,REP,Garland Derden Jr,35,15,20,0,0,0
Arkansas,Pt. Deluce,State Senate,25,DEM,Stephanie Flowers,57,19,38,0,0,0
Arkansas,Pt. Deluce,State Senate,25,LIB,David E. Dinwiddie,19,7,12,0,0,0
Arkansas,Pt. Deluce,U.S. House,1,DEM,Scott Ellington,22,9,13,0,0,0
Arkansas,Pt. Deluce,U.S. House,1,GRN,Jacob Holloway,2,0,2,0,0,0
Arkansas,Pt. Deluce,U.S. House,1,LIB,Jessica Paxton,1,0,1,0,0,0
Arkansas,Pt. Deluce,U.S. House,1,REP,Rick Crawford,63,22,41,0,0,0
Arkansas,Pt. Deluce,President,,DEM,Barack Obama / Joe Biden,10,2,8,0,0,0
Arkansas,Pt. Deluce,President,,LIB,Gary Johnson / James P. Gray,1,1,0,0,0,0
Arkansas,Pt. Deluce,President,,REP,Mitt Romney / Paul Ryan,77,28,49,0,0,0
Arkansas,St. Charles,State Senate,28,DEM,Tiffany Rogers,47,35,11,1,0,0
Arkansas,St. Charles,State Senate,28,REP,Jonathan Dismang,37,29,8,0,0,0
Arkansas,St. Charles,U.S. House,1,DEM,Scott Ellington,22,15,7,0,0,0
Arkansas,St. Charles,U.S. House,1,LIB,Jessica Paxton,7,7,0,0,0,0
Arkansas,St. Charles,U.S. House,1,REP,Rick Crawford,56,43,12,1,0,0
Arkansas,St. Charles,President,,DEM,Barack Obama / Joe Biden,23,17,5,1,0,0
Arkansas,St. Charles,President,,GRN,Jill Stein / Cheri Honkala,1,1,0,0,0,0
Arkansas,St. Charles,President,,LIB,Gary Johnson / James P. Gray,5,5,0,0,0,0
Arkansas,St. Charles,President,,REP,Mitt Romney / Paul Ryan,58,44,14,0,0,0
Arkansas,Stanley,State Senate,25,DEM,Stephanie Flowers,11,8,3,0,0,0
Arkansas,Stanley,State Senate,25,LIB,David E. Dinwiddie,1,1,0,0,0,0
Arkansas,Stanley,U.S. House,1,DEM,Scott Ellington,5,3,2,0,0,0
Arkansas,Stanley,U.S. House,1,REP,Rick Crawford,7,6,1,0,0,0
Arkansas,Stanley,President,,DEM,Barack Obama / Joe Biden,6,3,3,0,0,0
Arkansas,Stanley,President,,REP,Mitt Romney / Paul Ryan,6,6,0,0,0,0
Arkansas,Stuttgart Ward 1,State Representative,13,DEM,David Hillman,675,205,461,9,0,0
Arkansas,Stuttgart Ward 1,State Representative,13,REP,Garland Derden Jr,184,66,115,3,0,0
Arkansas,Stuttgart Ward 1,State Senate,28,DEM,Tiffany Rogers,730,228,495,7,0,0
Arkansas,Stuttgart Ward 1,State Senate,28,REP,Jonathan Dismang,133,44,86,3,0,0
Arkansas,Stuttgart Ward 1,U.S. House,1,DEM,Scott Ellington,622,195,422,5,0,0
Arkansas,Stuttgart Ward 1,U.S. House,1,GRN,Jacob Holloway,29,5,22,2,0,0
Arkansas,Stuttgart Ward 1,U.S. House,1,LIB,Jessica Paxton,39,18,20,1,0,0
Arkansas,Stuttgart Ward 1,U.S. House,1,REP,Rick Crawford,161,48,109,4,0,0
Arkansas,Stuttgart Ward 1,President,,DEM,Barack Obama / Joe Biden,740,237,497,6,0,0
Arkansas,Stuttgart Ward 1,President,,GRN,Jill Stein / Cheri Honkala,4,0,4,0,0,0
Arkansas,Stuttgart Ward 1,President,,LIB,Gary Johnson / James P. Gray,8,2,6,0,0,0
Arkansas,Stuttgart Ward 1,President,,REP,Mitt Romney / Paul Ryan,152,41,105,6,0,0
Arkansas,Stuttgart Ward 2,State Representative,13,DEM,David Hillman,502,155,333,14,0,0
Arkansas,Stuttgart Ward 2,State Representative,13,REP,Garland Derden Jr,638,173,435,29,1,0
Arkansas,Stuttgart Ward 2,State Senate,28,DEM,Tiffany Rogers,698,206,468,24,0,0
Arkansas,Stuttgart Ward 2,State Senate,28,REP,Jonathan Dismang,436,119,296,20,1,0
Arkansas,Stuttgart Ward 2,U.S. House,1,DEM,Scott Ellington,381,114,253,14,0,0
Arkansas,Stuttgart Ward 2,U.S. House,1,GRN,Jacob Holloway,17,7,10,0,0,0
Arkansas,Stuttgart Ward 2,U.S. House,1,LIB,Jessica Paxton,20,6,14,0,0,0
Arkansas,Stuttgart Ward 2,U.S. House,1,REP,Rick Crawford,703,196,477,29,1,0
Arkansas,Stuttgart Ward 2,President,,DEM,Barack Obama / Joe Biden,364,109,244,11,0,0
Arkansas,Stuttgart Ward 2,President,,GRN,Jill Stein / Cheri Honkala,6,2,4,0,0,0
Arkansas,Stuttgart Ward 2,President,,LIB,Gary Johnson / James P. Gray,6,1,5,0,0,0
Arkansas,Stuttgart Ward 2,President,,REP,Mitt Romney / Paul Ryan,780,222,523,34,1,0
Arkansas,Stuttgart Ward 3,State Representative,13,DEM,David Hillman,440,136,288,16,0,0
Arkansas,Stuttgart Ward 3,State Representative,13,REP,Garland Derden Jr,695,216,460,18,1,0
Arkansas,Stuttgart Ward 3,State Senate,28,DEM,Tiffany Rogers,713,233,455,25,0,0
Arkansas,Stuttgart Ward 3,State Senate,28,REP,Jonathan Dismang,419,118,291,9,1,0
Arkansas,Stuttgart Ward 3,U.S. House,1,DEM,Scott Ellington,370,119,235,16,0,0
Arkansas,Stuttgart Ward 3,U.S. House,1,GRN,Jacob Holloway,21,4,17,0,0,0
Arkansas,Stuttgart Ward 3,U.S. House,1,LIB,Jessica Paxton,19,9,10,0,0,0
Arkansas,Stuttgart Ward 3,U.S. House,1,REP,Rick Crawford,714,216,481,16,1,0
