county,precinct,office,district,party,candidate,votes,absentee,provisional,early_vote,election_day
Craighead,Precinct 1,U.S. Congress District 1,,REP,Congressman Rick Crawford,186,2,1,127,56
Craighead,Precinct 2,U.S. Congress District 1,,REP,Congressman Rick Crawford,207,0,0,145,62
Craighead,Precinct 3,U.S. Congress District 1,,REP,Congressman Rick Crawford,230,6,0,118,106
Craighead,Precinct 4,U.S. Congress District 1,,REP,Congressman Rick Crawford,202,2,1,131,68
Craighead,Precinct 5,U.S. Congress District 1,,REP,Congressman Rick Crawford,281,10,0,171,100
Craighead,Precinct 6,U.S. Congress District 1,,REP,Congressman Rick Crawford,554,11,0,343,200
Craighead,Precinct 7,U.S. Congress District 1,,REP,Congressman Rick Crawford,583,8,0,309,266
Craighead,Precinct 8,U.S. Congress District 1,,REP,Congressman Rick Crawford,497,6,0,236,255
Craighead,Precinct 9,U.S. Congress District 1,,REP,Congressman Rick Crawford,414,3,0,267,144
Craighead,Precinct 10,U.S. Congress District 1,,REP,Congressman Rick Crawford,368,3,0,222,143
Craighead,Precinct 11,U.S. Congress District 1,,REP,Congressman Rick Crawford,435,10,0,236,189
Craighead,Precinct 12,U.S. Congress District 1,,REP,Congressman Rick Crawford,352,3,0,204,145
Craighead,Precinct 13,U.S. Congress District 1,,REP,Congressman Rick Crawford,294,5,1,178,110
Craighead,Precinct 14,U.S. Congress District 1,,REP,Congressman Rick Crawford,109,5,0,51,53
Craighead,Precinct 15,U.S. Congress District 1,,REP,Congressman Rick Crawford,319,6,0,204,109
Craighead,Precinct 16,U.S. Congress District 1,,REP,Congressman Rick Crawford,334,7,0,224,103
Craighead,Precinct 17,U.S. Congress District 1,,REP,Congressman Rick Crawford,419,12,1,310,96
Craighead,Precinct 18,U.S. Congress District 1,,REP,Congressman Rick Crawford,345,6,0,218,121
Craighead,Precinct 19,U.S. Congress District 1,,REP,Congressman Rick Crawford,88,0,0,31,57
Craighead,Precinct 20,U.S. Congress District 1,,REP,Congressman Rick Crawford,325,12,0,242,71
Craighead,Precinct 21,U.S. Congress District 1,,REP,Congressman Rick Crawford,301,3,0,163,135
Craighead,Precinct 22,U.S. Congress District 1,,REP,Congressman Rick Crawford,261,2,0,117,142
Craighead,Precinct 23,U.S. Congress District 1,,REP,Congressman Rick Crawford,286,30,0,163,93
Craighead,Precinct 24,U.S. Congress District 1,,REP,Congressman Rick Crawford,259,2,0,182,75
Craighead,Precinct 25,U.S. Congress District 1,,REP,Congressman Rick Crawford,280,6,1,201,72
Craighead,Precinct 26,U.S. Congress District 1,,REP,Congressman Rick Crawford,102,2,0,57,43
Craighead,Precinct 27,U.S. Congress District 1,,REP,Congressman Rick Crawford,210,0,0,125,85
Craighead,Precinct 28,U.S. Congress District 1,,REP,Congressman Rick Crawford,374,13,0,226,135
Craighead,Precinct 29,U.S. Congress District 1,,REP,Congressman Rick Crawford,420,1,0,219,200
Craighead,Precinct 30,U.S. Congress District 1,,REP,Congressman Rick Crawford,721,7,0,412,302
Craighead,Precinct 31,U.S. Congress District 1,,REP,Congressman Rick Crawford,412,2,3,216,191
Craighead,Precinct 32,U.S. Congress District 1,,REP,Congressman Rick Crawford,43,0,1,22,20
Craighead,Precinct 33,U.S. Congress District 1,,REP,Congressman Rick Crawford,212,3,2,131,76
Craighead,Precinct 34,U.S. Congress District 1,,REP,Congressman Rick Crawford,130,4,0,58,68
Craighead,Precinct 35,U.S. Congress District 1,,REP,Congressman Rick Crawford,166,4,0,99,63
Craighead,Precinct 36,U.S. Congress District 1,,REP,Congressman Rick Crawford,423,6,0,210,207
Craighead,Precinct 37,U.S. Congress District 1,,REP,Congressman Rick Crawford,532,1,2,176,353
Craighead,Precinct 38,U.S. Congress District 1,,REP,Congressman Rick Crawford,401,4,0,193,204
Craighead,Precinct 39,U.S. Congress District 1,,REP,Congressman Rick Crawford,399,4,1,190,204
Craighead,Precinct 40,U.S. Congress District 1,,REP,Congressman Rick Crawford,438,3,0,231,204
Craighead,Precinct 41,U.S. Congress District 1,,REP,Congressman Rick Crawford,423,4,1,208,210
Craighead,Precinct 42,U.S. Congress District 1,,REP,Congressman Rick Crawford,341,2,1,161,177
Craighead,Precinct 43,U.S. Congress District 1,,REP,Congressman Rick Crawford,507,1,0,160,346
Craighead,Precinct 44,U.S. Congress District 1,,REP,Congressman Rick Crawford,395,2,0,243,150
Craighead,Precinct 45,U.S. Congress District 1,,REP,Congressman Rick Crawford,317,5,0,205,107
Craighead,Precinct 46,U.S. Congress District 1,,REP,Congressman Rick Crawford,508,3,0,283,222
Craighead,Precinct 47,U.S. Congress District 1,,REP,Congressman Rick Crawford,543,5,1,277,260
Craighead,Precinct 48,U.S. Congress District 1,,REP,Congressman Rick Crawford,423,3,0,246,174
Craighead,Precinct 49,U.S. Congress District 1,,REP,Congressman Rick Crawford,133,0,0,46,87
Craighead,Precinct 50,U.S. Congress District 1,,REP,Congressman Rick Crawford,392,1,0,132,259
Craighead,Precinct 51,U.S. Congress District 1,,REP,Congressman Rick Crawford,317,3,0,97,217
Craighead,Precinct 52,U.S. Congress District 1,,REP,Congressman Rick Crawford,65,0,0,32,33
Craighead,Precinct 53,U.S. Congress District 1,,REP,Congressman Rick Crawford,113,0,0,56,57
Craighead,Precinct 1,U.S. Congress District 1,,LIB,Elvis Presley,9,1,0,4,4
Craighead,Precinct 2,U.S. Congress District 1,,LIB,Elvis Presley,17,0,0,10,7
Craighead,Precinct 3,U.S. Congress District 1,,LIB,Elvis Presley,8,0,0,3,5
Craighead,Precinct 4,U.S. Congress District 1,,LIB,Elvis Presley,24,0,0,13,11
Craighead,Precinct 5,U.S. Congress District 1,,LIB,Elvis Presley,10,1,0,7,2
Craighead,Precinct 6,U.S. Congress District 1,,LIB,Elvis Presley,8,0,0,5,3
Craighead,Precinct 7,U.S. Congress District 1,,LIB,Elvis Presley,15,1,0,3,11
Craighead,Precinct 8,U.S. Congress District 1,,LIB,Elvis Presley,7,0,0,2,5
Craighead,Precinct 9,U.S. Congress District 1,,LIB,Elvis Presley,12,0,1,7,4
Craighead,Precinct 10,U.S. Congress District 1,,LIB,Elvis Presley,18,0,0,9,9
Craighead,Precinct 11,U.S. Congress District 1,,LIB,Elvis Presley,19,0,0,10,9
Craighead,Precinct 12,U.S. Congress District 1,,LIB,Elvis Presley,7,0,0,4,3
Craighead,Precinct 13,U.S. Congress District 1,,LIB,Elvis Presley,9,0,0,4,5
Craighead,Precinct 14,U.S. Congress District 1,,LIB,Elvis Presley,11,0,0,3,8
Craighead,Precinct 15,U.S. Congress District 1,,LIB,Elvis Presley,4,0,0,3,1
Craighead,Precinct 16,U.S. Congress District 1,,LIB,Elvis Presley,8,0,0,7,1
Craighead,Precinct 17,U.S. Congress District 1,,LIB,Elvis Presley,9,0,0,6,3
Craighead,Precinct 18,U.S. Congress District 1,,LIB,Elvis Presley,9,0,0,5,4
Craighead,Precinct 19,U.S. Congress District 1,,LIB,Elvis Presley,4,0,0,1,3
Craighead,Precinct 20,U.S. Congress District 1,,LIB,Elvis Presley,3,0,0,3,0
Craighead,Precinct 21,U.S. Congress District 1,,LIB,Elvis Presley,8,0,0,6,2
Craighead,Precinct 22,U.S. Congress District 1,,LIB,Elvis Presley,8,0,0,3,5
Craighead,Precinct 23,U.S. Congress District 1,,LIB,Elvis Presley,9,0,0,7,2
Craighead,Precinct 24,U.S. Congress District 1,,LIB,Elvis Presley,15,0,0,9,6
Craighead,Precinct 25,U.S. Congress District 1,,LIB,Elvis Presley,7,0,0,3,4
Craighead,Precinct 26,U.S. Congress District 1,,LIB,Elvis Presley,12,0,0,8,4
Craighead,Precinct 27,U.S. Congress District 1,,LIB,Elvis Presley,4,0,0,3,1
Craighead,Precinct 28,U.S. Congress District 1,,LIB,Elvis Presley,10,0,0,4,6
Craighead,Precinct 29,U.S. Congress District 1,,LIB,Elvis Presley,7,0,0,4,3
Craighead,Precinct 30,U.S. Congress District 1,,LIB,Elvis Presley,13,0,0,7,6
Craighead,Precinct 31,U.S. Congress District 1,,LIB,Elvis Presley,8,0,0,1,7
Craighead,Precinct 32,U.S. Congress District 1,,LIB,Elvis Presley,5,0,0,1,4
Craighead,Precinct 33,U.S. Congress District 1,,LIB,Elvis Presley,10,0,0,5,5
Craighead,Precinct 34,U.S. Congress District 1,,LIB,Elvis Presley,5,0,0,3,2
Craighead,Precinct 35,U.S. Congress District 1,,LIB,Elvis Presley,4,0,0,2,2
Craighead,Precinct 36,U.S. Congress District 1,,LIB,Elvis Presley,12,0,0,5,7
Craighead,Precinct 37,U.S. Congress District 1,,LIB,Elvis Presley,10,0,0,2,8
Craighead,Precinct 38,U.S. Congress District 1,,LIB,Elvis Presley,14,0,0,5,9
Craighead,Precinct 39,U.S. Congress District 1,,LIB,Elvis Presley,19,0,0,11,8
Craighead,Precinct 40,U.S. Congress District 1,,LIB,Elvis Presley,13,2,0,8,3
Craighead,Precinct 41,U.S. Congress District 1,,LIB,Elvis Presley,18,0,0,7,11
Craighead,Precinct 42,U.S. Congress District 1,,LIB,Elvis Presley,10,1,0,1,8
Craighead,Precinct 43,U.S. Congress District 1,,LIB,Elvis Presley,11,0,0,2,9
Craighead,Precinct 44,U.S. Congress District 1,,LIB,Elvis Presley,22,0,0,13,9
Craighead,Precinct 45,U.S. Congress District 1,,LIB,Elvis Presley,12,0,0,6,6
Craighead,Precinct 46,U.S. Congress District 1,,LIB,Elvis Presley,21,0,0,6,15
Craighead,Precinct 47,U.S. Congress District 1,,LIB,Elvis Presley,17,0,0,5,12
Craighead,Precinct 48,U.S. Congress District 1,,LIB,Elvis Presley,16,0,0,10,6
Craighead,Precinct 49,U.S. Congress District 1,,LIB,Elvis Presley,6,0,0,2,4
Craighead,Precinct 50,U.S. Congress District 1,,LIB,Elvis Presley,10,0,0,1,9
Craighead,Precinct 51,U.S. Congress District 1,,LIB,Elvis Presley,11,0,0,2,9
Craighead,Precinct 52,U.S. Congress District 1,,LIB,Elvis Presley,4,0,0,2,2
Craighead,Precinct 53,U.S. Congress District 1,,LIB,Elvis Presley,4,0,0,1,3
Craighead,Precinct 1,Governor,,LIB,Mark West,20,0,0,14,6
Craighead,Precinct 2,Governor,,LIB,Mark West,19,0,0,10,9
Craighead,Precinct 3,Governor,,LIB,Mark West,21,2,0,13,6
Craighead,Precinct 4,Governor,,LIB,Mark West,29,0,0,17,12
Craighead,Precinct 5,Governor,,LIB,Mark West,32,0,0,21,11
Craighead,Precinct 6,Governor,,LIB,Mark West,25,0,0,14,11
Craighead,Precinct 7,Governor,,LIB,Mark West,47,0,0,26,21
Craighead,Precinct 8,Governor,,LIB,Mark West,27,0,0,8,19
Craighead,Precinct 9,Governor,,LIB,Mark West,31,0,0,20,11
Craighead,Precinct 10,Governor,,LIB,Mark West,34,0,0,17,17
Craighead,Precinct 11,Governor,,LIB,Mark West,17,1,0,13,3
Craighead,Precinct 12,Governor,,LIB,Mark West,30,0,0,18,12
Craighead,Precinct 13,Governor,,LIB,Mark West,27,0,0,15,12
Craighead,Precinct 14,Governor,,LIB,Mark West,17,0,0,6,11
Craighead,Precinct 15,Governor,,LIB,Mark West,24,1,0,9,14
Craighead,Precinct 16,Governor,,LIB,Mark West,19,0,0,12,7
Craighead,Precinct 17,Governor,,LIB,Mark West,23,0,0,13,10
Craighead,Precinct 18,Governor,,LIB,Mark West,36,0,0,21,15
Craighead,Precinct 19,Governor,,LIB,Mark West,12,0,0,5,7
Craighead,Precinct 20,Governor,,LIB,Mark West,19,0,0,13,6
Craighead,Precinct 21,Governor,,LIB,Mark West,25,0,0,12,13
Craighead,Precinct 22,Governor,,LIB,Mark West,24,0,0,7,17
Craighead,Precinct 23,Governor,,LIB,Mark West,21,0,0,9,12
Craighead,Precinct 24,Governor,,LIB,Mark West,13,0,0,9,4
Craighead,Precinct 25,Governor,,LIB,Mark West,11,0,0,6,5
Craighead,Precinct 26,Governor,,LIB,Mark West,13,0,0,6,7
Craighead,Precinct 27,Governor,,LIB,Mark West,14,0,0,8,6
Craighead,Precinct 28,Governor,,LIB,Mark West,20,0,0,15,5
Craighead,Precinct 29,Governor,,LIB,Mark West,29,0,0,18,11
Craighead,Precinct 30,Governor,,LIB,Mark West,47,1,0,25,21
Craighead,Precinct 31,Governor,,LIB,Mark West,24,0,0,9,15
Craighead,Precinct 32,Governor,,LIB,Mark West,7,0,0,3,4
Craighead,Precinct 33,Governor,,LIB,Mark West,21,1,0,9,11
Craighead,Precinct 34,Governor,,LIB,Mark West,17,0,0,8,9
Craighead,Precinct 35,Governor,,LIB,Mark West,12,1,0,7,4
Craighead,Precinct 36,Governor,,LIB,Mark West,47,0,0,19,28
Craighead,Precinct 37,Governor,,LIB,Mark West,27,0,0,10,17
Craighead,Precinct 38,Governor,,LIB,Mark West,52,0,0,26,26
Craighead,Precinct 39,Governor,,LIB,Mark West,51,0,0,21,30
Craighead,Precinct 40,Governor,,LIB,Mark West,37,2,0,27,8
Craighead,Precinct 41,Governor,,LIB,Mark West,39,1,1,12,25
Craighead,Precinct 42,Governor,,LIB,Mark West,20,1,0,7,12
Craighead,Precinct 43,Governor,,LIB,Mark West,32,1,0,10,21
Craighead,Precinct 44,Governor,,LIB,Mark West,35,0,0,26,9
Craighead,Precinct 45,Governor,,LIB,Mark West,30,1,0,15,14
Craighead,Precinct 46,Governor,,LIB,Mark West,54,0,0,35,19
Craighead,Precinct 47,Governor,,LIB,Mark West,40,0,0,22,18
Craighead,Precinct 48,Governor,,LIB,Mark West,27,0,0,16,11
Craighead,Precinct 49,Governor,,LIB,Mark West,9,0,0,2,7
Craighead,Precinct 50,Governor,,LIB,Mark West,20,0,0,4,16
Craighead,Precinct 51,Governor,,LIB,Mark West,14,0,0,3,11
Craighead,Precinct 52,Governor,,LIB,Mark West,9,0,0,3,6
Craighead,Precinct 53,Governor,,LIB,Mark West,8,0,0,3,5
Craighead,Precinct 1,Governor,,DEM,Jared K. Henderson,226,6,1,155,64
Craighead,Precinct 2,Governor,,DEM,Jared K. Henderson,175,1,0,111,63
Craighead,Precinct 3,Governor,,DEM,Jared K. Henderson,185,2,0,119,64
Craighead,Precinct 4,Governor,,DEM,Jared K. Henderson,179,4,0,124,51
Craighead,Precinct 5,Governor,,DEM,Jared K. Henderson,132,4,0,86,42
Craighead,Precinct 6,Governor,,DEM,Jared K. Henderson,126,7,0,79,40
Craighead,Precinct 7,Governor,,DEM,Jared K. Henderson,166,1,0,99,66
Craighead,Precinct 8,Governor,,DEM,Jared K. Henderson,129,4,1,58,66
Craighead,Precinct 9,Governor,,DEM,Jared K. Henderson,126,4,1,79,42
Craighead,Precinct 10,Governor,,DEM,Jared K. Henderson,141,0,0,88,53
Craighead,Precinct 11,Governor,,DEM,Jared K. Henderson,133,2,0,86,45
Craighead,Precinct 12,Governor,,DEM,Jared K. Henderson,141,2,0,95,44
Craighead,Precinct 13,Governor,,DEM,Jared K. Henderson,205,3,1,105,96
Craighead,Precinct 14,Governor,,DEM,Jared K. Henderson,186,3,0,94,89
Craighead,Precinct 15,Governor,,DEM,Jared K. Henderson,194,9,0,114,71
Craighead,Precinct 16,Governor,,DEM,Jared K. Henderson,158,3,0,117,38
Craighead,Precinct 17,Governor,,DEM,Jared K. Henderson,165,2,0,132,31
Craighead,Precinct 18,Governor,,DEM,Jared K. Henderson,186,8,0,115,63
Craighead,Precinct 19,Governor,,DEM,Jared K. Henderson,117,2,1,42,72
Craighead,Precinct 20,Governor,,DEM,Jared K. Henderson,162,4,0,124,34
Craighead,Precinct 21,Governor,,DEM,Jared K. Henderson,193,5,0,105,83
Craighead,Precinct 22,Governor,,DEM,Jared K. Henderson,166,4,0,86,76
Craighead,Precinct 23,Governor,,DEM,Jared K. Henderson,146,5,0,97,44
Craighead,Precinct 24,Governor,,DEM,Jared K. Henderson,165,1,0,92,72
Craighead,Precinct 25,Governor,,DEM,Jared K. Henderson,164,2,0,116,46
Craighead,Precinct 26,Governor,,DEM,Jared K. Henderson,170,2,1,105,62
Craighead,Precinct 27,Governor,,DEM,Jared K. Henderson,148,3,0,77,68
Craighead,Precinct 28,Governor,,DEM,Jared K. Henderson,183,2,1,118,62
Craighead,Precinct 29,Governor,,DEM,Jared K. Henderson,216,2,1,128,85
Craighead,Precinct 30,Governor,,DEM,Jared K. Henderson,201,1,0,135,65
Craighead,Precinct 31,Governor,,DEM,Jared K. Henderson,75,1,0,40,34
Craighead,Precinct 32,Governor,,DEM,Jared K. Henderson,147,0,1,65,81
Craighead,Precinct 33,Governor,,DEM,Jared K. Henderson,182,2,1,112,67
Craighead,Precinct 34,Governor,,DEM,Jared K. Henderson,172,1,1,70,100
Craighead,Precinct 35,Governor,,DEM,Jared K. Henderson,156,1,0,77,78
Craighead,Precinct 36,Governor,,DEM,Jared K. Henderson,148,3,0,85,60
Craighead,Precinct 37,Governor,,DEM,Jared K. Henderson,103,1,0,45,57
Craighead,Precinct 38,Governor,,DEM,Jared K. Henderson,95,1,0,60,34
Craighead,Precinct 39,Governor,,DEM,Jared K. Henderson,134,3,0,67,64
Craighead,Precinct 40,Governor,,DEM,Jared K. Henderson,89,0,0,60,29
Craighead,Precinct 41,Governor,,DEM,Jared K. Henderson,86,2,0,32,52
Craighead,Precinct 42,Governor,,DEM,Jared K. Henderson,60,0,0,34,26
Craighead,Precinct 43,Governor,,DEM,Jared K. Henderson,117,2,0,37,78
Craighead,Precinct 44,Governor,,DEM,Jared K. Henderson,150,2,1,81,66
Craighead,Precinct 45,Governor,,DEM,Jared K. Henderson,127,1,0,64,62
Craighead,Precinct 46,Governor,,DEM,Jared K. Henderson,136,0,0,74,62
Craighead,Precinct 47,Governor,,DEM,Jared K. Henderson,91,1,0,53,37
Craighead,Precinct 48,Governor,,DEM,Jared K. Henderson,113,0,0,73,40
Craighead,Precinct 49,Governor,,DEM,Jared K. Henderson,38,0,0,14,24
Craighead,Precinct 50,Governor,,DEM,Jared K. Henderson,85,0,0,27,58
Craighead,Precinct 51,Governor,,DEM,Jared K. Henderson,89,0,0,33,56
Craighead,Precinct 52,Governor,,DEM,Jared K. Henderson,11,0,0,4,7
Craighead,Precinct 53,Governor,,DEM,Jared K. Henderson,19,0,0,12,7
Craighead,Precinct 1,Governor,,REP,Governor Asa Hutchinson,183,3,1,124,55
Craighead,Precinct 2,Governor,,REP,Governor Asa Hutchinson,212,1,0,147,64
Craighead,Precinct 3,Governor,,REP,Governor Asa Hutchinson,245,6,0,128,111
Craighead,Precinct 4,Governor,,REP,Governor Asa Hutchinson,219,1,1,146,71
Craighead,Precinct 5,Governor,,REP,Governor Asa Hutchinson,288,12,0,182,94
Craighead,Precinct 6,Governor,,REP,Governor Asa Hutchinson,559,12,0,347,200
Craighead,Precinct 7,Governor,,REP,Governor Asa Hutchinson,569,9,0,295,265
Craighead,Precinct 8,Governor,,REP,Governor Asa Hutchinson,492,5,0,237,250
Craighead,Precinct 9,Governor,,REP,Governor Asa Hutchinson,408,3,0,267,138
Craighead,Precinct 10,Governor,,REP,Governor Asa Hutchinson,372,3,0,226,143
Craighead,Precinct 11,Governor,,REP,Governor Asa Hutchinson,447,9,0,243,195
Craighead,Precinct 12,Governor,,REP,Governor Asa Hutchinson,337,4,0,198,135
Craighead,Precinct 13,Governor,,REP,Governor Asa Hutchinson,293,6,0,173,114
Craighead,Precinct 14,Governor,,REP,Governor Asa Hutchinson,111,4,0,53,54
Craighead,Precinct 15,Governor,,REP,Governor Asa Hutchinson,324,7,0,210,107
Craighead,Precinct 16,Governor,,REP,Governor Asa Hutchinson,338,7,0,225,106
Craighead,Precinct 17,Governor,,REP,Governor Asa Hutchinson,428,11,1,317,99
Craighead,Precinct 18,Governor,,REP,Governor Asa Hutchinson,353,8,0,225,120
Craighead,Precinct 19,Governor,,REP,Governor Asa Hutchinson,89,0,0,31,58
Craighead,Precinct 20,Governor,,REP,Governor Asa Hutchinson,340,12,0,253,75
Craighead,Precinct 21,Governor,,REP,Governor Asa Hutchinson,283,3,0,154,126
Craighead,Precinct 22,Governor,,REP,Governor Asa Hutchinson,256,3,0,121,132
Craighead,Precinct 23,Governor,,REP,Governor Asa Hutchinson,303,33,0,180,90
Craighead,Precinct 24,Governor,,REP,Governor Asa Hutchinson,288,2,0,202,84
Craighead,Precinct 25,Governor,,REP,Governor Asa Hutchinson,296,8,1,208,79
Craighead,Precinct 26,Governor,,REP,Governor Asa Hutchinson,116,1,0,71,44
Craighead,Precinct 27,Governor,,REP,Governor Asa Hutchinson,211,2,0,125,84
Craighead,Precinct 28,Governor,,REP,Governor Asa Hutchinson,392,13,0,234,145
Craighead,Precinct 29,Governor,,REP,Governor Asa Hutchinson,424,1,0,224,199
Craighead,Precinct 30,Governor,,REP,Governor Asa Hutchinson,710,6,0,409,295
Craighead,Precinct 31,Governor,,REP,Governor Asa Hutchinson,404,2,3,211,188
Craighead,Precinct 32,Governor,,REP,Governor Asa Hutchinson,59,0,1,27,31
Craighead,Precinct 33,Governor,,REP,Governor Asa Hutchinson,214,2,1,131,80
Craighead,Precinct 34,Governor,,REP,Governor Asa Hutchinson,132,4,0,56,72
Craighead,Precinct 35,Governor,,REP,Governor Asa Hutchinson,178,4,0,106,68
Craighead,Precinct 36,Governor,,REP,Governor Asa Hutchinson,402,6,0,203,193
Craighead,Precinct 37,Governor,,REP,Governor Asa Hutchinson,530,1,2,174,353
Craighead,Precinct 38,Governor,,REP,Governor Asa Hutchinson,388,2,0,189,197
Craighead,Precinct 39,Governor,,REP,Governor Asa Hutchinson,370,4,1,179,186
Craighead,Precinct 40,Governor,,REP,Governor Asa Hutchinson,421,3,0,217,201
Craighead,Precinct 41,Governor,,REP,Governor Asa Hutchinson,414,3,0,203,208
Craighead,Precinct 42,Governor,,REP,Governor Asa Hutchinson,336,2,1,155,178
Craighead,Precinct 43,Governor,,REP,Governor Asa Hutchinson,477,0,0,151,326
Craighead,Precinct 44,Governor,,REP,Governor Asa Hutchinson,377,2,0,232,143
Craighead,Precinct 45,Governor,,REP,Governor Asa Hutchinson,295,4,0,195,96
Craighead,Precinct 46,Governor,,REP,Governor Asa Hutchinson,473,2,0,255,216
Craighead,Precinct 47,Governor,,REP,Governor Asa Hutchinson,532,5,1,267,259
Craighead,Precinct 48,Governor,,REP,Governor Asa Hutchinson,421,3,0,248,170
Craighead,Precinct 49,Governor,,REP,Governor Asa Hutchinson,128,0,0,43,85
Craighead,Precinct 50,Governor,,REP,Governor Asa Hutchinson,384,1,0,131,252
Craighead,Precinct 51,Governor,,REP,Governor Asa Hutchinson,312,3,0,95,214
Craighead,Precinct 52,Governor,,REP,Governor Asa Hutchinson,68,0,0,35,33
Craighead,Precinct 53,Governor,,REP,Governor Asa Hutchinson,112,0,0,52,60
Craighead,Precinct 1,Lieutenant Governor,,DEM,Anthony Bland,227,6,1,153,67
Craighead,Precinct 2,Lieutenant Governor,,DEM,Anthony Bland,188,1,0,116,71
