county,precinct,office,district,party,candidate,votes,election_day,early_vote,absentee,hand_count,provisional
Lonoke,27 - Crooked Creek Twp,U.S. Congress District 1,,Lib,Elvis Presley,2,0,0,2,0,0
Lonoke,28 - Humnoke City,U.S. Congress District 1,,Lib,Elvis Presley,1,0,0,1,0,0
Lonoke,29 - Indian Bayou Twp,U.S. Congress District 1,,Lib,Elvis Presley,0,0,0,0,0,0
Lonoke,30 - Coy City,U.S. Congress District 1,,Lib,Elvis Presley,0,0,0,0,0,0
Lonoke,31 - Isbell Twp,U.S. Congress District 1,,Lib,Elvis Presley,1,0,0,1,0,0
Lonoke,32 - Lafayette Twp,U.S. Congress District 1,,Lib,Elvis Presley,0,0,0,0,0,0
Lonoke,33 - Keo City,U.S. Congress District 1,,Lib,Elvis Presley,3,3,0,0,0,0
Lonoke,34 - Lonoke City W/1,U.S. Congress District 1,,Lib,Elvis Presley,6,0,0,6,0,0
Lonoke,35 - Lonoke City W/2,U.S. Congress District 1,,Lib,Elvis Presley,3,2,0,1,0,0
Lonoke,36 - Lonoke City W/3,U.S. Congress District 1,,Lib,Elvis Presley,3,2,0,1,0,0
Lonoke,37 - Lonoke City W/4,U.S. Congress District 1,,Lib,Elvis Presley,3,1,0,2,0,0
Lonoke,38 - Lonoke Twp,U.S. Congress District 1,,Lib,Elvis Presley,4,1,0,3,0,0
Lonoke,39 - Magness Twp,U.S. Congress District 1,,Lib,Elvis Presley,17,5,0,12,0,0
Lonoke,40 - Oak Grove Twp,U.S. Congress District 1,,Lib,Elvis Presley,30,8,0,22,0,0
Lonoke,41 - Pettus Twp,U.S. Congress District 1,,Lib,Elvis Presley,1,0,0,1,0,0
Lonoke,42 - Prairie Twp.,U.S. Congress District 1,,Lib,Elvis Presley,4,2,0,2,0,0
Lonoke,43 - Pulaski Twp,U.S. Congress District 1,,Lib,Elvis Presley,1,1,0,0,0,0
Lonoke,44 - Richwood Twp,U.S. Congress District 1,,Lib,Elvis Presley,3,2,0,1,0,0
Lonoke,45 - Totten Twp.,U.S. Congress District 1,,Lib,Elvis Presley,4,0,0,4,0,0
Lonoke,46 - Walls Twp.,U.S. Congress District 1,,Lib,Elvis Presley,0,0,0,0,0,0
Lonoke,47 - Ward City W/1,U.S. Congress District 1,,Lib,Elvis Presley,17,5,1,11,0,0
Lonoke,48 - Ward City W/2,U.S. Congress District 1,,Lib,Elvis Presley,13,2,0,11,0,0
Lonoke,49 - Ward City W/3,U.S. Congress District 1,,Lib,Elvis Presley,21,5,0,16,0,0
Lonoke,50 - Ward Twp,U.S. Congress District 1,,Lib,Elvis Presley,8,3,0,5,0,0
Lonoke,51 - Williams Twp.,U.S. Congress District 1,,Lib,Elvis Presley,7,6,0,1,0,0
Lonoke,53 - Lonoke City W/5,U.S. Congress District 1,,Lib,Elvis Presley,6,0,0,6,0,0
Lonoke,54 - Lonoke City W/6,U.S. Congress District 1,,Lib,Elvis Presley,2,1,0,1,0,0
Lonoke,55 - Lonoke City W/7,U.S. Congress District 1,,Lib,Elvis Presley,4,1,0,3,0,0
Lonoke,56 - Lonoke City W/8,U.S. Congress District 1,,Lib,Elvis Presley,4,2,0,2,0,0
Lonoke,01- Allport City,U.S. Congress District 1,,Rep,Congressman Rick Crawford,1,0,0,1,0,0
Lonoke,02 - Caroline Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,570,160,2,408,0,0
Lonoke,03 - Austin City,U.S. Congress District 1,,Rep,Congressman Rick Crawford,637,211,1,425,0,0
Lonoke,04 - Butler Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,634,251,6,376,0,1
Lonoke,05 - Cabot City W/1,U.S. Congress District 1,,Rep,Congressman Rick Crawford,941,243,13,685,0,0
Lonoke,06 - Cabot City W/2,U.S. Congress District 1,,Rep,Congressman Rick Crawford,1945,418,11,1516,0,0
Lonoke,07 - Cabot City W/3,U.S. Congress District 1,,Rep,Congressman Rick Crawford,1544,331,9,1204,0,0
Lonoke,08 - Cabot City W/4,U.S. Congress District 1,,Rep,Congressman Rick Crawford,1064,276,13,774,0,1
Lonoke,09 - York Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,397,107,7,283,0,0
Lonoke,10 - Carlisle City Ward 1,U.S. Congress District 1,,Rep,Congressman Rick Crawford,250,84,0,166,0,0
Lonoke,11 -Carlisle City Ward 2,U.S. Congress District 1,,Rep,Congressman Rick Crawford,81,25,1,55,0,0
Lonoke,12 - Carlisle City Ward 3,U.S. Congress District 1,,Rep,Congressman Rick Crawford,110,35,0,75,0,0
Lonoke,13 - Carlisle Twp.,U.S. Congress District 1,,Rep,Congressman Rick Crawford,104,42,2,60,0,0
Lonoke,14 - Cleveland Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,61,18,1,42,0,0
Lonoke,15 - Dortch Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,47,30,3,14,0,0
Lonoke,16 - Eagle Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,525,175,12,337,0,1
Lonoke,17 - England City Ward 1,U.S. Congress District 1,,Rep,Congressman Rick Crawford,191,66,0,125,0,0
Lonoke,18 - England City Ward 2,U.S. Congress District 1,,Rep,Congressman Rick Crawford,118,37,0,81,0,0
Lonoke,19- England City Ward 3,U.S. Congress District 1,,Rep,Congressman Rick Crawford,39,24,0,15,0,0
Lonoke,20 - England City Ward 4,U.S. Congress District 1,,Rep,Congressman Rick Crawford,60,17,0,43,0,0
Lonoke,21 - Fletcher Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,41,17,0,24,0,0
Lonoke,22 - Furlow Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,191,70,4,117,0,0
Lonoke,23 - Goodrum Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,745,208,11,526,0,0
Lonoke,24 - Gray Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,623,329,3,291,0,0
Lonoke,25 - Gumwood Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,67,23,0,44,0,0
Lonoke,26 - Hamilton Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,31,17,1,13,0,0
Lonoke,27 - Crooked Creek Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,70,23,5,42,0,0
Lonoke,28 - Humnoke City,U.S. Congress District 1,,Rep,Congressman Rick Crawford,98,35,1,62,0,0
Lonoke,29 - Indian Bayou Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,31,18,0,13,0,0
Lonoke,30 - Coy City,U.S. Congress District 1,,Rep,Congressman Rick Crawford,20,14,0,6,0,0
Lonoke,31 - Isbell Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,35,22,0,13,0,0
Lonoke,32 - Lafayette Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,5,1,0,4,0,0
Lonoke,33 - Keo City,U.S. Congress District 1,,Rep,Congressman Rick Crawford,77,57,0,20,0,0
Lonoke,34 - Lonoke City W/1,U.S. Congress District 1,,Rep,Congressman Rick Crawford,156,30,3,123,0,0
Lonoke,35 - Lonoke City W/2,U.S. Congress District 1,,Rep,Congressman Rick Crawford,108,24,2,82,0,0
Lonoke,36 - Lonoke City W/3,U.S. Congress District 1,,Rep,Congressman Rick Crawford,89,24,5,60,0,0
Lonoke,37 - Lonoke City W/4,U.S. Congress District 1,,Rep,Congressman Rick Crawford,141,33,2,106,0,0
Lonoke,38 - Lonoke Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,229,61,1,167,0,0
Lonoke,39 - Magness Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,528,175,3,350,0,0
Lonoke,40 - Oak Grove Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,1101,350,11,740,0,0
Lonoke,41 - Pettus Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,26,18,0,8,0,0
Lonoke,42 - Prairie Twp.,U.S. Congress District 1,,Rep,Congressman Rick Crawford,128,66,0,62,0,0
Lonoke,43 - Pulaski Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,38,20,0,18,0,0
Lonoke,44 - Richwood Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,18,6,0,12,0,0
Lonoke,45 - Totten Twp.,U.S. Congress District 1,,Rep,Congressman Rick Crawford,85,33,0,52,0,0
Lonoke,46 - Walls Twp.,U.S. Congress District 1,,Rep,Congressman Rick Crawford,11,10,0,1,0,0
Lonoke,47 - Ward City W/1,U.S. Congress District 1,,Rep,Congressman Rick Crawford,257,55,5,197,0,0
Lonoke,48 - Ward City W/2,U.S. Congress District 1,,Rep,Congressman Rick Crawford,277,78,2,196,0,1
Lonoke,49 - Ward City W/3,U.S. Congress District 1,,Rep,Congressman Rick Crawford,357,84,4,269,0,0
Lonoke,50 - Ward Twp,U.S. Congress District 1,,Rep,Congressman Rick Crawford,314,67,5,242,0,0
Lonoke,51 - Williams Twp.,U.S. Congress District 1,,Rep,Congressman Rick Crawford,147,79,5,63,0,0
Lonoke,53 - Lonoke City W/5,U.S. Congress District 1,,Rep,Congressman Rick Crawford,49,7,0,42,0,0
Lonoke,54 - Lonoke City W/6,U.S. Congress District 1,,Rep,Congressman Rick Crawford,24,8,0,16,0,0
Lonoke,55 - Lonoke City W/7,U.S. Congress District 1,,Rep,Congressman Rick Crawford,119,30,1,88,0,0
Lonoke,56 - Lonoke City W/8,U.S. Congress District 1,,Rep,Congressman Rick Crawford,173,31,0,142,0,0
Lonoke,01- Allport City,Governor,,Dem,Jared K. Henderson,43,22,0,21,0,0
Lonoke,02 - Caroline Twp,Governor,,Dem,Jared K. Henderson,96,25,0,71,0,0
Lonoke,03 - Austin City,Governor,,Dem,Jared K. Henderson,150,39,3,107,0,1
Lonoke,04 - Butler Twp,Governor,,Dem,Jared K. Henderson,107,26,2,79,0,0
Lonoke,05 - Cabot City W/1,Governor,,Dem,Jared K. Henderson,259,62,5,192,0,0
Lonoke,06 - Cabot City W/2,Governor,,Dem,Jared K. Henderson,399,83,3,313,0,0
Lonoke,07 - Cabot City W/3,Governor,,Dem,Jared K. Henderson,335,60,3,272,0,0
Lonoke,08 - Cabot City W/4,Governor,,Dem,Jared K. Henderson,252,73,2,177,0,0
Lonoke,09 - York Twp,Governor,,Dem,Jared K. Henderson,84,16,1,67,0,0
Lonoke,10 - Carlisle City Ward 1,Governor,,Dem,Jared K. Henderson,60,24,2,34,0,0
Lonoke,11 -Carlisle City Ward 2,Governor,,Dem,Jared K. Henderson,56,11,0,45,0,0
Lonoke,12 - Carlisle City Ward 3,Governor,,Dem,Jared K. Henderson,41,15,0,26,0,0
Lonoke,13 - Carlisle Twp.,Governor,,Dem,Jared K. Henderson,6,2,0,4,0,0
Lonoke,14 - Cleveland Twp,Governor,,Dem,Jared K. Henderson,19,5,0,14,0,0
Lonoke,15 - Dortch Twp,Governor,,Dem,Jared K. Henderson,16,8,1,7,0,0
Lonoke,16 - Eagle Twp,Governor,,Dem,Jared K. Henderson,76,27,2,47,0,0
Lonoke,17 - England City Ward 1,Governor,,Dem,Jared K. Henderson,58,19,0,39,0,0
Lonoke,18 - England City Ward 2,Governor,,Dem,Jared K. Henderson,41,16,0,25,0,0
Lonoke,19- England City Ward 3,Governor,,Dem,Jared K. Henderson,127,64,0,63,0,0
Lonoke,20 - England City Ward 4,Governor,,Dem,Jared K. Henderson,44,17,0,27,0,0
Lonoke,21 - Fletcher Twp,Governor,,Dem,Jared K. Henderson,3,1,0,2,0,0
Lonoke,22 - Furlow Twp,Governor,,Dem,Jared K. Henderson,84,24,1,59,0,0
Lonoke,23 - Goodrum Twp,Governor,,Dem,Jared K. Henderson,117,45,0,72,0,0
Lonoke,24 - Gray Twp,Governor,,Dem,Jared K. Henderson,235,100,0,135,0,0
Lonoke,25 - Gumwood Twp,Governor,,Dem,Jared K. Henderson,12,7,0,5,0,0
Lonoke,26 - Hamilton Twp,Governor,,Dem,Jared K. Henderson,5,3,0,2,0,0
Lonoke,27 - Crooked Creek Twp,Governor,,Dem,Jared K. Henderson,6,2,1,3,0,0
Lonoke,28 - Humnoke City,Governor,,Dem,Jared K. Henderson,12,7,0,5,0,0
Lonoke,29 - Indian Bayou Twp,Governor,,Dem,Jared K. Henderson,5,1,0,4,0,0
Lonoke,30 - Coy City,Governor,,Dem,Jared K. Henderson,2,2,0,0,0,0
Lonoke,31 - Isbell Twp,Governor,,Dem,Jared K. Henderson,0,0,0,0,0,0
Lonoke,32 - Lafayette Twp,Governor,,Dem,Jared K. Henderson,3,3,0,0,0,0
Lonoke,33 - Keo City,Governor,,Dem,Jared K. Henderson,27,22,1,4,0,0
Lonoke,34 - Lonoke City W/1,Governor,,Dem,Jared K. Henderson,59,16,0,43,0,0
Lonoke,35 - Lonoke City W/2,Governor,,Dem,Jared K. Henderson,28,1,0,27,0,0
Lonoke,36 - Lonoke City W/3,Governor,,Dem,Jared K. Henderson,57,26,1,30,0,0
Lonoke,37 - Lonoke City W/4,Governor,,Dem,Jared K. Henderson,56,14,1,41,0,0
Lonoke,38 - Lonoke Twp,Governor,,Dem,Jared K. Henderson,61,16,0,45,0,0
Lonoke,39 - Magness Twp,Governor,,Dem,Jared K. Henderson,112,36,3,73,0,0
Lonoke,40 - Oak Grove Twp,Governor,,Dem,Jared K. Henderson,221,63,3,155,0,0
Lonoke,41 - Pettus Twp,Governor,,Dem,Jared K. Henderson,11,3,0,8,0,0
Lonoke,42 - Prairie Twp.,Governor,,Dem,Jared K. Henderson,19,11,0,8,0,0
Lonoke,43 - Pulaski Twp,Governor,,Dem,Jared K. Henderson,113,92,1,20,0,0
Lonoke,44 - Richwood Twp,Governor,,Dem,Jared K. Henderson,8,3,0,5,0,0
Lonoke,45 - Totten Twp.,Governor,,Dem,Jared K. Henderson,16,7,0,9,0,0
Lonoke,46 - Walls Twp.,Governor,,Dem,Jared K. Henderson,4,2,0,2,0,0
Lonoke,47 - Ward City W/1,Governor,,Dem,Jared K. Henderson,63,14,1,48,0,0
Lonoke,48 - Ward City W/2,Governor,,Dem,Jared K. Henderson,55,11,2,42,0,0
Lonoke,49 - Ward City W/3,Governor,,Dem,Jared K. Henderson,94,27,0,67,0,0
Lonoke,50 - Ward Twp,Governor,,Dem,Jared K. Henderson,51,11,0,40,0,0
Lonoke,51 - Williams Twp.,Governor,,Dem,Jared K. Henderson,68,27,1,40,0,0
Lonoke,53 - Lonoke City W/5,Governor,,Dem,Jared K. Henderson,90,24,3,63,0,0
Lonoke,54 - Lonoke City W/6,Governor,,Dem,Jared K. Henderson,89,21,2,66,0,0
Lonoke,55 - Lonoke City W/7,Governor,,Dem,Jared K. Henderson,51,9,2,40,0,0
Lonoke,56 - Lonoke City W/8,Governor,,Dem,Jared K. Henderson,65,11,0,54,0,0
Lonoke,01- Allport City,Governor,,Rep,Governor Asa Hutchinson,6,2,0,4,0,0
Lonoke,02 - Caroline Twp,Governor,,Rep,Governor Asa Hutchinson,557,156,2,399,0,0
Lonoke,03 - Austin City,Governor,,Rep,Governor Asa Hutchinson,629,204,2,423,0,0
Lonoke,04 - Butler Twp,Governor,,Rep,Governor Asa Hutchinson,613,244,6,363,0,0
Lonoke,05 - Cabot City W/1,Governor,,Rep,Governor Asa Hutchinson,962,250,15,697,0,0
Lonoke,06 - Cabot City W/2,Governor,,Rep,Governor Asa Hutchinson,1957,422,15,1520,0,0
Lonoke,07 - Cabot City W/3,Governor,,Rep,Governor Asa Hutchinson,1502,323,9,1170,0,0
Lonoke,08 - Cabot City W/4,Governor,,Rep,Governor Asa Hutchinson,1063,279,13,770,0,1
Lonoke,09 - York Twp,Governor,,Rep,Governor Asa Hutchinson,396,108,7,281,0,0
Lonoke,10 - Carlisle City Ward 1,Governor,,Rep,Governor Asa Hutchinson,252,82,0,170,0,0
Lonoke,11 -Carlisle City Ward 2,Governor,,Rep,Governor Asa Hutchinson,89,27,1,61,0,0
Lonoke,12 - Carlisle City Ward 3,Governor,,Rep,Governor Asa Hutchinson,123,40,0,83,0,0
Lonoke,13 - Carlisle Twp.,Governor,,Rep,Governor Asa Hutchinson,108,45,2,61,0,0
Lonoke,14 - Cleveland Twp,Governor,,Rep,Governor Asa Hutchinson,56,18,1,37,0,0
Lonoke,15 - Dortch Twp,Governor,,Rep,Governor Asa Hutchinson,44,26,5,13,0,0
Lonoke,16 - Eagle Twp,Governor,,Rep,Governor Asa Hutchinson,517,169,12,335,0,1
Lonoke,17 - England City Ward 1,Governor,,Rep,Governor Asa Hutchinson,192,71,0,121,0,0
Lonoke,18 - England City Ward 2,Governor,,Rep,Governor Asa Hutchinson,125,37,0,88,0,0
Lonoke,19- England City Ward 3,Governor,,Rep,Governor Asa Hutchinson,51,28,0,23,0,0
Lonoke,20 - England City Ward 4,Governor,,Rep,Governor Asa Hutchinson,58,18,0,40,0,0
Lonoke,21 - Fletcher Twp,Governor,,Rep,Governor Asa Hutchinson,43,19,0,24,0,0
Lonoke,22 - Furlow Twp,Governor,,Rep,Governor Asa Hutchinson,187,64,4,119,0,0
Lonoke,23 - Goodrum Twp,Governor,,Rep,Governor Asa Hutchinson,744,210,11,523,0,0
Lonoke,24 - Gray Twp,Governor,,Rep,Governor Asa Hutchinson,647,342,3,302,0,0
Lonoke,25 - Gumwood Twp,Governor,,Rep,Governor Asa Hutchinson,67,23,0,44,0,0
Lonoke,26 - Hamilton Twp,Governor,,Rep,Governor Asa Hutchinson,28,16,1,11,0,0
Lonoke,27 - Crooked Creek Twp,Governor,,Rep,Governor Asa Hutchinson,70,23,5,42,0,0
Lonoke,28 - Humnoke City,Governor,,Rep,Governor Asa Hutchinson,95,35,1,59,0,0
Lonoke,29 - Indian Bayou Twp,Governor,,Rep,Governor Asa Hutchinson,35,22,0,13,0,0
Lonoke,30 - Coy City,Governor,,Rep,Governor Asa Hutchinson,21,15,0,6,0,0
Lonoke,31 - Isbell Twp,Governor,,Rep,Governor Asa Hutchinson,37,21,0,16,0,0
Lonoke,32 - Lafayette Twp,Governor,,Rep,Governor Asa Hutchinson,5,1,0,4,0,0
Lonoke,33 - Keo City,Governor,,Rep,Governor Asa Hutchinson,80,58,0,22,0,0
Lonoke,34 - Lonoke City W/1,Governor,,Rep,Governor Asa Hutchinson,166,31,3,132,0,0
Lonoke,35 - Lonoke City W/2,Governor,,Rep,Governor Asa Hutchinson,113,25,2,86,0,0
Lonoke,36 - Lonoke City W/3,Governor,,Rep,Governor Asa Hutchinson,93,27,4,62,0,0
Lonoke,37 - Lonoke City W/4,Governor,,Rep,Governor Asa Hutchinson,138,32,2,104,0,0
Lonoke,38 - Lonoke Twp,Governor,,Rep,Governor Asa Hutchinson,228,62,1,165,0,0
Lonoke,39 - Magness Twp,Governor,,Rep,Governor Asa Hutchinson,535,171,4,360,0,0
Lonoke,40 - Oak Grove Twp,Governor,,Rep,Governor Asa Hutchinson,1074,342,11,721,0,0
Lonoke,41 - Pettus Twp,Governor,,Rep,Governor Asa Hutchinson,25,18,0,7,0,0
Lonoke,42 - Prairie Twp.,Governor,,Rep,Governor Asa Hutchinson,126,69,0,57,0,0
